Original_ID	New_ID	Cluster_ID	Allele_Number	representative
WP_029184036.1	Strep_C91A0	Strep_C91	0	True
WP_052683069.1	Strep_C92A0	Strep_C92	0	True
WP_042799407.1	Strep_C93A0	Strep_C93	0	True
WP_011031213.1	Strep_C93A1	Strep_C93	1	False
WP_328834770.1	Strep_C94A0	Strep_C94	0	True
WP_010360547.1	Strep_C95A0	Strep_C95	0	True
WP_237313455.1	Strep_C96A0	Strep_C96	0	True
WP_013004135.1	Strep_C97A0	Strep_C97	0	True
WP_369278557.1	Strep_C98A0	Strep_C98	0	True
WP_037667154.1	Strep_C99A0	Strep_C99	0	False
WP_011030909.1	Strep_C99A1	Strep_C99	1	True
WP_369278240.1	Strep_C100A0	Strep_C100	0	True
WP_237311149.1	Strep_C101A0	Strep_C101	0	True
WP_192362762.1	Strep_C101A1	Strep_C101	1	False
WP_237313359.1	Strep_C102A0	Strep_C102	0	True
WP_237309622.1	Strep_C103A0	Strep_C103	0	True
WP_225617811.1	Strep_C103A1	Strep_C103	1	False
WP_015507587.1	Strep_C104A0	Strep_C104	0	True
WP_260682599.1	Strep_C105A0	Strep_C105	0	False
WP_262377246.1	Strep_C105A1	Strep_C105	1	True
WP_369279946.1	Strep_C106A0	Strep_C106	0	True
WP_328840639.1	Strep_C107A0	Strep_C107	0	True
WP_225617812.1	Strep_C108A0	Strep_C108	0	True
WP_328839542.1	Strep_C109A0	Strep_C109	0	False
WP_192364239.1	Strep_C109A1	Strep_C109	1	True
WP_237309471.1	Strep_C110A0	Strep_C110	0	True
WP_269149505.1	Strep_C111A0	Strep_C111	0	True
WP_210540131.1	Strep_C112A0	Strep_C112	0	False
WP_369277580.1	Strep_C112A1	Strep_C112	1	True
WP_012999959.1	Strep_C112A2	Strep_C112	2	False
WP_016324963.1	Strep_C113A0	Strep_C113	0	False
WP_011026868.1	Strep_C113A1	Strep_C113	1	True
WP_010350599.1	Strep_C114A0	Strep_C114	0	True
WP_272897479.1	Strep_C115A0	Strep_C115	0	True
WP_038534181.1	Strep_C116A0	Strep_C116	0	True
WP_011031827.1	Strep_C116A1	Strep_C116	1	False
WP_158002808.1	Strep_C117A0	Strep_C117	0	True
WP_443033220.1	Strep_C118A0	Strep_C118	0	True
WP_328836930.1	Strep_C119A0	Strep_C119	0	True
WP_010356776.1	Strep_C120A0	Strep_C120	0	True
WP_443033246.1	Strep_C121A0	Strep_C121	0	True
WP_075660782.1	Strep_C122A0	Strep_C122	0	True
WP_003972707.1	Strep_C123A0	Strep_C123	0	True
WP_011030747.1	Strep_C123A1	Strep_C123	1	False
WP_237312354.1	Strep_C124A0	Strep_C124	0	True
WP_413254565.1	Strep_C125A0	Strep_C125	0	True
WP_328835932.1	Strep_C126A0	Strep_C126	0	True
WP_328840640.1	Strep_C127A0	Strep_C127	0	True
WP_409106751.1	Strep_C128A0	Strep_C128	0	True
WP_425304282.1	Strep_C129A0	Strep_C129	0	True
WP_328839046.1	Strep_C130A0	Strep_C130	0	False
WP_013001759.1	Strep_C130A1	Strep_C130	1	True
WP_237310565.1	Strep_C131A0	Strep_C131	0	False
WP_012999473.1	Strep_C131A1	Strep_C131	1	True
WP_015507773.1	Strep_C132A0	Strep_C132	0	True
WP_010349999.1	Strep_C133A0	Strep_C133	0	True
WP_319152249.1	Strep_C134A0	Strep_C134	0	True
WP_372462327.1	Strep_C135A0	Strep_C135	0	True
WP_016324962.1	Strep_C136A0	Strep_C136	0	True
WP_161269932.1	Strep_C136A1	Strep_C136	1	False
WP_015508324.1	Strep_C137A0	Strep_C137	0	True
WP_013005781.1	Strep_C138A0	Strep_C138	0	True
WP_015506675.1	Strep_C139A0	Strep_C139	0	True
WP_015508348.1	Strep_C139A1	Strep_C139	1	False
WP_338149408.1	Strep_C140A0	Strep_C140	0	True
WP_413254644.1	Strep_C141A0	Strep_C141	0	True
WP_443033234.1	Strep_C142A0	Strep_C142	0	True
WP_410468821.1	Strep_C143A0	Strep_C143	0	True
WP_237312347.1	Strep_C144A0	Strep_C144	0	True
WP_042799715.1	Strep_C145A0	Strep_C145	0	True
WP_237310254.1	Strep_C146A0	Strep_C146	0	True
WP_328841772.1	Strep_C147A0	Strep_C147	0	True
WP_275874948.1	Strep_C148A0	Strep_C148	0	True
WP_010358757.1	Strep_C149A0	Strep_C149	0	True
WP_010360353.1	Strep_C150A0	Strep_C150	0	True
WP_013001763.1	Strep_C151A0	Strep_C151	0	True
WP_010357037.1	Strep_C152A0	Strep_C152	0	True
WP_011031828.1	Strep_C153A0	Strep_C153	0	True
WP_012998110.1	Strep_C154A0	Strep_C154	0	True
WP_369277581.1	Strep_C155A0	Strep_C155	0	False
WP_369279505.1	Strep_C155A1	Strep_C155	1	False
WP_012999958.1	Strep_C155A2	Strep_C155	2	True
WP_010355257.1	Strep_C156A0	Strep_C156	0	True
WP_237313683.1	Strep_C157A0	Strep_C157	0	True
WP_192361282.1	Strep_C157A1	Strep_C157	1	False
WP_328836744.1	Strep_C158A0	Strep_C158	0	False
WP_150473045.1	Strep_C158A1	Strep_C158	1	False
WP_015507001.1	Strep_C158A2	Strep_C158	2	False
WP_016327413.1	Strep_C158A3	Strep_C158	3	False
WP_045561157.1	Strep_C158A4	Strep_C158	4	False
WP_011030433.1	Strep_C158A5	Strep_C158	5	False
WP_086022854.1	Strep_C158A6	Strep_C158	6	False
WP_086796452.1	Strep_C158A7	Strep_C158	7	True
WP_079076463.1	Strep_C158A8	Strep_C158	8	False
WP_328836924.1	Strep_C159A0	Strep_C159	0	True
WP_328839641.1	Strep_C160A0	Strep_C160	0	False
WP_369278069.1	Strep_C160A1	Strep_C160	1	False
WP_038534914.1	Strep_C160A2	Strep_C160	2	False
WP_093788195.1	Strep_C160A3	Strep_C160	3	False
WP_161270022.1	Strep_C160A4	Strep_C160	4	False
WP_013004225.1	Strep_C160A5	Strep_C160	5	False
WP_192364346.1	Strep_C160A6	Strep_C160	6	True
WP_369277574.1	Strep_C161A0	Strep_C161	0	True
WP_275874965.1	Strep_C162A0	Strep_C162	0	True
WP_010351099.1	Strep_C163A0	Strep_C163	0	True
WP_237310573.1	Strep_C164A0	Strep_C164	0	True
WP_010351988.1	Strep_C165A0	Strep_C165	0	True
WP_237310625.1	Strep_C166A0	Strep_C166	0	False
WP_192362361.1	Strep_C166A1	Strep_C166	1	True
WP_016326500.1	Strep_C167A0	Strep_C167	0	False
WP_011028886.1	Strep_C167A1	Strep_C167	1	True
WP_369280653.1	Strep_C168A0	Strep_C168	0	True
WP_237314059.1	Strep_C169A0	Strep_C169	0	True
WP_015507513.1	Strep_C170A0	Strep_C170	0	True
WP_015508328.1	Strep_C171A0	Strep_C171	0	True
WP_010351028.1	Strep_C172A0	Strep_C172	0	True
WP_050987213.1	Strep_C173A0	Strep_C173	0	True
WP_369278851.1	Strep_C174A0	Strep_C174	0	True
WP_328835989.1	Strep_C175A0	Strep_C175	0	False
WP_369280090.1	Strep_C175A1	Strep_C175	1	True
WP_093788595.1	Strep_C175A2	Strep_C175	2	False
WP_012999041.1	Strep_C175A3	Strep_C175	3	False
WP_192359597.1	Strep_C175A4	Strep_C175	4	False
WP_010358902.1	Strep_C175A5	Strep_C175	5	False
WP_013004148.1	Strep_C176A0	Strep_C176	0	True
WP_010359168.1	Strep_C177A0	Strep_C177	0	True
WP_046247559.1	Strep_C178A0	Strep_C178	0	False
WP_202492802.1	Strep_C178A1	Strep_C178	1	True
WP_148274245.1	Strep_C179A0	Strep_C179	0	True
WP_328838237.1	Strep_C180A0	Strep_C180	0	True
WP_328839760.1	Strep_C181A0	Strep_C181	0	True
WP_328840688.1	Strep_C182A0	Strep_C182	0	False
WP_013005493.1	Strep_C182A1	Strep_C182	1	True
WP_003949244.1	Strep_C183A0	Strep_C183	0	True
WP_369277556.1	Strep_C184A0	Strep_C184	0	True
WP_192363855.1	Strep_C185A0	Strep_C185	0	True
WP_328836738.1	Strep_C186A0	Strep_C186	0	False
WP_369279438.1	Strep_C186A1	Strep_C186	1	False
WP_015506998.1	Strep_C186A2	Strep_C186	2	False
WP_038534330.1	Strep_C186A3	Strep_C186	3	True
WP_045561148.1	Strep_C186A4	Strep_C186	4	False
WP_011030438.1	Strep_C186A5	Strep_C186	5	False
WP_013000299.1	Strep_C186A6	Strep_C186	6	False
WP_192365692.1	Strep_C186A7	Strep_C186	7	False
WP_010360622.1	Strep_C186A8	Strep_C186	8	False
WP_016327829.1	Strep_C187A0	Strep_C187	0	True
WP_011031105.1	Strep_C187A1	Strep_C187	1	False
WP_038534635.1	Strep_C188A0	Strep_C188	0	False
WP_011029283.1	Strep_C188A1	Strep_C188	1	True
WP_237311454.1	Strep_C189A0	Strep_C189	0	True
WP_328835939.1	Strep_C190A0	Strep_C190	0	True
WP_192362638.1	Strep_C190A1	Strep_C190	1	False
WP_013002356.1	Strep_C191A0	Strep_C191	0	True
WP_328838836.1	Strep_C192A0	Strep_C192	0	True
WP_369278487.1	Strep_C192A1	Strep_C192	1	False
WP_003950470.1	Strep_C192A2	Strep_C192	2	False
WP_003975812.1	Strep_C192A3	Strep_C192	3	False
WP_237310131.1	Strep_C192A4	Strep_C192	4	False
WP_011028707.1	Strep_C192A5	Strep_C192	5	False
WP_013003146.1	Strep_C192A6	Strep_C192	6	False
WP_192365095.1	Strep_C192A7	Strep_C192	7	False
WP_010356941.1	Strep_C192A8	Strep_C192	8	False
WP_010352228.1	Strep_C193A0	Strep_C193	0	True
WP_237313205.1	Strep_C194A0	Strep_C194	0	True
WP_223786155.1	Strep_C195A0	Strep_C195	0	True
WP_328840899.1	Strep_C196A0	Strep_C196	0	False
WP_237311727.1	Strep_C196A1	Strep_C196	1	True
WP_173402949.1	Strep_C196A2	Strep_C196	2	False
WP_192365157.1	Strep_C196A3	Strep_C196	3	False
WP_237310051.1	Strep_C197A0	Strep_C197	0	True
WP_003951649.1	Strep_C198A0	Strep_C198	0	True
WP_049875879.1	Strep_C199A0	Strep_C199	0	True
WP_010354250.1	Strep_C200A0	Strep_C200	0	True
WP_010350878.1	Strep_C201A0	Strep_C201	0	True
WP_237309500.1	Strep_C202A0	Strep_C202	0	True
WP_225617825.1	Strep_C202A1	Strep_C202	1	False
WP_192359136.1	Strep_C203A0	Strep_C203	0	True
WP_010350229.1	Strep_C204A0	Strep_C204	0	True
WP_369276818.1	Strep_C205A0	Strep_C205	0	True
WP_223786300.1	Strep_C206A0	Strep_C206	0	True
WP_369279445.1	Strep_C207A0	Strep_C207	0	True
WP_237311062.1	Strep_C208A0	Strep_C208	0	True
WP_192364792.1	Strep_C208A1	Strep_C208	1	False
WP_010356030.1	Strep_C209A0	Strep_C209	0	True
WP_192366066.1	Strep_C210A0	Strep_C210	0	True
WP_369279484.1	Strep_C211A0	Strep_C211	0	True
WP_328839546.1	Strep_C212A0	Strep_C212	0	True
WP_011031052.1	Strep_C212A1	Strep_C212	1	False
WP_192364243.1	Strep_C212A2	Strep_C212	2	False
WP_328839564.1	Strep_C213A0	Strep_C213	0	True
WP_237310566.1	Strep_C213A1	Strep_C213	1	False
WP_192364268.1	Strep_C213A2	Strep_C213	2	False
WP_010356329.1	Strep_C214A0	Strep_C214	0	True
WP_328840275.1	Strep_C215A0	Strep_C215	0	True
WP_013005109.1	Strep_C215A1	Strep_C215	1	False
WP_369280650.1	Strep_C216A0	Strep_C216	0	True
WP_010355267.1	Strep_C217A0	Strep_C217	0	True
WP_010355397.1	Strep_C218A0	Strep_C218	0	True
WP_029183732.1	Strep_C219A0	Strep_C219	0	True
WP_010355955.1	Strep_C220A0	Strep_C220	0	True
WP_369277762.1	Strep_C221A0	Strep_C221	0	False
WP_015508188.1	Strep_C221A1	Strep_C221	1	False
WP_011027771.1	Strep_C221A2	Strep_C221	2	True
WP_010350880.1	Strep_C222A0	Strep_C222	0	False
WP_010350884.1	Strep_C222A1	Strep_C222	1	True
WP_237310993.1	Strep_C223A0	Strep_C223	0	False
WP_192364886.1	Strep_C223A1	Strep_C223	1	True
WP_015507008.1	Strep_C224A0	Strep_C224	0	True
WP_015506700.1	Strep_C225A0	Strep_C225	0	True
WP_328836717.1	Strep_C226A0	Strep_C226	0	False
WP_237313192.1	Strep_C226A1	Strep_C226	1	True
WP_275874905.1	Strep_C226A2	Strep_C226	2	False
WP_011028318.1	Strep_C227A0	Strep_C227	0	True
WP_328842359.1	Strep_C228A0	Strep_C228	0	False
WP_369278007.1	Strep_C228A1	Strep_C228	1	False
WP_015508038.1	Strep_C228A2	Strep_C228	2	True
WP_016325989.1	Strep_C228A3	Strep_C228	3	False
WP_237314304.1	Strep_C228A4	Strep_C228	4	False
WP_011028104.1	Strep_C228A5	Strep_C228	5	False
WP_037728021.1	Strep_C228A6	Strep_C228	6	False
WP_086803159.1	Strep_C228A7	Strep_C228	7	False
WP_075662857.1	Strep_C228A8	Strep_C228	8	False
WP_234308244.1	Strep_C229A0	Strep_C229	0	True
WP_003974440.1	Strep_C230A0	Strep_C230	0	True
WP_011029700.1	Strep_C230A1	Strep_C230	1	False
WP_012998111.1	Strep_C231A0	Strep_C231	0	True
WP_010356040.1	Strep_C232A0	Strep_C232	0	True
WP_059046947.1	Strep_C233A0	Strep_C233	0	True
WP_237312352.1	Strep_C234A0	Strep_C234	0	True
WP_016327046.1	Strep_C235A0	Strep_C235	0	True
WP_328840452.1	Strep_C236A0	Strep_C236	0	False
WP_237314331.1	Strep_C236A1	Strep_C236	1	False
WP_192362864.1	Strep_C236A2	Strep_C236	2	True
WP_369279945.1	Strep_C237A0	Strep_C237	0	False
WP_040837455.1	Strep_C237A1	Strep_C237	1	True
WP_237313074.1	Strep_C238A0	Strep_C238	0	True
WP_192363487.1	Strep_C238A1	Strep_C238	1	False
WP_328837196.1	Strep_C239A0	Strep_C239	0	True
WP_010350604.1	Strep_C239A1	Strep_C239	1	False
WP_078485299.1	Strep_C240A0	Strep_C240	0	True
WP_015507004.1	Strep_C241A0	Strep_C241	0	True
WP_328842329.1	Strep_C242A0	Strep_C242	0	False
WP_237314282.1	Strep_C242A1	Strep_C242	1	True
WP_192360615.1	Strep_C242A2	Strep_C242	2	False
WP_013004967.1	Strep_C243A0	Strep_C243	0	True
WP_015507688.1	Strep_C244A0	Strep_C244	0	True
WP_059045532.1	Strep_C245A0	Strep_C245	0	True
WP_369278208.1	Strep_C246A0	Strep_C246	0	False
WP_003976303.1	Strep_C246A1	Strep_C246	1	True
WP_011028388.1	Strep_C246A2	Strep_C246	2	False
WP_037725147.1	Strep_C247A0	Strep_C247	0	True
WP_328840471.1	Strep_C248A0	Strep_C248	0	True
WP_237311295.1	Strep_C248A1	Strep_C248	1	False
WP_192362890.1	Strep_C248A2	Strep_C248	2	False
WP_010360194.1	Strep_C248A3	Strep_C248	3	False
WP_328840183.1	Strep_C249A0	Strep_C249	0	True
WP_235208975.1	Strep_C250A0	Strep_C250	0	True
WP_328835644.1	Strep_C251A0	Strep_C251	0	True
WP_328837693.1	Strep_C252A0	Strep_C252	0	True
WP_016326728.1	Strep_C253A0	Strep_C253	0	False
WP_011029379.1	Strep_C253A1	Strep_C253	1	True
WP_015507898.1	Strep_C254A0	Strep_C254	0	True
WP_328837197.1	Strep_C255A0	Strep_C255	0	True
WP_010350605.1	Strep_C255A1	Strep_C255	1	False
WP_237310500.1	Strep_C256A0	Strep_C256	0	True
WP_210540139.1	Strep_C257A0	Strep_C257	0	True
WP_012999954.1	Strep_C257A1	Strep_C257	1	False
WP_015507870.1	Strep_C258A0	Strep_C258	0	True
WP_037667124.1	Strep_C258A1	Strep_C258	1	False
WP_161270373.1	Strep_C258A2	Strep_C258	2	False
WP_409106014.1	Strep_C259A0	Strep_C259	0	True
WP_086800828.1	Strep_C259A1	Strep_C259	1	False
WP_010357499.1	Strep_C260A0	Strep_C260	0	True
WP_237313538.1	Strep_C261A0	Strep_C261	0	True
WP_192362515.1	Strep_C261A1	Strep_C261	1	False
WP_229894877.1	Strep_C262A0	Strep_C262	0	True
WP_158002824.1	Strep_C263A0	Strep_C263	0	True
WP_328841312.1	Strep_C264A0	Strep_C264	0	True
WP_079021084.1	Strep_C264A1	Strep_C264	1	False
WP_093789087.1	Strep_C264A2	Strep_C264	2	False
WP_011031589.1	Strep_C264A3	Strep_C264	3	False
WP_037728847.1	Strep_C264A4	Strep_C264	4	False
WP_086800452.1	Strep_C264A5	Strep_C264	5	False
WP_159057234.1	Strep_C265A0	Strep_C265	0	True
WP_237310554.1	Strep_C266A0	Strep_C266	0	True
WP_365277318.1	Strep_C267A0	Strep_C267	0	True
WP_328837745.1	Strep_C268A0	Strep_C268	0	True
WP_328836644.1	Strep_C269A0	Strep_C269	0	False
WP_369279688.1	Strep_C269A1	Strep_C269	1	False
WP_237313148.1	Strep_C269A2	Strep_C269	2	False
WP_013000141.1	Strep_C269A3	Strep_C269	3	False
WP_192364508.1	Strep_C269A4	Strep_C269	4	True
WP_041669866.1	Strep_C270A0	Strep_C270	0	True
WP_011030913.1	Strep_C271A0	Strep_C271	0	True
WP_319167488.1	Strep_C272A0	Strep_C272	0	True
WP_237313122.1	Strep_C273A0	Strep_C273	0	True
WP_223786448.1	Strep_C273A1	Strep_C273	1	False
WP_192364286.1	Strep_C274A0	Strep_C274	0	True
WP_015507822.1	Strep_C275A0	Strep_C275	0	True
WP_413254407.1	Strep_C276A0	Strep_C276	0	True
WP_012998651.1	Strep_C276A1	Strep_C276	1	False
WP_328839268.1	Strep_C277A0	Strep_C277	0	False
WP_177261759.1	Strep_C277A1	Strep_C277	1	False
WP_013003732.1	Strep_C277A2	Strep_C277	2	True
WP_179202269.1	Strep_C277A3	Strep_C277	3	False
WP_178855131.1	Strep_C277A4	Strep_C277	4	False
WP_100216668.1	Strep_C278A0	Strep_C278	0	True
WP_369278738.1	Strep_C279A0	Strep_C279	0	True
WP_328839251.1	Strep_C280A0	Strep_C280	0	True
WP_369278252.1	Strep_C280A1	Strep_C280	1	False
WP_237310297.1	Strep_C280A2	Strep_C280	2	False
WP_013003597.1	Strep_C280A3	Strep_C280	3	False
WP_192360256.1	Strep_C280A4	Strep_C280	4	False
WP_010355334.1	Strep_C280A5	Strep_C280	5	False
WP_015507134.1	Strep_C281A0	Strep_C281	0	True
WP_237310018.1	Strep_C282A0	Strep_C282	0	True
WP_275874939.1	Strep_C283A0	Strep_C283	0	True
WP_275874978.1	Strep_C283A1	Strep_C283	1	False
WP_237311253.1	Strep_C284A0	Strep_C284	0	True
WP_192362850.1	Strep_C284A1	Strep_C284	1	False
WP_237314699.1	Strep_C285A0	Strep_C285	0	True
WP_328834519.1	Strep_C286A0	Strep_C286	0	True
WP_237314248.1	Strep_C287A0	Strep_C287	0	True
WP_192365118.1	Strep_C287A1	Strep_C287	1	False
WP_328836926.1	Strep_C288A0	Strep_C288	0	True
WP_010351877.1	Strep_C289A0	Strep_C289	0	True
WP_011030404.1	Strep_C290A0	Strep_C290	0	True
WP_010354765.1	Strep_C291A0	Strep_C291	0	True
WP_369277796.1	Strep_C292A0	Strep_C292	0	True
WP_328840511.1	Strep_C293A0	Strep_C293	0	True
WP_045558030.1	Strep_C294A0	Strep_C294	0	True
WP_012999475.1	Strep_C294A1	Strep_C294	1	False
WP_013005310.1	Strep_C295A0	Strep_C295	0	True
WP_010357601.1	Strep_C296A0	Strep_C296	0	True
WP_328836026.1	Strep_C297A0	Strep_C297	0	True
WP_237312908.1	Strep_C297A1	Strep_C297	1	False
WP_012999123.1	Strep_C297A2	Strep_C297	2	False
WP_192359547.1	Strep_C297A3	Strep_C297	3	False
WP_003972577.1	Strep_C298A0	Strep_C298	0	True
WP_161270286.1	Strep_C298A1	Strep_C298	1	False
WP_011028360.1	Strep_C299A0	Strep_C299	0	True
WP_369277487.1	Strep_C300A0	Strep_C300	0	True
WP_016326362.1	Strep_C301A0	Strep_C301	0	False
WP_011028692.1	Strep_C301A1	Strep_C301	1	True
WP_328838284.1	Strep_C302A0	Strep_C302	0	False
WP_369278714.1	Strep_C302A1	Strep_C302	1	False
WP_003949543.1	Strep_C302A2	Strep_C302	2	True
WP_016326762.1	Strep_C302A3	Strep_C302	3	False
WP_045562563.1	Strep_C302A4	Strep_C302	4	False
WP_011029425.1	Strep_C302A5	Strep_C302	5	False
WP_013002433.1	Strep_C302A6	Strep_C302	6	False
WP_192335503.1	Strep_C302A7	Strep_C302	7	False
WP_010352082.1	Strep_C302A8	Strep_C302	8	False
WP_237310226.1	Strep_C303A0	Strep_C303	0	True
WP_013003449.1	Strep_C303A1	Strep_C303	1	False
WP_192360160.1	Strep_C303A2	Strep_C303	2	False
WP_328838858.1	Strep_C304A0	Strep_C304	0	True
WP_078481188.1	Strep_C305A0	Strep_C305	0	True
WP_233450261.1	Strep_C306A0	Strep_C306	0	True
WP_328839103.1	Strep_C307A0	Strep_C307	0	True
WP_237313982.1	Strep_C308A0	Strep_C308	0	False
WP_192361388.1	Strep_C308A1	Strep_C308	1	True
WP_059045222.1	Strep_C309A0	Strep_C309	0	True
WP_328840699.1	Strep_C310A0	Strep_C310	0	True
WP_011039499.1	Strep_C311A0	Strep_C311	0	True
WP_010355222.1	Strep_C312A0	Strep_C312	0	True
WP_328834533.1	Strep_C313A0	Strep_C313	0	True
WP_328838216.1	Strep_C314A0	Strep_C314	0	False
WP_237314048.1	Strep_C314A1	Strep_C314	1	False
WP_013002315.1	Strep_C314A2	Strep_C314	2	True
WP_192361535.1	Strep_C314A3	Strep_C314	3	False
WP_328836419.1	Strep_C315A0	Strep_C315	0	True
WP_045559686.1	Strep_C315A1	Strep_C315	1	False
WP_012999745.1	Strep_C315A2	Strep_C315	2	False
WP_086796834.1	Strep_C315A3	Strep_C315	3	False
WP_016327337.1	Strep_C316A0	Strep_C316	0	True
WP_011030302.1	Strep_C316A1	Strep_C316	1	False
WP_042799716.1	Strep_C317A0	Strep_C317	0	True
WP_011030220.1	Strep_C318A0	Strep_C318	0	True
WP_328836751.1	Strep_C319A0	Strep_C319	0	False
WP_369279428.1	Strep_C319A1	Strep_C319	1	False
