gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C100044	Strep_C100044A0	1	0.007142857142857143	A0A387HH23	A0A387HH23		1	1
Strep_C100045	Strep_C100045A0	1	0.007142857142857143	A0A387HJK6	A0A387HJK6		1	1
Strep_C100046	Strep_C100046A0	1	0.007142857142857143	A0A3S8YBN8	A0A3S8YBN8	A0A5P2D3X1,A0A7D5ZGB2	3	3
Strep_C100047	Strep_C100047A0	1	0.007142857142857143	A0A3S8YK26	A0A3S8YK26		1	1
Strep_C100048	Strep_C100048A0	1	0.007142857142857143	A0A3G4VPH0	A0A3G4VPH0		1	1
Strep_C100049	Strep_C100049A0	1	0.007142857142857143	A0A3G4VRA0	A0A3G4VRA0		1	1
Strep_C10005	Strep_C10005A0	1	0.007142857142857143	A0A1V0UCV7	A0A7H8NAA9	A0A1V0TYT1,A0A6I6SBG0,A0A7H8ZSL9	5	5
Strep_C100050	Strep_C100050A0	1	0.007142857142857143	G2NLE7	A0A3G4VWP6	A0A1L7GHA6,A0A5P2UL78,A0A7L4Y2F4	13	13
Strep_C100051	Strep_C100051A0	1	0.007142857142857143	A0A3G4VZ61	A0A3G4VZ61		1	1
Strep_C100052	Strep_C100052A0	1	0.007142857142857143	A0A3G4W7S3	A0A3G4W7S3		1	1
Strep_C100053	Strep_C100053A0	1	0.007142857142857143	J1S256	A0A3Q9K8T7	A0A1W5XMK9,A0A6I6S1W1	4	4
Strep_C100054	Strep_C100054A0	1	0.007142857142857143	A0A3Q9KB15	A0A3Q9KB15		1	1
Strep_C100055	Strep_C100055A0	1	0.007142857142857143	A0A3Q9KB38	A0A3Q9KB38		1	1
Strep_C100056	Strep_C100056A0	1	0.007142857142857143	A0A3Q9KEX8	A0A3Q9KEX8		1	1
Strep_C100057	Strep_C100057A0	1	0.007142857142857143	A0A3S9YBQ5	A0A3S9YBQ5	A0A3S9YET0	2	1
Strep_C100058	Strep_C100058A0	1	0.007142857142857143	I2NBM0	A0A3S9YKD7	A0A1D7VPU2,A0A1W5XWC9	4	4
Strep_C100059	Strep_C100059A0	1	0.007142857142857143	A0A3S9IDD2	A0A3S9IDD2		1	1
Strep_C10006	Strep_C10006A0	1	0.007142857142857143	A0A7H8MND7	A0A7H8MND7		1	1
Strep_C100060	Strep_C100060A0	1	0.007142857142857143	A0A3Q9ENC1	A0A3Q9ENC1		1	1
Strep_C100061	Strep_C100061A0	1	0.007142857142857143	A0A3Q9EN28	A0A3Q9EN28		1	1
Strep_C100062	Strep_C100062A0	1	0.007142857142857143	A0A3S9M7T8	A0A3S9M7T8	A0A6I6SEZ2	2	2
Strep_C100063	Strep_C100063A0	1	0.007142857142857143	A0A494UNV6	A0A494UNV6		1	1
Strep_C100064	Strep_C100064A0	1	0.007142857142857143	A0A494UQC2	A0A494UQC2	A0A0N9LY79	2	2
Strep_C100065	Strep_C100065A0	1	0.007142857142857143	A0A4P6TYX1	A0A4P6TYX1		1	1
Strep_C100066	Strep_C100066A0	1	0.007142857142857143	A0A1B1M550	A0A4P6TUA1	A0A5P8JWZ3,A0A7L4Z674,A0A7H8IP32	9	9
Strep_C100067	Strep_C100067A0	1	0.007142857142857143	A0A4P6TX76	A0A4P6TX76		1	1
Strep_C100068	Strep_C100068A0	1	0.007142857142857143	A0A143C9G4	A0A4P6U2X4	A0A6G9H9K9,A0A7H1PWM9	4	4
Strep_C100069	Strep_C100069A0	1	0.007142857142857143	A0A5R9LT06	A0A5R9LT06		1	1
Strep_C10007	Strep_C10007A0	1	0.007142857142857143	A0A7H8T7X6	A0A7H8T7X6		1	1
Strep_C100070	Strep_C100070A0	1	0.007142857142857143	A0A387HI15	A0A5R9LUU0		2	2
Strep_C100071	Strep_C100071A0	1	0.007142857142857143	A0A5R9LUZ8	A0A5R9LUZ8		1	1
Strep_C100072	Strep_C100072A0	1	0.007142857142857143	A0A5R9M022	A0A5R9M022		1	1
Strep_C100073	Strep_C100073A0	1	0.007142857142857143	A0A5R9M2G8	A0A5R9M2G8		1	1
Strep_C100074	Strep_C100074A0	1	0.007142857142857143	A0A5R9M3T1	A0A5R9M3T1		1	1
Strep_C100075	Strep_C100075A0	1	0.007142857142857143	A0A5R9M431	A0A5R9M431		1	1
Strep_C100076	Strep_C100076A0	1	0.007142857142857143	A0A5R9M8J3	A0A5R9M8J3		1	1
Strep_C100077	Strep_C100077A0	1	0.007142857142857143	A0A5R9MBA1	A0A5R9MBA1		1	1
Strep_C100078	Strep_C100078A0	1	0.007142857142857143	G2NEH0	A0A514JUR5	A0A089YYX3,A0A191UZ32,A0A1B1MAX8	40	40
Strep_C100079	Strep_C100079A0	1	0.007142857142857143	A0A514JLA2	A0A514JLA2	A0A5J6GT78	2	2
Strep_C10008	Strep_C10008A0	1	0.007142857142857143	A0A7L5T0R2	A0A7L5T0R2		1	1
Strep_C100080	Strep_C100080A0	1	0.007142857142857143	A0A514JP34	A0A514JP34		1	1
Strep_C100081	Strep_C100081A0	1	0.007142857142857143	A0A516R217	A0A516R217		1	1
Strep_C100082	Strep_C100082A0	1	0.007142857142857143	I2N9W0	A0A5B8JQI9	A0A5J6GM63,A0A5J6HRN5	4	4
Strep_C100083	Strep_C100083A0	1	0.007142857142857143	I2N171	A0A5B8J723		2	2
Strep_C100084	Strep_C100084A0	1	0.007142857142857143	A0A291QNA1	A0A5P2BV72	A0A2S2GGD9,A0A222SR44,A0A5J6GLH4	5	5
Strep_C100085	Strep_C100085A0	1	0.007142857142857143	A0A1Z1W7W2	A0A5P2C5H9	A0A291Q598,A0A3S8W6B5,A0A5P2B9B3	9	9
Strep_C100086	Strep_C100086A0	1	0.007142857142857143	A0A5P2CB96	A0A5P2CB96		1	1
Strep_C100087	Strep_C100087A0	1	0.007142857142857143	I2MUY3	A0A5P2DK09	A0A0B5HPM6,A0A3G4VP89,A0A5P2D8W7	19	19
Strep_C100088	Strep_C100088A0	1	0.007142857142857143	A0A5P2DPU3	A0A5P2DPU3		1	1
Strep_C100089	Strep_C100089A0	1	0.007142857142857143	A0A5P2AJM9	A0A5P2AJM9		1	1
Strep_C10009	Strep_C10009A0	1	0.007142857142857143	D7C872	A0A7T1T8I4	G2PFP1,A0A0M5INC2,A0A1W7D4T4	10	10
Strep_C100090	Strep_C100090A0	1	0.007142857142857143	A0A0B5HX05	A0A5P2AT42	A0A2K8PAE2,A0A3S8YFZ2,A0A7D5VHJ0	5	5
Strep_C100091	Strep_C100091A0	1	0.007142857142857143	A0A0B5HUQ8	A0A5P2ATT8	A0A7L4YAW4	3	3
Strep_C100092	Strep_C100092A0	1	0.007142857142857143	A0A0B5IDT1	A0A5P2CZ36	A0A0G3UEN3,A0A5B7V2G6,A0A5P2XG72	20	19
Strep_C100093	Strep_C100093A0	1	0.007142857142857143	A0A5P2D129	A0A5P2D129		1	1
Strep_C100094	Strep_C100094A0	1	0.007142857142857143	A0A5P2D1K2	A0A5P2D1K2		1	1
Strep_C100095	Strep_C100095A0	1	0.007142857142857143	Q826H7	A0A5P2D9G0	G2PEK5,A0A1B1AWK5,A0A1D7VQL4	64	64
Strep_C100096	Strep_C100096A0	1	0.007142857142857143	D7C9G0	A0A5P2D9J0	C9YZ04,A0A1Z1WQ61,A0A1H4ZFZ2	49	49
Strep_C100097	Strep_C100097A0	1	0.007142857142857143	A0A8A1UYX3	A0A5J6JGJ2	A0A0G3UHX4,A0A5P2DNK5,A0A5P2D8T3	17	17
Strep_C100098	Strep_C100098A0	1	0.007142857142857143	A0A5J6JEH7	A0A5J6JEH7		1	1
Strep_C100099	Strep_C100099A0	1	0.007142857142857143	A0A0B5DRG5	A0A0B5DRG5		1	1
Strep_C1001	Strep_C1001A0	1	0.007142857142857143	A0A6H0CE27	A0A6H0CE27		1	1
Strep_C10010	Strep_C10010A0	1	0.007142857142857143	D7C1V7	D7C1V7		1	1
Strep_C100100	Strep_C100100A0	1	0.007142857142857143	A0A0B5D6Y2	A0A0B5D6Y2		1	1
Strep_C100101	Strep_C100101A0	1	0.007142857142857143	A0A0U3G0I0	A0A0B5DGC1	A0A143C9Z4,A0A5J6IKK5,A0A6G5RNE8	17	16
Strep_C100102	Strep_C100102A0	1	0.007142857142857143	A0A5P2W7W9	A0A5P2W7W9		1	1
Strep_C100103	Strep_C100103A0	1	0.007142857142857143	A0A5B7V554	A0A5J6F848		2	2
Strep_C100104	Strep_C100104A0	1	0.007142857142857143	A0A1Z1WCJ6	A0A5J6FDY6	A0A345HSN3,A0A5P2ULQ2,A0A6I6WHD0	7	7
Strep_C100105	Strep_C100105A0	1	0.007142857142857143	A0A5J6FIV8	A0A5J6FIV8		1	1
Strep_C100106	Strep_C100106A0	1	0.007142857142857143	A0A191V8A1	A0A5Q0L508	A0A6G9H8C6	3	3
Strep_C100107	Strep_C100107A0	1	0.007142857142857143	B1VSP7	A0A5Q0L5U9	N0CZQ5,A0A2K9FHG6,A0A3S8VMM0	17	17
Strep_C100108	Strep_C100108A0	1	0.007142857142857143	A0A5Q0LHY6	A0A5Q0LHY6		1	1
Strep_C100109	Strep_C100109A0	1	0.007142857142857143	A0A5Q0LNU6	A0A5Q0LNU6		1	1
Strep_C10011	Strep_C10011A0	1	0.007142857142857143	D7CD07	D7CD07		1	1
Strep_C100110	Strep_C100110A0	1	0.007142857142857143	A0A5Q0LQ35	A0A5Q0LQ35		1	1
Strep_C100111	Strep_C100111A0	1	0.007142857142857143	A0A1B1AZ45	A0A5J6H9B2		2	2
Strep_C100112	Strep_C100112A0	1	0.007142857142857143	A0A191VA67	A0A5J6HU95		2	2
Strep_C100113	Strep_C100113A0	1	0.007142857142857143	A0A345HZ97	A0A5J6HSZ5		2	2
Strep_C100114	Strep_C100114A0	1	0.007142857142857143	A0A5J6HTT4	A0A5J6HTT4		1	1
Strep_C100115	Strep_C100115A0	1	0.007142857142857143	A0A143C908	A0A5J6IC86	A0A2N9B4K4,A0A2Z5KB24,A0A6G5RLC6	6	6
Strep_C100116	Strep_C100116A0	1	0.007142857142857143	A0A5J6IG65	A0A5J6IG65		1	1
Strep_C100117	Strep_C100117A0	1	0.007142857142857143	A0A089XG41	A0A5P9WEY6	A0A0C5G5T4,A0A0F7VRN1,A0AD38	10	10
Strep_C100118	Strep_C100118A0	1	0.007142857142857143	A0A191UZP6	A0A5P9WN20	A0A5P8K6H5,A0A7D5VKD9,A0A7H1Q291	5	5
Strep_C100119	Strep_C100119A0	1	0.007142857142857143	A0A5P9WYG2	A0A5P9WYG2		1	1
Strep_C10012	Strep_C10012A0	1	0.007142857142857143	Q82QV0	Q82QV0		1	1
Strep_C100120	Strep_C100120A0	1	0.007142857142857143	A0A1V0R8B9	A0A5P9X0R9	A0A5P2DFG2	3	3
Strep_C100121	Strep_C100121A0	1	0.007142857142857143	A0A5P2ULA0	A0A5P2ULA0		1	1
Strep_C100122	Strep_C100122A0	1	0.007142857142857143	A0A5P2UNZ3	A0A5P2UNZ3		1	1
Strep_C100123	Strep_C100123A0	1	0.007142857142857143	A0A5P8JV42	A0A5P8JV42		1	1
Strep_C100124	Strep_C100124A0	1	0.007142857142857143	A0A5P8JYW2	A0A5P8JYW2	A0A7M2SEI8	2	2
Strep_C100125	Strep_C100125A0	1	0.007142857142857143	C9Z149	A0A5P8K393		2	2
Strep_C100126	Strep_C100126A0	1	0.007142857142857143	A0A5P8K477	A0A5P8K477		1	1
Strep_C100127	Strep_C100127A0	1	0.007142857142857143	A0A1B1M3U3	A0A5P8K764		2	2
Strep_C100128	Strep_C100128A0	1	0.007142857142857143	A0A6I6FJN7	A0A6I6FJN7		1	1
Strep_C100129	Strep_C100129A0	1	0.007142857142857143	A0A6I6FNR7	A0A6I6FNR7		1	1
Strep_C10013	Strep_C10013A0	1	0.007142857142857143	A0A8B1P9A4	L8ESB0	A0A0A8EKE1,A0A1D7VSJ4,A0A1W5XU10	8	8
Strep_C100130	Strep_C100130A0	1	0.007142857142857143	A0A1U9NTN2	A0A6I6FXQ7	A0A1V0R808,A0A5P2DH60,A0A7G6XQN6	5	5
Strep_C100131	Strep_C100131A0	1	0.007142857142857143	A0A0B5I7D1	A0A7L4Y2M5	A0A5P2ASX1,A0A5P2D6Z5	4	4
Strep_C100132	Strep_C100132A0	1	0.007142857142857143	A0A0B5IN34	A0A7L4YE43		2	2
Strep_C100133	Strep_C100133A0	1	0.007142857142857143	A0A1V0TNR3	A0A6I6N4I7	A0A6M4PWN2,A0A6M4X591	4	4
Strep_C100134	Strep_C100134A0	1	0.007142857142857143	A0A6I6N769	A0A6I6N769		1	1
Strep_C100135	Strep_C100135A0	1	0.007142857142857143	A0A6I6N7Y2	A0A6I6N7Y2		1	1
Strep_C100136	Strep_C100136A0	1	0.007142857142857143	A0A1V0U1X6	A0A6I6NB68		2	2
Strep_C100137	Strep_C100137A0	1	0.007142857142857143	A0A6I6ND54	A0A6I6ND54		1	1
Strep_C100138	Strep_C100138A0	1	0.007142857142857143	A0A6I6NH87	A0A6I6NH87		1	1
Strep_C100139	Strep_C100139A0	1	0.007142857142857143	A0A6I6WFX6	A0A6I6WFX6		1	1
Strep_C10014	Strep_C10014A0	1	0.007142857142857143	G2NP22	A0A0A8EQ42	J2JZA7,A0A385DG02,A0A514JSN9	21	21
Strep_C100140	Strep_C100140A0	1	0.007142857142857143	A0A6I6WHK1	A0A6I6WHK1		1	1
Strep_C100141	Strep_C100141A0	1	0.007142857142857143	A0A6I6WJW6	A0A6I6WJW6		1	1
Strep_C100142	Strep_C100142A0	1	0.007142857142857143	A0A6I6WKR1	A0A6I6WKR1		1	1
Strep_C100143	Strep_C100143A0	1	0.007142857142857143	D7BYX1	A0A6I6WML2	B1VLB4,A0A2K9FGB7,A0A222T4E6	17	17
Strep_C100144	Strep_C100144A0	1	0.007142857142857143	G2NUL5	A0A6I6S848	A0A1D7YN59,A0A1H5BYH6,A0A222T9Q0	7	7
Strep_C100145	Strep_C100145A0	1	0.007142857142857143	A0A6I6SHL5	A0A6I6SHL5		1	1
Strep_C100146	Strep_C100146A0	1	0.007142857142857143	Q828Z6	A0A6C0PZW8	I2MVZ6,A0A5P2D9S6,A0A6G9H4U8	17	17
Strep_C100147	Strep_C100147A0	1	0.007142857142857143	A0A6G9FU39	A0A6G9FU39		1	1
Strep_C100148	Strep_C100148A0	1	0.007142857142857143	A0A6G9H0P9	A0A6G9H0P9		1	1
Strep_C100149	Strep_C100149A0	1	0.007142857142857143	A0A6G5RME3	A0A6G9GTK5	A0A7G6XD40	3	3
Strep_C10015	Strep_C10015A0	1	0.007142857142857143	A0A8B1PHI1	A0A0A8EML0	A0A1D7VKZ6,A0A1W5XIJ6,A0A3S9Y534	6	6
Strep_C100150	Strep_C100150A0	1	0.007142857142857143	A0A6G9GVM3	A0A6G9GVM3		1	1
Strep_C100151	Strep_C100151A0	1	0.007142857142857143	A0A6G9GVW9	A0A6G9GVW9		1	1
Strep_C100152	Strep_C100152A0	1	0.007142857142857143	A0A6G9GXY4	A0A6G9GXY4		1	1
Strep_C100153	Strep_C100153A0	1	0.007142857142857143	A0A6G9H1R1	A0A6G9H1R1		1	1
Strep_C100154	Strep_C100154A0	1	0.007142857142857143	A0A6G9H834	A0A6G9H834		1	1
Strep_C100155	Strep_C100155A0	1	0.007142857142857143	A0A0M5IUE6	A0A6M4PG61		2	2
Strep_C100156	Strep_C100156A0	1	0.007142857142857143	A0A0U3QAB4	A0A6M4WIN5	A0A1L7GBW7	3	3
Strep_C100157	Strep_C100157A0	1	0.007142857142857143	A0A6M4WSV6	A0A6M4WSV6		1	1
Strep_C100158	Strep_C100158A0	1	0.007142857142857143	A0A5P8K2F2	A0A6M4WV16		2	2
Strep_C100159	Strep_C100159A0	1	0.007142857142857143	A0A7H8ICZ2	A0A7H8ICZ2	A0A7T1WWN0,A0A7T4PNH0	3	3
Strep_C10016	Strep_C10016A0	1	0.007142857142857143	A0A221P586	A0A221P586		1	1
Strep_C100160	Strep_C100160A0	1	0.007142857142857143	A0A7H8IHE1	A0A7H8IHE1		1	1
Strep_C100161	Strep_C100161A0	1	0.007142857142857143	A0A7H8IL54	A0A7H8IL54		1	1
Strep_C100162	Strep_C100162A0	1	0.007142857142857143	A0A7H8INM4	A0A7H8INM4		1	1
Strep_C100163	Strep_C100163A0	1	0.007142857142857143	A0A1H4ICJ4	A0A7H8IXG8		2	2
Strep_C100164	Strep_C100164A0	1	0.007142857142857143	D7BSS7	A0A7H8IZ73	G2NAJ2,A0A1H4KWP2,A0A2S2G2W5	27	27
Strep_C100165	Strep_C100165A0	1	0.007142857142857143	A0A7H8J1B1	A0A7H8J1B1		1	1
Strep_C100166	Strep_C100166A0	1	0.007142857142857143	A0A7H8N3F9	A0A7H8N3F9		1	1
Strep_C100167	Strep_C100167A0	1	0.007142857142857143	A0A2Z5JFE8	A0A7H8NAH1		2	2
Strep_C100168	Strep_C100168A0	1	0.007142857142857143	A0A7H8NCE7	A0A7H8NCE7		1	1
Strep_C100169	Strep_C100169A0	1	0.007142857142857143	A0A7H8NEL9	A0A7H8NEL9		1	1
Strep_C10017	Strep_C10017A0	1	0.007142857142857143	D7C1X9	A0A0M4DG44	A0A3S8XZV0,A0A6M4X198	4	4
Strep_C100170	Strep_C100170A0	1	0.007142857142857143	A0A7H8NEM2	A0A7H8NEM2		1	1
Strep_C100171	Strep_C100171A0	1	0.007142857142857143	A0A7H8NIX1	A0A7H8NIX1		1	1
Strep_C100172	Strep_C100172A0	1	0.007142857142857143	A0A7H8ML63	A0A7H8ML63		1	1
Strep_C100173	Strep_C100173A0	1	0.007142857142857143	Q82L35	A0A7H8T365	C9YUQ9,A0A2Z4JCG4,A0A346CBJ0	36	36
Strep_C100174	Strep_C100174A0	1	0.007142857142857143	A0A7H8TEZ7	A0A7H8TEZ7		1	1
Strep_C100175	Strep_C100175A0	1	0.007142857142857143	A0A7H8TNE2	A0A7H8TNE2	A0A7M2SXM1	2	2
Strep_C100176	Strep_C100176A0	1	0.007142857142857143	D7C5P4	A0A7L5SPQ7	L8EDX9,A0A1D7VJV2,A0A1W5XJS9	8	8
Strep_C100177	Strep_C100177A0	1	0.007142857142857143	A0A7L5SR60	A0A7L5SR60		1	1
Strep_C100178	Strep_C100178A0	1	0.007142857142857143	A0A0A8E9I0	A0A7L5SUF3	A0A3G4VK17,A0A7L5SMK0,A0A7L5SQG6	9	3
Strep_C100179	Strep_C100179A0	1	0.007142857142857143	A0A7L5T7H6	A0A7L5T7H6		1	1
Strep_C10018	Strep_C10018A0	1	0.007142857142857143	A0A1B1MHM6	A0A1B1MHM6		1	1
Strep_C100180	Strep_C100180A0	1	0.007142857142857143	A0A7H8JLP9	A0A7H8JLP9		1	1
Strep_C100181	Strep_C100181A0	1	0.007142857142857143	A0A7H8JQR4	A0A7H8JQR4		1	1
Strep_C100182	Strep_C100182A0	1	0.007142857142857143	A0A7H8MZ04	A0A7H8JRV5	A0A7H0HVA4	3	3
Strep_C100183	Strep_C100183A0	1	0.007142857142857143	A0A7H8JWR5	A0A7H8JWR5		1	1
Strep_C100184	Strep_C100184A0	1	0.007142857142857143	A0A1Z1WJU0	A0A7H8K1A3	A0A291QGY6,A0A5B7UZW0,A0A5P2XIN3	11	11
Strep_C100185	Strep_C100185A0	1	0.007142857142857143	A0A7H8K1G1	A0A7H8K1G1		1	1
Strep_C100186	Strep_C100186A0	1	0.007142857142857143	A0A7H8K5I0	A0A7H8K5I0		1	1
Strep_C100187	Strep_C100187A0	1	0.007142857142857143	A0A7H8ZWY9	A0A7H8ZWY9		1	1
Strep_C100188	Strep_C100188A0	1	0.007142857142857143	A0A1I6S0Y6	A0A1I6S0Y6		1	1
Strep_C100189	Strep_C100189A0	1	0.007142857142857143	A0A0F7FRB2	A0A7H8GUU1		2	2
Strep_C10019	Strep_C10019A0	1	0.007142857142857143	A0A1B1B424	A0A1B1B424		1	1
Strep_C100190	Strep_C100190A0	1	0.007142857142857143	A0A0F7FU36	A0A7H8GZ88		2	2
Strep_C100191	Strep_C100191A0	1	0.007142857142857143	A0A7H8H0B8	A0A7H8H0B8		1	1
Strep_C100192	Strep_C100192A0	1	0.007142857142857143	A0A0F7FSR9	A0A7H8H1Y8		2	2
Strep_C100193	Strep_C100193A0	1	0.007142857142857143	A0A7H8HB46	A0A7H8HB46		1	1
Strep_C100194	Strep_C100194A0	1	0.007142857142857143	A0A7G7BIS0	A0A7G7BIS0		1	1
Strep_C100195	Strep_C100195A0	1	0.007142857142857143	A0A2R4TDR3	A0A7G7BTD1	A0A2S2GI00,A0A2Z5JT55,A0A5J6FH78	5	5
Strep_C100196	Strep_C100196A0	1	0.007142857142857143	D7BQI1	A0A7L7M8R7	G2NFK7,A0A1L6PHA8,A0A1W5YYD4	34	34
Strep_C100197	Strep_C100197A0	1	0.007142857142857143	A0A7L7M4T6	A0A7L7M4T6		1	1
Strep_C100198	Strep_C100198A0	1	0.007142857142857143	A0A7L7M8N1	A0A7L7M8N1		1	1
Strep_C100199	Strep_C100199A0	1	0.007142857142857143	A0A7L7MHA7	A0A7L7MHA7		1	1
