gene	strain_count	frequency_percent
Strep_C6519	9	100.0
Strep_C11993	9	100.0
Strep_C6518	9	100.0
Strep_C6516	9	100.0
Strep_C2694	9	100.0
Strep_C16912	9	100.0
Strep_C11919	9	100.0
Strep_C17131	9	100.0
Strep_C17142	9	100.0
Strep_C9155	9	100.0
Strep_C17396	9	100.0
Strep_C25504	9	100.0
Strep_C17402	9	100.0
Strep_C9144	9	100.0
Strep_C11830	9	100.0
Strep_C6214	9	100.0
Strep_C6213	9	100.0
Strep_C11827	9	100.0
Strep_C11824	9	100.0
Strep_C1744	9	100.0
Strep_C17455	9	100.0
Strep_C17463	9	100.0
Strep_C11815	9	100.0
Strep_C6180	9	100.0
Strep_C6169	9	100.0
Strep_C6362	9	100.0
Strep_C17513	9	100.0
Strep_C6167	9	100.0
Strep_C17523	9	100.0
Strep_C1753	9	100.0
Strep_C17540	9	100.0
Strep_C11793	9	100.0
Strep_C17575	9	100.0
Strep_C17576	9	100.0
Strep_C17579	9	100.0
Strep_C11780	9	100.0
Strep_C17586	9	100.0
Strep_C9168	9	100.0
Strep_C9169	9	100.0
Strep_C612	9	100.0
Strep_C26984	9	100.0
Strep_C26983	9	100.0
Strep_C2550	9	100.0
Strep_C17385	9	100.0
Strep_C6361	9	100.0
Strep_C11905	9	100.0
Strep_C17175	9	100.0
Strep_C17183	9	100.0
Strep_C9112	9	100.0
Strep_C11897	9	100.0
Strep_C17198	9	100.0
Strep_C17234	9	100.0
Strep_C6327	9	100.0
Strep_C11889	9	100.0
Strep_C6319	9	100.0
Strep_C17267	9	100.0
Strep_C6307	9	100.0
Strep_C28684	9	100.0
Strep_C6294	9	100.0
Strep_C9124	9	100.0
Strep_C6281	9	100.0
Strep_C17313	9	100.0
Strep_C17315	9	100.0
Strep_C17316	9	100.0
Strep_C25532	9	100.0
Strep_C6276	9	100.0
Strep_C6275	9	100.0
Strep_C17339	9	100.0
Strep_C17340	9	100.0
Strep_C25525	9	100.0
Strep_C17343	9	100.0
Strep_C17377	9	100.0
Strep_C26982	9	100.0
Strep_C5668	9	100.0
Strep_C5657	9	100.0
Strep_C5656	9	100.0
Strep_C27584	9	100.0
Strep_C19603	9	100.0
Strep_C4951	9	100.0
Strep_C4947	9	100.0
Strep_C11147	9	100.0
Strep_C4946	9	100.0
Strep_C9477	9	100.0
Strep_C19653	9	100.0
Strep_C19661	9	100.0
Strep_C4938	9	100.0
Strep_C27585	9	100.0
Strep_C4933	9	100.0
Strep_C11136	9	100.0
Strep_C19688	9	100.0
Strep_C19689	9	100.0
Strep_C4921	9	100.0
Strep_C4989	9	100.0
Strep_C19702	9	100.0
Strep_C1111	9	100.0
Strep_C19725	9	100.0
Strep_C19731	9	100.0
Strep_C4892	9	100.0
Strep_C4889	9	100.0
Strep_C4888	9	100.0
Strep_C4886	9	100.0
Strep_C19770	9	100.0
Strep_C4883	9	100.0
Strep_C19782	9	100.0
Strep_C4875	9	100.0
Strep_C4873	9	100.0
Strep_C19794	9	100.0
Strep_C4980	9	100.0
Strep_C19573	9	100.0
Strep_C5100	9	100.0
Strep_C11190	9	100.0
Strep_C5099	9	100.0
Strep_C5093	9	100.0
Strep_C19400	9	100.0
Strep_C19402	9	100.0
Strep_C5085	9	100.0
Strep_C19422	9	100.0
Strep_C944	9	100.0
Strep_C5070	9	100.0
Strep_C1945	9	100.0
Strep_C5059	9	100.0
Strep_C5051	9	100.0
Strep_C19473	9	100.0
Strep_C19475	9	100.0
Strep_C19477	9	100.0
Strep_C5047	9	100.0
Strep_C9471	9	100.0
Strep_C11185	9	100.0
Strep_C19524	9	100.0
Strep_C5020	9	100.0
Strep_C11179	9	100.0
Strep_C11174	9	100.0
Strep_C9461	9	100.0
Strep_C9462	9	100.0
Strep_C19549	9	100.0
Strep_C19551	9	100.0
Strep_C5001	9	100.0
Strep_C5000	9	100.0
Strep_C19560	9	100.0
Strep_C4999	9	100.0
Strep_C2490	9	100.0
Strep_C19796	9	100.0
Strep_C27160	9	100.0
Strep_C19808	9	100.0
Strep_C4707	9	100.0
Strep_C29164	9	100.0
Strep_C11024	9	100.0
Strep_C29165	9	100.0
Strep_C29166	9	100.0
Strep_C4733	9	100.0
Strep_C29167	9	100.0
Strep_C20023	9	100.0
Strep_C4730	9	100.0
Strep_C4725	9	100.0
Strep_C20031	9	100.0
Strep_C29171	9	100.0
Strep_C27175	9	100.0
Strep_C471	9	100.0
Strep_C2005	9	100.0
Strep_C1099	9	100.0
Strep_C19814	9	100.0
Strep_C2008	9	100.0
Strep_C10998	9	100.0
Strep_C4692	9	100.0
Strep_C20095	9	100.0
Strep_C20102	9	100.0
Strep_C4684	9	100.0
Strep_C27181	9	100.0
Strep_C27182	9	100.0
Strep_C4676	9	100.0
Strep_C10984	9	100.0
Strep_C4662	9	100.0
Strep_C4655	9	100.0
Strep_C9550	9	100.0
Strep_C4650	9	100.0
Strep_C4745	9	100.0
Strep_C4750	9	100.0
Strep_C4754	9	100.0
Strep_C4757	9	100.0
Strep_C19825	9	100.0
Strep_C4843	9	100.0
Strep_C4839	9	100.0
Strep_C11075	9	100.0
Strep_C4830	9	100.0
Strep_C950	9	100.0
Strep_C4825	9	100.0
Strep_C4824	9	100.0
Strep_C19877	9	100.0
Strep_C19880	9	100.0
Strep_C4819	9	100.0
Strep_C24821	9	100.0
Strep_C1105	9	100.0
Strep_C4801	9	100.0
Strep_C4799	9	100.0
Strep_C4797	9	100.0
Strep_C24813	9	100.0
Strep_C4791	9	100.0
Strep_C4790	9	100.0
Strep_C11049	9	100.0
Strep_C9521	9	100.0
Strep_C4772	9	100.0
Strep_C19955	9	100.0
Strep_C4770	9	100.0
Strep_C9526	9	100.0
Strep_C11038	9	100.0
Strep_C4768	9	100.0
Strep_C11036	9	100.0
Strep_C4761	9	100.0
Strep_C9439	9	100.0
Strep_C5106	9	100.0
Strep_C18463	9	100.0
Strep_C18769	9	100.0
Strep_C1869	9	100.0
Strep_C186	9	100.0
Strep_C11428	9	100.0
Strep_C5499	9	100.0
Strep_C5498	9	100.0
Strep_C11425	9	100.0
Strep_C1872	9	100.0
Strep_C18731	9	100.0
Strep_C11418	9	100.0
Strep_C5487	9	100.0
Strep_C9345	9	100.0
Strep_C11413	9	100.0
Strep_C5474	9	100.0
Strep_C5473	9	100.0
Strep_C25136	9	100.0
Strep_C1867	9	100.0
Strep_C18793	9	100.0
Strep_C18800	9	100.0
Strep_C5446	9	100.0
Strep_C5439	9	100.0
Strep_C5437	9	100.0
Strep_C11393	9	100.0
Strep_C25123	9	100.0
Strep_C5427	9	100.0
Strep_C5419	9	100.0
Strep_C5418	9	100.0
Strep_C25114	9	100.0
Strep_C25113	9	100.0
Strep_C18860	9	100.0
Strep_C25110	9	100.0
Strep_C5507	9	100.0
Strep_C9339	9	100.0
Strep_C19365	9	100.0
Strep_C25197	9	100.0
Strep_C9307	9	100.0
Strep_C5633	9	100.0
Strep_C5632	9	100.0
Strep_C11496	9	100.0
Strep_C5629	9	100.0
Strep_C5624	9	100.0
Strep_C1852	9	100.0
Strep_C18530	9	100.0
Strep_C18531	9	100.0
Strep_C5599	9	100.0
Strep_C5598	9	100.0
Strep_C5597	9	100.0
Strep_C11472	9	100.0
Strep_C25198	9	100.0
Strep_C5587	9	100.0
Strep_C18675	9	100.0
Strep_C27070	9	100.0
Strep_C5576	9	100.0
Strep_C5574	9	100.0
Strep_C2518	9	100.0
Strep_C932	9	100.0
Strep_C18601	9	100.0
Strep_C5560	9	100.0
Strep_C9333	9	100.0
Strep_C5552	9	100.0
Strep_C5540	9	100.0
Strep_C552	9	100.0
Strep_C18667	9	100.0
Strep_C9338	9	100.0
Strep_C18671	9	100.0
Strep_C28955	9	100.0
Strep_C18887	9	100.0
Strep_C18888	9	100.0
Strep_C5181	9	100.0
Strep_C11294	9	100.0
Strep_C5235	9	100.0
Strep_C5234	9	100.0
Strep_C19185	9	100.0
Strep_C27116	9	100.0
Strep_C19191	9	100.0
Strep_C5211	9	100.0
Strep_C19200	9	100.0
Strep_C9417	9	100.0
Strep_C19203	9	100.0
Strep_C9420	9	100.0
Strep_C5193	9	100.0
Strep_C5190	9	100.0
Strep_C9427	9	100.0
Strep_C19245	9	100.0
Strep_C11373	9	100.0
Strep_C19252	9	100.0
Strep_C5166	9	100.0
Strep_C11246	9	100.0
Strep_C5157	9	100.0
Strep_C1928	9	100.0
Strep_C24981	9	100.0
Strep_C11239	9	100.0
Strep_C192	9	100.0
Strep_C9433	9	100.0
Strep_C19309	9	100.0
Strep_C19310	9	100.0
Strep_C5132	9	100.0
Strep_C19333	9	100.0
Strep_C5117	9	100.0
Strep_C19152	9	100.0
Strep_C11296	9	100.0
Strep_C5237	9	100.0
Strep_C5258	9	100.0
Strep_C18900	9	100.0
Strep_C5383	9	100.0
Strep_C5371	9	100.0
Strep_C25081	9	100.0
Strep_C18940	9	100.0
Strep_C535	9	100.0
Strep_C1895	9	100.0
Strep_C18961	9	100.0
Strep_C11353	9	100.0
Strep_C5333	9	100.0
Strep_C5332	9	100.0
Strep_C5328	9	100.0
Strep_C1899	9	100.0
Strep_C5321	9	100.0
Strep_C19014	9	100.0
Strep_C11340	9	100.0
Strep_C19015	9	100.0
Strep_C25055	9	100.0
Strep_C5293	9	100.0
Strep_C5290	9	100.0
Strep_C25048	9	100.0
Strep_C25045	9	100.0
Strep_C19079	9	100.0
Strep_C19081	9	100.0
Strep_C9396	9	100.0
Strep_C25036	9	100.0
Strep_C19105	9	100.0
Strep_C5261	9	100.0
Strep_C11305	9	100.0
Strep_C9044	9	100.0
Strep_C9038	9	100.0
Strep_C20167	9	100.0
Strep_C14480	9	100.0
Strep_C7805	9	100.0
Strep_C7797	9	100.0
Strep_C14420	9	100.0
Strep_C14424	9	100.0
Strep_C12793	9	100.0
Strep_C26724	9	100.0
Strep_C7790	9	100.0
Strep_C26297	9	100.0
Strep_C12787	9	100.0
Strep_C14442	9	100.0
Strep_C28189	9	100.0
Strep_C8659	9	100.0
Strep_C7780	9	100.0
Strep_C7764	9	100.0
Strep_C14481	9	100.0
Strep_C12800	9	100.0
Strep_C14488	9	100.0
Strep_C7750	9	100.0
Strep_C7749	9	100.0
Strep_C14503	9	100.0
Strep_C12771	9	100.0
Strep_C8667	9	100.0
Strep_C12767	9	100.0
Strep_C8669	9	100.0
Strep_C14506	9	100.0
Strep_C1450	9	100.0
Strep_C7728	9	100.0
Strep_C7724	9	100.0
Strep_C14555	9	100.0
Strep_C14559	9	100.0
Strep_C26722	9	100.0
Strep_C26721	9	100.0
Strep_C28226	9	100.0
Strep_C7879	9	100.0
Strep_C14134	9	100.0
Strep_C14136	9	100.0
Strep_C7938	9	100.0
Strep_C14152	9	100.0
Strep_C7923	9	100.0
Strep_C7918	9	100.0
Strep_C2813	9	100.0
Strep_C8625	9	100.0
Strep_C14204	9	100.0
Strep_C14215	9	100.0
Strep_C7905	9	100.0
Strep_C7903	9	100.0
Strep_C7894	9	100.0
Strep_C7882	9	100.0
Strep_C28159	9	100.0
Strep_C26720	9	100.0
Strep_C7867	9	100.0
Strep_C28160	9	100.0
Strep_C785	9	100.0
Strep_C27889	9	100.0
Strep_C7855	9	100.0
Strep_C7850	9	100.0
Strep_C7846	9	100.0
Strep_C7845	9	100.0
Strep_C14344	9	100.0
Strep_C7831	9	100.0
Strep_C14361	9	100.0
Strep_C1280	9	100.0
Strep_C12808	9	100.0
Strep_C14369	9	100.0
Strep_C14572	9	100.0
Strep_C28227	9	100.0
Strep_C1673	9	100.0
Strep_C7505	9	100.0
Strep_C14859	9	100.0
Strep_C14861	9	100.0
Strep_C7559	9	100.0
Strep_C7555	9	100.0
Strep_C2827	9	100.0
Strep_C7551	9	100.0
Strep_C7535	9	100.0
Strep_C14906	9	100.0
Strep_C12642	9	100.0
Strep_C14910	9	100.0
Strep_C14912	9	100.0
Strep_C7523	9	100.0
Strep_C1262	9	100.0
Strep_C8747	9	100.0
Strep_C14976	9	100.0
Strep_C14842	9	100.0
Strep_C14982	9	100.0
Strep_C15000	9	100.0
Strep_C26142	9	100.0
Strep_C26141	9	100.0
Strep_C15015	9	100.0
Strep_C8759	9	100.0
Strep_C28306	9	100.0
Strep_C28307	9	100.0
Strep_C15034	9	100.0
Strep_C15035	9	100.0
Strep_C15036	9	100.0
Strep_C15037	9	100.0
Strep_C7472	9	100.0
Strep_C7469	9	100.0
Strep_C14844	9	100.0
Strep_C14833	9	100.0
Strep_C7686	9	100.0
Strep_C14698	9	100.0
Strep_C14621	9	100.0
Strep_C14634	9	100.0
Strep_C14640	9	100.0
Strep_C14642	9	100.0
Strep_C26233	9	100.0
Strep_C12722	9	100.0
Strep_C1465	9	100.0
Strep_C12719	9	100.0
Strep_C28243	9	100.0
Strep_C1467	9	100.0
Strep_C12713	9	100.0
Strep_C7649	9	100.0
Strep_C7644	9	100.0
Strep_C8699	9	100.0
Strep_C7637	9	100.0
Strep_C14822	9	100.0
Strep_C14711	9	100.0
Strep_C14717	9	100.0
Strep_C14721	9	100.0
Strep_C14725	9	100.0
Strep_C14726	9	100.0
Strep_C8707	9	100.0
Strep_C14736	9	100.0
Strep_C8709	9	100.0
Strep_C7627	9	100.0
Strep_C14772	9	100.0
Strep_C14781	9	100.0
Strep_C14782	9	100.0
Strep_C14786	9	100.0
Strep_C14814	9	100.0
Strep_C14131	9	100.0
Strep_C14120	9	100.0
Strep_C14110	9	100.0
Strep_C13523	9	100.0
Strep_C13088	9	100.0
Strep_C13431	9	100.0
Strep_C8321	9	100.0
Strep_C13439	9	100.0
Strep_C26551	9	100.0
Strep_C13466	9	100.0
Strep_C8300	9	100.0
Strep_C13484	9	100.0
Strep_C851	9	100.0
Strep_C8290	9	100.0
Strep_C13504	9	100.0
Strep_C13064	9	100.0
Strep_C13510	9	100.0
Strep_C8279	9	100.0
Strep_C13529	9	100.0
Strep_C13386	9	100.0
Strep_C26655	9	100.0
Strep_C13541	9	100.0
Strep_C13543	9	100.0
Strep_C8260	9	100.0
Strep_C8534	9	100.0
Strep_C824	9	100.0
Strep_C8247	9	100.0
Strep_C13579	9	100.0
Strep_C1357	9	100.0
Strep_C13598	9	100.0
Strep_C26523	9	100.0
Strep_C13602	9	100.0
Strep_C26521	9	100.0
Strep_C26520	9	100.0
Strep_C13387	9	100.0
Strep_C8353	9	100.0
Strep_C7956	9	100.0
Strep_C8488	9	100.0
Strep_C8440	9	100.0
Strep_C13160	9	100.0
Strep_C8467	9	100.0
Strep_C8438	9	100.0
Strep_C13218	9	100.0
Strep_C846	9	100.0
Strep_C2795	9	100.0
Strep_C27959	9	100.0
Strep_C13151	9	100.0
Strep_C8424	9	100.0
Strep_C8423	9	100.0
Strep_C8480	9	100.0
Strep_C13138	9	100.0
Strep_C8421	9	100.0
Strep_C1330	9	100.0
Strep_C13098	9	100.0
Strep_C8394	9	100.0
Strep_C13316	9	100.0
Strep_C8391	9	100.0
Strep_C8390	9	100.0
Strep_C8498	9	100.0
Strep_C8388	9	100.0
Strep_C849	9	100.0
Strep_C1310	9	100.0
Strep_C8383	9	100.0
Strep_C1333	9	100.0
Strep_C13365	9	100.0
Strep_C13370	9	100.0
Strep_C8355	9	100.0
Strep_C1309	9	100.0
Strep_C13019	9	100.0
Strep_C821	9	100.0
Strep_C13637	9	100.0
Strep_C26415	9	100.0
Strep_C8082	9	100.0
Strep_C13890	9	100.0
Strep_C2643	9	100.0
Strep_C13908	9	100.0
Strep_C806	9	100.0
Strep_C8062	9	100.0
Strep_C13930	9	100.0
Strep_C13932	9	100.0
Strep_C8048	9	100.0
Strep_C12918	9	100.0
Strep_C13968	9	100.0
Strep_C26417	9	100.0
Strep_C8019	9	100.0
Strep_C26416	9	100.0
Strep_C26414	9	100.0
Strep_C8212	9	100.0
Strep_C8013	9	100.0
Strep_C8008	9	100.0
Strep_C8000	9	100.0
Strep_C14042	9	100.0
Strep_C14043	9	100.0
Strep_C14049	9	100.0
Strep_C14051	9	100.0
Strep_C14053	9	100.0
Strep_C14057	9	100.0
Strep_C8614	9	100.0
Strep_C7976	9	100.0
Strep_C7975	9	100.0
Strep_C8617	9	100.0
Strep_C12874	9	100.0
Strep_C8584	9	100.0
Strep_C28086	9	100.0
Strep_C8085	9	100.0
Strep_C8096	9	100.0
Strep_C8205	9	100.0
Strep_C1365	9	100.0
Strep_C13667	9	100.0
Strep_C1366	9	100.0
Strep_C13679	9	100.0
Strep_C13685	9	100.0
Strep_C8183	9	100.0
Strep_C1369	9	100.0
Strep_C13720	9	100.0
Strep_C13725	9	100.0
Strep_C26483	9	100.0
Strep_C26479	9	100.0
Strep_C13749	9	100.0
Strep_C26477	9	100.0
Strep_C13754	9	100.0
Strep_C13759	9	100.0
Strep_C13762	9	100.0
Strep_C12966	9	100.0
Strep_C8119	9	100.0
Strep_C13816	9	100.0
Strep_C13818	9	100.0
Strep_C1382	9	100.0
Strep_C13842	9	100.0
Strep_C13848	9	100.0
Strep_C13854	9	100.0
Strep_C8581	9	100.0
Strep_C12950	9	100.0
Strep_C809	9	100.0
Strep_C8098	9	100.0
Strep_C28308	9	100.0
Strep_C26131	9	100.0
Strep_C7461	9	100.0
Strep_C6937	9	100.0
Strep_C16024	9	100.0
Strep_C25881	9	100.0
Strep_C12256	9	100.0
Strep_C6957	9	100.0
Strep_C16076	9	100.0
Strep_C16077	9	100.0
Strep_C16080	9	100.0
Strep_C16083	9	100.0
Strep_C12241	9	100.0
Strep_C16105	9	100.0
Strep_C28493	9	100.0
Strep_C16113	9	100.0
Strep_C16118	9	100.0
Strep_C1222	9	100.0
Strep_C2850	9	100.0
Strep_C16010	9	100.0
Strep_C16181	9	100.0
Strep_C25838	9	100.0
Strep_C25837	9	100.0
Strep_C16192	9	100.0
Strep_C16219	9	100.0
Strep_C6872	9	100.0
Strep_C6869	9	100.0
Strep_C6866	9	100.0
Strep_C8967	9	100.0
Strep_C27771	9	100.0
Strep_C6860	9	100.0
Strep_C28530	9	100.0
Strep_C16292	9	100.0
Strep_C12187	9	100.0
Strep_C6983	9	100.0
Strep_C16008	9	100.0
Strep_C15874	9	100.0
Strep_C15947	9	100.0
Strep_C15889	9	100.0
Strep_C158	9	100.0
Strep_C15908	9	100.0
Strep_C25915	9	100.0
Strep_C25913	9	100.0
Strep_C8907	9	100.0
Strep_C1591	9	100.0
Strep_C15924	9	100.0
Strep_C26862	9	100.0
Strep_C15925	9	100.0
Strep_C15929	9	100.0
Strep_C15933	9	100.0
Strep_C7027	9	100.0
Strep_C15944	9	100.0
Strep_C891	9	100.0
Strep_C698	9	100.0
Strep_C7017	9	100.0
Strep_C15954	9	100.0
Strep_C15963	9	100.0
Strep_C12286	9	100.0
Strep_C12282	9	100.0
Strep_C7012	9	100.0
Strep_C28469	9	100.0
Strep_C28473	9	100.0
Strep_C7002	9	100.0
Strep_C15997	9	100.0
Strep_C12273	9	100.0
Strep_C16000	9	100.0
Strep_C16002	9	100.0
Strep_C16004	9	100.0
Strep_C28532	9	100.0
Strep_C6839	9	100.0
Strep_C16305	9	100.0
Strep_C12080	9	100.0
Strep_C1657	9	100.0
Strep_C12108	9	100.0
Strep_C12107	9	100.0
Strep_C16582	9	100.0
Strep_C12104	9	100.0
Strep_C12103	9	100.0
Strep_C16587	9	100.0
Strep_C1209	9	100.0
Strep_C16588	9	100.0
Strep_C1659	9	100.0
Strep_C26916	9	100.0
Strep_C6668	9	100.0
Strep_C16631	9	100.0
Strep_C6663	9	100.0
Strep_C6657	9	100.0
Strep_C8973	9	100.0
Strep_C6654	9	100.0
Strep_C16657	9	100.0
Strep_C9028	9	100.0
Strep_C16695	9	100.0
Strep_C16696	9	100.0
Strep_C16699	9	100.0
Strep_C1669	9	100.0
Strep_C25707	9	100.0
Strep_C2858	9	100.0
Strep_C16719	9	100.0
Strep_C12057	9	100.0
Strep_C2569	9	100.0
Strep_C6606	9	100.0
Strep_C16735	9	100.0
Strep_C2573	9	100.0
Strep_C16563	9	100.0
Strep_C9007	9	100.0
Strep_C6711	9	100.0
Strep_C16307	9	100.0
Strep_C12180	9	100.0
Strep_C6818	9	100.0
Strep_C16334	9	100.0
Strep_C8977	9	100.0
Strep_C8980	9	100.0
Strep_C8982	9	100.0
Strep_C16405	9	100.0
Strep_C16423	9	100.0
Strep_C16424	9	100.0
Strep_C6762	9	100.0
Strep_C8991	9	100.0
Strep_C6755	9	100.0
Strep_C16458	9	100.0
Strep_C16462	9	100.0
Strep_C16468	9	100.0
Strep_C16473	9	100.0
Strep_C16477	9	100.0
Strep_C16502	9	100.0
Strep_C28554	9	100.0
Strep_C6723	9	100.0
Strep_C8994	9	100.0
Strep_C6721	9	100.0
Strep_C8997	9	100.0
Strep_C16516	9	100.0
Strep_C8999	9	100.0
Strep_C12126	9	100.0
Strep_C12125	9	100.0
Strep_C16530	9	100.0
Strep_C15875	9	100.0
Strep_C12327	9	100.0
Strep_C12585	9	100.0
Strep_C1530	9	100.0
Strep_C7377	9	100.0
Strep_C12524	9	100.0
Strep_C15241	9	100.0
Strep_C15242	9	100.0
Strep_C1525	9	100.0
Strep_C15262	9	100.0
Strep_C7357	9	100.0
Strep_C15265	9	100.0
Strep_C7352	9	100.0
Strep_C15273	9	100.0
Strep_C8802	9	100.0
Strep_C7344	9	100.0
Strep_C26069	9	100.0
Strep_C26066	9	100.0
Strep_C732	9	100.0
Strep_C7383	9	100.0
Strep_C15315	9	100.0
Strep_C8810	9	100.0
Strep_C15322	9	100.0
Strep_C15328	9	100.0
Strep_C15338	9	100.0
Strep_C7305	9	100.0
Strep_C15366	9	100.0
Strep_C15367	9	100.0
Strep_C8819	9	100.0
Strep_C15368	9	100.0
Strep_C15370	9	100.0
Strep_C15380	9	100.0
Strep_C15382	9	100.0
Strep_C15383	9	100.0
Strep_C15229	9	100.0
Strep_C7389	9	100.0
Strep_C12328	9	100.0
Strep_C7403	9	100.0
Strep_C7459	9	100.0
Strep_C15074	9	100.0
Strep_C7448	9	100.0
Strep_C26121	9	100.0
Strep_C7443	9	100.0
Strep_C7439	9	100.0
Strep_C7438	9	100.0
Strep_C7436	9	100.0
Strep_C15119	9	100.0
Strep_C1512	9	100.0
Strep_C2610	9	100.0
Strep_C15138	9	100.0
Strep_C1514	9	100.0
Strep_C15156	9	100.0
Strep_C15175	9	100.0
Strep_C15201	9	100.0
