gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C10491	Strep_C10491A0	1	0.1111111111111111	WP_327346811.1	WP_003947226.1	WP_365275935.1,WP_016325864.1,WP_237310917.1	9	9
Strep_C10494	Strep_C10494A3	2	0.2222222222222222	WP_003975615.1	WP_003950213.1	WP_037705510.1,WP_150471470.1,WP_045556185.1	8	9
Strep_C10500	Strep_C10500A0	1	0.1111111111111111	WP_328839283.1	WP_016326179.1	WP_150470924.1,WP_003947980.1,WP_093789151.1	9	9
Strep_C10508	Strep_C10508A0	1	0.1111111111111111	WP_328840063.1	WP_011027938.1	WP_328736910.1,WP_003977107.1,WP_237310893.1	8	8
Strep_C10511	Strep_C10511A0	1	0.1111111111111111	WP_319067827.1	WP_013002685.1	WP_150471591.1,WP_003949965.1,WP_003974667.1	9	9
Strep_C10537	Strep_C10537A2	2	0.2222222222222222	WP_011027812.1	WP_328840221.1	WP_369277782.1,WP_237311035.1,WP_013005029.1	7	8
Strep_C1054	Strep_C1054A0	1	0.1111111111111111	WP_328839237.1	WP_328839237.1	WP_328736322.1,WP_015507894.1,WP_016326212.1	9	9
Strep_C10549	Strep_C10549A3	2	0.2222222222222222	WP_003974629.1	WP_003950037.1	WP_328838492.1,WP_150471568.1,WP_010351257.1	11	9
Strep_C10555	Strep_C10555A0	1	0.1111111111111111	WP_328842153.1	WP_003974059.1	WP_150474668.1,WP_037629573.1,WP_045562929.1	9	9
Strep_C10580	Strep_C10580A2	2	0.2222222222222222	WP_003972071.1	WP_037689048.1	WP_150469421.1,WP_045555740.1,WP_013005772.1	7	8
Strep_C10597	Strep_C10597A3	2	0.2222222222222222	WP_003977155.1	WP_003947229.1	WP_037702285.1,WP_086770415.1,WP_093789443.1	8	9
Strep_C1060	Strep_C1060A3	2	0.2222222222222222	WP_016326690.1	WP_003949366.1	WP_328838156.1,WP_150471862.1,WP_045558520.1	8	9
Strep_C10612	Strep_C10612A3	2	0.2222222222222222	WP_003976869.1	WP_003976869.1	WP_045560949.1,WP_037691556.1,WP_086767978.1	7	9
Strep_C10614	Strep_C10614A3	2	0.2222222222222222	WP_016326385.1	WP_016326385.1	WP_328842293.1,WP_319183830.1,WP_003950450.1	8	9
Strep_C10631	Strep_C10631A0	1	0.1111111111111111	WP_328839682.1	WP_013004283.1	WP_150474449.1,WP_003947653.1,WP_003976659.1	10	9
Strep_C10654	Strep_C10654A3	2	0.2222222222222222	WP_003974235.1	WP_037694172.1	WP_266468563.1,WP_003948609.1,WP_045559469.1	8	9
Strep_C10655	Strep_C10655A3	2	0.2222222222222222	WP_003974145.1	WP_037694352.1	WP_369279084.1,WP_003948493.1,WP_045559550.1	8	9
Strep_C10659	Strep_C10659A3	2	0.2222222222222222	WP_003974969.1	WP_328838223.1	WP_150471791.1,WP_003949469.1,WP_045558444.1	8	9
Strep_C1066	Strep_C1066A0	1	0.1111111111111111	WP_328842381.1	WP_003977016.1	WP_369277897.1,WP_015508082.1,WP_093788507.1	9	9
Strep_C10662	Strep_C10662A3	2	0.2222222222222222	WP_003976903.1	WP_328839883.1	WP_045560913.1,WP_369277941.1,WP_003947435.1	7	9
Strep_C10663	Strep_C10663A3	2	0.2222222222222222	WP_016325915.1	WP_328839981.1	WP_369277903.1,WP_010636974.1,WP_045561044.1	9	9
Strep_C10668	Strep_C10668A3	2	0.2222222222222222	WP_181924133.1	WP_150470935.1	WP_199845995.1,WP_008407311.1,WP_237310312.1	8	9
Strep_C10675	Strep_C10675A0	1	0.1111111111111111	WP_037702584.1	WP_003949632.1	WP_086770116.1,WP_003975359.1,WP_045563034.1	9	9
Strep_C10677	Strep_C10677A3	2	0.2222222222222222	WP_011030222.1	WP_003950908.1	WP_037695450.1,WP_369279273.1,WP_045558906.1	8	9
Strep_C1069	Strep_C1069A0	1	0.1111111111111111	WP_328839332.1	WP_016326163.1	WP_150470879.1,WP_045557431.1,WP_011028382.1	8	8
Strep_C10716	Strep_C10716A0	1	0.1111111111111111	WP_328840835.1	WP_365280209.1	WP_016325220.1,WP_045561756.1,WP_011027302.1	8	8
Strep_C10726	Strep_C10726A3	2	0.2222222222222222	WP_016326561.1	WP_003949648.1	WP_037702922.1,WP_150472098.1,WP_237313521.1	8	9
Strep_C10727	Strep_C10727A0	1	0.1111111111111111	WP_328839955.1	WP_015508073.1	WP_369277916.1,WP_016325924.1,WP_237310784.1	9	9
Strep_C10729	Strep_C10729A3	2	0.2222222222222222	WP_003975743.1	WP_030769855.1	WP_037692975.1,WP_086771819.1,WP_045556445.1	8	9
Strep_C1073	Strep_C1073A0	1	0.1111111111111111	WP_328838608.1	WP_045556141.1	WP_150471491.1,WP_003950124.1,WP_003974553.1	9	9
Strep_C1076	Strep_C1076A0	1	0.1111111111111111	WP_328836630.1	WP_237530379.1	WP_328734898.1,WP_003951523.1,WP_016327501.1	9	9
Strep_C10766	Strep_C10766A0	1	0.1111111111111111	WP_328835712.1	WP_328835712.1	WP_086767505.1,WP_003948102.1,WP_003971857.1	9	9
Strep_C10780	Strep_C10780A3	2	0.2222222222222222	WP_003975111.1	WP_003949318.1	WP_037689770.1,WP_369278801.1,WP_045558558.1	8	9
Strep_C10820	Strep_C10820A3	2	0.2222222222222222	WP_016327843.1	WP_319764796.1	WP_045556783.1,WP_086771171.1,WP_003952040.1	7	9
Strep_C10832	Strep_C10832A0	1	0.1111111111111111	WP_328838816.1	WP_328736072.1	WP_003950443.1,WP_003975787.1,WP_045556356.1	9	9
Strep_C10837	Strep_C10837A3	2	0.2222222222222222	WP_003973580.1	WP_369279283.1	WP_328836989.1,WP_003950931.1,WP_045558890.1	8	9
Strep_C10840	Strep_C10840A3	2	0.2222222222222222	WP_003976621.1	WP_003947689.1	WP_328839659.1,WP_369278056.1,WP_045555409.1	8	9
Strep_C10845	Strep_C10845A3	2	0.2222222222222222	WP_003973432.1	WP_008413996.1	WP_045561482.1,WP_319768363.1,WP_150472914.1	7	9
Strep_C10853	Strep_C10853A3	2	0.2222222222222222	WP_003975823.1	WP_003975823.1	WP_328836083.1,WP_369279910.1,WP_015507204.1	8	9
Strep_C10874	Strep_C10874A3	2	0.2222222222222222	WP_003975691.1	WP_010354884.1	WP_045556270.1,WP_037705614.1,WP_369278525.1	7	9
Strep_C10892	Strep_C10892A0	1	0.1111111111111111	WP_328839040.1	WP_328839040.1	WP_086765599.1,WP_003948168.1,WP_003976022.1	9	9
Strep_C10901	Strep_C10901A3	2	0.2222222222222222	WP_011027895.1	WP_150470160.1	WP_328840122.1,WP_008408825.1,WP_045557109.1	8	9
Strep_C10919	Strep_C10919A3	2	0.2222222222222222	WP_003977210.1	WP_003977210.1	WP_328840144.1,WP_266454290.1,WP_008410494.1	8	9
Strep_C10922	Strep_C10922A2	2	0.2222222222222222	WP_016326033.1	WP_045555376.1	WP_046707532.1,WP_150470600.1,WP_013004281.1	7	8
Strep_C10923	Strep_C10923A3	2	0.2222222222222222	WP_045559394.1	WP_045559394.1	WP_328837486.1,WP_369279019.1,WP_016327010.1	7	8
Strep_C1095	Strep_C1095A0	1	0.1111111111111111	WP_328840620.1	WP_003977671.1	WP_369277624.1,WP_045560307.1,WP_011027618.1	8	8
Strep_C10958	Strep_C10958A0	1	0.1111111111111111	WP_328838681.1	WP_328838681.1	WP_190046521.1,WP_003975617.1,WP_045556424.1	8	8
Strep_C10983	Strep_C10983A0	1	0.1111111111111111	WP_328836579.1	WP_003972697.1	WP_086772628.1,WP_328734854.1,WP_045559884.1	9	8
Strep_C10984	Strep_C10984A0	1	0.1111111111111111	WP_328837729.1	WP_003975370.1	WP_086770107.1,WP_003949642.1,WP_237313522.1	9	9
Strep_C1099	Strep_C1099A3	2	0.2222222222222222	WP_003977314.1	WP_223786215.1	WP_328840211.1,WP_150470072.1,WP_010636562.1	8	9
Strep_C10998	Strep_C10998A3	2	0.2222222222222222	WP_003973315.1	WP_086799469.1	WP_079024153.1,WP_328735000.1,WP_003951195.1	8	9
Strep_C11000	Strep_C11000A2	2	0.2222222222222222	WP_003972087.1	WP_010352828.1	WP_327347775.1,WP_150469438.1,WP_237311781.1	7	8
Strep_C1102	Strep_C1102A0	1	0.1111111111111111	WP_328838759.1	WP_365270831.1	WP_003975701.1,WP_193380306.1,WP_011028773.1	8	8
Strep_C11021	Strep_C11021A2	2	0.2222222222222222	WP_016325827.1	WP_328840175.1	WP_328736971.1,WP_237310989.1,WP_013004953.1	7	8
Strep_C11024	Strep_C11024A0	1	0.1111111111111111	WP_328842129.1	WP_328842129.1	WP_086771710.1,WP_003950779.1,WP_003973729.1	9	9
Strep_C11026	Strep_C11026A0	1	0.1111111111111111	WP_319694435.1	WP_086771716.1	WP_003976403.1,WP_045557892.1,WP_011028332.1	8	8
Strep_C11036	Strep_C11036A3	2	0.2222222222222222	WP_003974789.1	WP_008415477.1	WP_319766665.1,WP_150471665.1,WP_045555946.1	8	9
Strep_C11038	Strep_C11038A3	2	0.2222222222222222	WP_003972716.1	WP_015506865.1	WP_328836360.1,WP_365267138.1,WP_045556460.1	8	9
Strep_C11049	Strep_C11049A0	1	0.1111111111111111	WP_328835960.1	WP_016325533.1	WP_328734449.1,WP_003946719.1,WP_045561546.1	9	9
Strep_C1105	Strep_C1105A0	1	0.1111111111111111	WP_328839205.1	WP_013003544.1	WP_328736303.1,WP_003948069.1,WP_003976158.1	9	9
Strep_C11075	Strep_C11075A0	1	0.1111111111111111	WP_046707459.1	WP_046707459.1	WP_086766212.1,WP_003948686.1,WP_003974345.1	9	9
Strep_C11087	Strep_C11087A2	2	0.2222222222222222	WP_003973710.1	WP_086771221.1	WP_045558993.1,WP_328837078.1,WP_013000769.1	6	8
Strep_C11101	Strep_C11101A0	1	0.1111111111111111	WP_328836735.1	WP_003973259.1	WP_328734969.1,WP_045561145.1,WP_161270244.1	8	8
Strep_C1111	Strep_C1111A0	1	0.1111111111111111	WP_328840626.1	WP_003952170.1	WP_150469739.1,WP_016325657.1,WP_060885658.1	9	9
Strep_C11113	Strep_C11113A0	1	0.1111111111111111	WP_327342158.1	WP_237312863.1	WP_150473925.1,WP_003978078.1,WP_011027351.1	8	8
Strep_C11118	Strep_C11118A0	1	0.1111111111111111	WP_413254413.1	WP_041668912.1	WP_167535053.1,WP_016327892.1,WP_234442746.1	8	8
Strep_C11132	Strep_C11132A0	1	0.1111111111111111	WP_328835946.1	WP_328835946.1	WP_365266433.1,WP_016325520.1,WP_093788560.1	8	8
Strep_C11133	Strep_C11133A2	2	0.2222222222222222	WP_003972317.1	WP_328836128.1	WP_369279883.1,WP_193379920.1,WP_012999400.1	7	8
Strep_C11136	Strep_C11136A3	2	0.2222222222222222	WP_003973708.1	WP_328837077.1	WP_150472714.1,WP_003950806.1,WP_060883326.1	8	9
Strep_C11147	Strep_C11147A0	1	0.1111111111111111	WP_327346699.1	WP_003947346.1	WP_086767645.1,WP_003977041.1,WP_060885261.1	9	9
Strep_C11174	Strep_C11174A3	2	0.2222222222222222	WP_016326176.1	WP_199924033.1	WP_177261760.1,WP_167534868.1,WP_003947966.1	7	9
Strep_C11177	Strep_C11177A0	1	0.1111111111111111	WP_328836798.1	WP_328836798.1	WP_369279403.1,WP_046247812.1,WP_045561409.1	8	8
Strep_C11179	Strep_C11179A0	1	0.1111111111111111	WP_328840818.1	WP_328840818.1	WP_150469669.1,WP_003952264.1,WP_003977749.1	9	9
Strep_C11185	Strep_C11185A3	2	0.2222222222222222	WP_003976885.1	WP_003947450.1	WP_037691512.1,WP_167535026.1,WP_045560930.1	8	9
Strep_C11190	Strep_C11190A0	1	0.1111111111111111	WP_328837598.1	WP_015507680.1	WP_086772602.1,WP_037666589.1,WP_078853622.1	9	9
Strep_C11239	Strep_C11239A3	2	0.2222222222222222	WP_003976891.1	WP_003947444.1	WP_037691500.1,WP_328736844.1,WP_045560924.1	8	9
Strep_C11246	Strep_C11246A0	1	0.1111111111111111	WP_037691219.1	WP_003977026.1	WP_150470307.1,WP_003947358.1,WP_033529233.1	9	9
Strep_C11284	Strep_C11284A0	1	0.1111111111111111	WP_328837062.1	WP_328837062.1	WP_086770529.1,WP_003973672.1,WP_045558970.1	8	8
Strep_C11285	Strep_C11285A2	2	0.2222222222222222	WP_003975294.1	WP_328837784.1	WP_369278888.1,WP_045558160.1,WP_013001899.1	7	8
Strep_C11287	Strep_C11287A2	2	0.2222222222222222	WP_003976924.1	WP_328839912.1	WP_365278068.1,WP_045560885.1,WP_231885160.1	7	8
Strep_C11294	Strep_C11294A3	2	0.2222222222222222	WP_003975718.1	WP_003950352.1	WP_328838772.1,WP_369278516.1,WP_045556301.1	8	9
Strep_C11296	Strep_C11296A0	1	0.1111111111111111	WP_037704108.1	WP_015506755.1	WP_150473696.1,WP_003972236.1,WP_045556819.1	9	9
Strep_C11305	Strep_C11305A4	2	0.2222222222222222	WP_003975816.1	WP_003975816.1	WP_328836081.1,WP_328838841.1,WP_369278486.1	9	9
Strep_C11312	Strep_C11312A2	2	0.2222222222222222	WP_003976933.1	WP_045560877.1	WP_046704228.1,WP_086769474.1,WP_013004588.1	7	8
Strep_C11340	Strep_C11340A3	2	0.2222222222222222	WP_003976689.1	WP_037693449.1	WP_086768220.1,WP_003947621.1,WP_045555351.1	8	9
Strep_C11353	Strep_C11353A0	1	0.1111111111111111	WP_037696042.1	WP_086765841.1	WP_003951137.1,WP_003973386.1,WP_045561447.1	9	9
Strep_C11373	Strep_C11373A0	1	0.1111111111111111	WP_328837778.1	WP_093792757.1	WP_369278894.1,WP_003948790.1,WP_003975306.1	9	9
Strep_C11379	Strep_C11379A2	2	0.2222222222222222	WP_003974986.1	WP_013002303.1	WP_328838207.1,WP_150471804.1,WP_045558463.1	7	8
Strep_C11393	Strep_C11393A0	1	0.1111111111111111	WP_037703543.1	WP_037703543.1	WP_150471244.1,WP_003950564.1,WP_016326338.1	9	9
Strep_C11405	Strep_C11405A0	1	0.1111111111111111	WP_046707543.1	WP_365266269.1	WP_003978122.1,WP_237312816.1,WP_011027325.1	8	8
Strep_C11413	Strep_C11413A3	2	0.2222222222222222	WP_003977616.1	WP_003946795.1	WP_328840419.1,WP_365272648.1,WP_045562349.1	8	9
Strep_C11418	Strep_C11418A4	2	0.2222222222222222	WP_045556653.1	WP_003951957.1	WP_037704327.1,WP_365266928.1,WP_003972415.1	8	9
Strep_C11425	Strep_C11425A3	2	0.2222222222222222	WP_003973711.1	WP_003973711.1	WP_328837079.1,WP_150472711.1,WP_008415538.1	8	9
Strep_C11428	Strep_C11428A0	1	0.1111111111111111	WP_328839453.1	WP_003976419.1	WP_150470784.1,WP_003947866.1,WP_045557918.1	9	9
Strep_C11430	Strep_C11430A2	2	0.2222222222222222	WP_003978441.1	WP_003978441.1	WP_037704843.1,WP_365272789.1,WP_237311133.1	7	8
Strep_C11443	Strep_C11443A0	1	0.1111111111111111	WP_328838259.1	WP_013002393.1	WP_369277516.1,WP_003977951.1,WP_045562533.1	8	8
Strep_C11472	Strep_C11472A0	1	0.1111111111111111	WP_328838683.1	WP_328838683.1	WP_369278569.1,WP_003952325.1,WP_003975620.1	9	9
Strep_C11476	Strep_C11476A0	1	0.1111111111111111	WP_328841110.1	WP_328841110.1	WP_266452819.1,WP_003978365.1,WP_045555607.1	8	8
Strep_C11496	Strep_C11496A0	1	0.1111111111111111	WP_319769208.1	WP_015507271.1	WP_369278538.1,WP_003975668.1,WP_193380320.1	9	9
Strep_C11523	Strep_C11523A3	2	0.2222222222222222	WP_003976742.1	WP_010350393.1	WP_037693353.1,WP_086765551.1,WP_003947569.1	8	9
Strep_C11527	Strep_C11527A0	1	0.1111111111111111	WP_328836691.1	WP_010353007.1	WP_369279466.1,WP_003973191.1,WP_093790468.1	8	8
Strep_C11543	Strep_C11543A0	1	0.1111111111111111	WP_328838316.1	WP_328838316.1	WP_369278707.1,WP_003949557.1,WP_016326767.1	9	9
Strep_C11544	Strep_C11544A3	2	0.2222222222222222	WP_003974818.1	WP_328838355.1	WP_150471684.1,WP_003949064.1,WP_045555920.1	8	9
Strep_C11545	Strep_C11545A2	2	0.2222222222222222	WP_003974682.1	WP_328838439.1	WP_150471599.1,WP_045556003.1,WP_013002667.1	7	8
Strep_C11547	Strep_C11547A0	1	0.1111111111111111	WP_328842397.1	WP_328842397.1	WP_365269232.1,WP_003947176.1,WP_016325848.1	9	9
Strep_C11548	Strep_C11548A0	1	0.1111111111111111	WP_328840230.1	WP_150470047.1	WP_003947011.1,WP_016325787.1,WP_237311042.1	9	9
Strep_C11560	Strep_C11560A3	2	0.2222222222222222	WP_003974091.1	WP_003948410.1	WP_319696681.1,WP_150472461.1,WP_237313329.1	8	9
Strep_C11572	Strep_C11572A0	1	0.1111111111111111	WP_328836522.1	WP_003972843.1	WP_369279546.1,WP_093789627.1,WP_134111900.1	8	8
Strep_C11574	Strep_C11574A0	1	0.1111111111111111	WP_086752758.1	WP_003974739.1	WP_073492111.1,WP_003949803.1,WP_237309548.1	9	9
Strep_C11615	Strep_C11615A3	2	0.2222222222222222	WP_003972246.1	WP_086770914.1	WP_319690744.1,WP_003952076.1,WP_045556809.1	8	9
Strep_C1162	Strep_C1162A0	1	0.1111111111111111	WP_328837523.1	WP_016327002.1	WP_369279007.1,WP_003948731.1,WP_045559359.1	9	9
Strep_C11621	Strep_C11621A3	2	0.2222222222222222	WP_003976821.1	WP_003947496.1	WP_046704556.1,WP_150470468.1,WP_045555220.1	8	9
Strep_C11626	Strep_C11626A4	2	0.2222222222222222	WP_003972822.1	WP_003951629.1	WP_328836500.1,WP_328836621.1,WP_150473291.1	10	9
Strep_C11638	Strep_C11638A2	2	0.2222222222222222	WP_003971798.1	WP_003971798.1	WP_328835697.1,WP_150474151.1,WP_045560199.1	7	8
Strep_C1164	Strep_C1164A3	2	0.2222222222222222	WP_003975461.1	WP_355907516.1	WP_037702414.1,WP_003948888.1,WP_045562642.1	8	9
Strep_C11680	Strep_C11680A3	2	0.2222222222222222	WP_003973213.1	WP_010358917.1	WP_328836704.1,WP_328734948.1,WP_003951290.1	8	9
Strep_C11684	Strep_C11684A3	2	0.2222222222222222	WP_003973600.1	WP_037695441.1	WP_013000631.1,WP_086767722.1,WP_003950904.1	7	9
Strep_C11687	Strep_C11687A0	1	0.1111111111111111	WP_328836712.1	WP_328836712.1	WP_150473076.1,WP_003951268.1,WP_003973232.1	9	9
Strep_C1169	Strep_C1169A0	1	0.1111111111111111	WP_328840156.1	WP_003947150.1	WP_369277811.1,WP_003977230.1,WP_237310975.1	9	9
Strep_C11692	Strep_C11692A0	1	0.1111111111111111	WP_328837765.1	WP_150474639.1	WP_003974368.1,WP_045558130.1,WP_011029742.1	8	8
Strep_C1172	Strep_C1172A0	1	0.1111111111111111	WP_328837372.1	WP_003948517.1	WP_369279070.1,WP_003974174.1,WP_193380567.1	9	9
Strep_C11749	Strep_C11749A3	2	0.2222222222222222	WP_011030376.1	WP_319768421.1	WP_369279397.1,WP_003951161.1,WP_237313211.1	8	9
Strep_C11761	Strep_C11761A3	2	0.2222222222222222	WP_003974981.1	WP_328838208.1	WP_086766372.1,WP_008416682.1,WP_045558458.1	8	9
Strep_C11780	Strep_C11780A3	2	0.2222222222222222	WP_003975354.1	WP_003949627.1	WP_328837737.1,WP_365277297.1,WP_045563030.1	8	9
Strep_C11786	Strep_C11786A0	1	0.1111111111111111	WP_328838038.1	WP_003976322.1	WP_369278199.1,WP_237313747.1,WP_011028377.1	8	8
