Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD	Genome assembly ID	Genome representation
GCF_015708605.1	Streptomyces clavuligerus (strain=ATCC 27064)	1901	6971	Unknown	Unknown	GCF_015708605.1	full
GCF_015767735.1	Streptomyces clavuligerus (strain=F1D1)	1901	6058	Unknown	Unknown	GCF_015767735.1	full
GCF_015767755.1	Streptomyces clavuligerus (strain=F1D4)	1901	6057	Unknown	Unknown	GCF_015767755.1	full
GCF_015767775.1	Streptomyces clavuligerus (strain=F1D7)	1901	6055	Unknown	Unknown	GCF_015767775.1	full
GCF_015767795.1	Streptomyces clavuligerus (strain=F1D10)	1901	6074	Unknown	Unknown	GCF_015767795.1	full
GCF_015767815.1	Streptomyces clavuligerus (strain=F1D14)	1901	6069	Unknown	Unknown	GCF_015767815.1	full
GCF_015767855.1	Streptomyces clavuligerus (strain=F1D18)	1901	6028	Unknown	Unknown	GCF_015767855.1	full
GCF_015767875.1	Streptomyces clavuligerus (strain=F1D26)	1901	6068	Unknown	Unknown	GCF_015767875.1	full
GCF_015767895.1	Streptomyces clavuligerus (strain=F1D31)	1901	6067	Unknown	Unknown	GCF_015767895.1	full
GCF_015767915.1	Streptomyces clavuligerus (strain=F1D35)	1901	6070	Unknown	Unknown	GCF_015767915.1	full
GCF_015767935.1	Streptomyces clavuligerus (strain=F1D28)	1901	6057	Unknown	Unknown	GCF_015767935.1	full
GCF_028752555.1	Streptomyces clavuligerus (strain=DSM 738)	1901	7378	Unknown	Unknown	GCF_028752555.1	full
GCF_023376055.1	Streptomyces fradiae (strain=ZXY017)	1906	4985	Unknown	Unknown	GCF_023376055.1	full
GCF_032932555.1	Streptomyces fradiae (strain=FIMYZ-003)	1906	5467	Unknown	Unknown	GCF_032932555.1	full
GCF_041270065.1	Streptomyces fradiae (strain=T2-24)	1906	6973	Unknown	Unknown	GCF_041270065.1	full
GCF_041937565.1	Streptomyces fradiae (strain=W444)	1906	5342	Unknown	Unknown	GCF_041937565.1	full
GCF_046618915.1	Streptomyces fradiae (strain=181729)	1906	5761	Unknown	Unknown	GCF_046618915.1	full
GCF_000761215.1	Streptomyces glaucescens (strain=GLA.O)	1907	6447	Unknown	Unknown	GCF_000761215.1	full
GCF_003147545.1	Streptomyces globisporus (strain=TFH56)	1908	6487	Unknown	Unknown	GCF_003147545.1	full
GCF_035919765.1	Streptomyces globisporus (strain=NBC 01745)	1908	7110	Unknown	Unknown	GCF_035919765.1	full
GCF_036010305.1	Streptomyces globisporus (strain=NBC_01211)	1908	6843	Unknown	Unknown	GCF_036010305.1	full
GCF_045162705.1	Streptomyces globisporus (strain=NBC_01004)	1908	6930	Unknown	Unknown	GCF_045162705.1	full
GCF_045162865.1	Streptomyces globisporus (strain=NBC_01078)	1908	7925	Unknown	Unknown	GCF_045162865.1	full
GCF_045162805.1	Streptomyces griseus (strain=NBC_01018)	1911	7435	Unknown	Unknown	GCF_045162805.1	full
GCF_045209705.1	Streptomyces griseus (strain=NBC 01630)	1911	7196	Unknown	Unknown	GCF_045209705.1	full
GCF_045209855.1	Streptomyces griseus (strain=NBC 01652)	1911	7193	Unknown	Unknown	GCF_045209855.1	full
GCF_022846675.1	Streptomyces hygroscopicus (strain=HOK021)	1912	7140	Unknown	Unknown	GCF_022846675.1	full
GCF_001685355.1	Streptomyces lincolnensis (strain=NRRL 2936)	1915	8947	Unknown	Unknown	GCF_001685355.1	full
GCF_003344445.1	Streptomyces lincolnensis (strain=LC-G)	1915	8293	Unknown	Unknown	GCF_003344445.1	full
GCF_014083905.1	Streptomyces lincolnensis (strain=B48)	1915	8280	Unknown	Unknown	GCF_014083905.1	full
GCF_013364315.1	Streptomyces microflavus (strain=NA06532)	1919	7188	Unknown	Unknown	GCF_013364315.1	full
GCF_035917435.1	Streptomyces microflavus (strain=NBC 01798)	1919	6918	Unknown	Unknown	GCF_035917435.1	full
GCF_036010585.1	Streptomyces microflavus (strain=NBC_01194)	1919	7590	Unknown	Unknown	GCF_036010585.1	full
GCF_036227005.1	Streptomyces microflavus (strain=NBC 01684)	1919	7107	Unknown	Unknown	GCF_036227005.1	full
GCF_036227025.1	Streptomyces microflavus (strain=NBC 01683)	1919	7281	Unknown	Unknown	GCF_036227025.1	full
GCF_036237355.1	Streptomyces microflavus (strain=NBC_01346)	1919	7244	Unknown	Unknown	GCF_036237355.1	full
GCF_045039785.1	Streptomyces microflavus (strain=NBC_01168)	1919	7502	Unknown	Unknown	GCF_045039785.1	full
GCF_045039865.1	Streptomyces microflavus (strain=NBC_01184)	1919	7228	Unknown	Unknown	GCF_045039865.1	full
GCF_045040115.1	Streptomyces microflavus (strain=NBC_01391)	1919	6976	Unknown	Unknown	GCF_045040115.1	full
GCF_045208555.1	Streptomyces microflavus (strain=NBC_01595)	1919	7006	Unknown	Unknown	GCF_045208555.1	full
GCF_024349765.1	Streptomyces nigrescens (strain=HEK616)	1920	8000	Unknown	Unknown	GCF_024349765.1	full
GCF_027626975.1	Streptomyces nigrescens (strain=DSM 40276)	1920	7937	Unknown	Unknown	GCF_027626975.1	full
GCF_035917195.1	Streptomyces phaeochromogenes (strain=NBC_00186)	1923	10426	Unknown	Unknown	GCF_035917195.1	full
GCF_035918055.1	Streptomyces phaeochromogenes (strain=NBC 01752)	1923	10334	Unknown	Unknown	GCF_035918055.1	full
GCF_035957715.1	Streptomyces phaeochromogenes (strain=NBC_01328)	1923	9924	Unknown	Unknown	GCF_035957715.1	full
GCF_036133475.1	Streptomyces phaeochromogenes (strain=NBC_00333)	1923	9742	Unknown	Unknown	GCF_036133475.1	full
GCF_045039855.1	Streptomyces phaeochromogenes (strain=NBC_01183)	1923	10213	Unknown	Unknown	GCF_045039855.1	full
GCF_045040175.1	Streptomyces phaeochromogenes (strain=NBC_01409)	1923	9754	Unknown	Unknown	GCF_045040175.1	full
GCF_045162745.1	Streptomyces phaeochromogenes (strain=NBC_01011)	1923	10339	Unknown	Unknown	GCF_045162745.1	full
GCF_045207355.1	Streptomyces phaeochromogenes (strain=NBC_00856)	1923	9882	Unknown	Unknown	GCF_045207355.1	full
GCF_045040895.1	Streptomyces purpurascens (strain=NBC_00017)	1924	8072	Unknown	Unknown	GCF_045040895.1	full
GCF_006229535.1	Streptomyces rimosus (strain=WT5260)	1927	8230	Unknown	Unknown	GCF_006229535.1	full
GCF_008704655.1	Streptomyces rimosus (strain=ATCC 10970)	1927	7966	Unknown	Unknown	GCF_008704655.1	full
GCF_038250085.1	Streptomyces rimosus	1927	7447	Unknown	Unknown	GCF_038250085.1	full
GCF_038252105.1	Streptomyces rimosus	1927	7955	Unknown	Unknown	GCF_038252105.1	full
GCF_030863865.1	Streptomyces rochei (strain=JK1)	1928	6999	Unknown	Unknown	GCF_030863865.1	full
GCF_034422375.1	Streptomyces rochei (strain=D21E05)	1928	7268	Unknown	Unknown	GCF_034422375.1	full
GCF_040819605.1	Streptomyces rochei (strain=SR1102)	1928	7092	Unknown	Unknown	GCF_040819605.1	full
GCF_008632955.1	Streptomyces tendae (strain=139)	1932	6310	Unknown	Unknown	GCF_008632955.1	full
GCF_002082175.1	Streptomyces violaceoruber (strain=S21)	1935	6696	Unknown	Unknown	GCF_002082175.1	full
GCF_033406955.1	Streptomyces violaceoruber (strain=CGMCC 4.1801)	1935	7539	Unknown	Unknown	GCF_033406955.1	full
GCF_048595635.1	Streptomyces violaceoruber (strain=BM-41)	1935	6532	Unknown	Unknown	GCF_048595635.1	full
GCF_036014055.1	Streptomyces violaceus (strain=NBC_00456)	1936	8088	Unknown	Unknown	GCF_036014055.1	full
GCF_036014075.1	Streptomyces violaceus (strain=NBC_00450)	1936	7757	Unknown	Unknown	GCF_036014075.1	full
GCF_036226305.1	Streptomyces violaceus (strain=NBC_00293)	1936	7426	Unknown	Unknown	GCF_036226305.1	full
GCF_002192455.1	Streptomyces albireticuli (strain=MDJK11)	1940	6723	Unknown	Unknown	GCF_002192455.1	full
GCF_027942015.1	Streptomyces goshikiensis (strain=CGMCC 4.1796)	1942	7000	Unknown	Unknown	GCF_027942015.1	full
GCF_034568915.1	Streptomyces goshikiensis (strain=B-1662)	1942	7133	Unknown	Unknown	GCF_034568915.1	full
GCF_036010625.1	Streptomyces goshikiensis (strain=NBC_01191)	1942	7427	Unknown	Unknown	GCF_036010625.1	full
GCF_036175285.1	Streptomyces goshikiensis (strain=NBC_00283)	1942	7362	Unknown	Unknown	GCF_036175285.1	full
GCF_045162015.1	Streptomyces goshikiensis (strain=NBC_00909)	1942	7784	Unknown	Unknown	GCF_045162015.1	full
GCF_046837755.1	Streptomyces goshikiensis (strain=A54)	1942	7736	Unknown	Unknown	GCF_046837755.1	full
GCF_045162305.1	Streptomyces halstedii (strain=NBC_00972)	1944	6061	Unknown	Unknown	GCF_045162305.1	full
GCF_045207185.1	Streptomyces halstedii (strain=NBC 00641)	1944	6679	Unknown	Unknown	GCF_045207185.1	full
GCF_025854275.1	Streptomyces peucetius (strain=NA0869)	1950	6834	Unknown	Unknown	GCF_025854275.1	full
GCF_045209695.1	Streptomyces thermoviolaceus (strain=NBC 01629)	1952	5088	Unknown	Unknown	GCF_045209695.1	full
GCF_008704935.1	Streptomyces vinaceus (strain=ATCC 27476)	1960	6730	Unknown	Unknown	GCF_008704935.1	full
GCF_035917955.1	Streptomyces virginiae (strain=NBC 01758)	1961	7970	Unknown	Unknown	GCF_035917955.1	full
GCF_036173085.1	Streptomyces virginiae (strain=NBC_00288)	1961	8055	Unknown	Unknown	GCF_036173085.1	full
GCF_036193325.1	Streptomyces virginiae (strain=NBC_00248)	1961	8291	Unknown	Unknown	GCF_036193325.1	full
GCF_036226625.1	Streptomyces virginiae (strain=NBC_00701)	1961	7721	Unknown	Unknown	GCF_036226625.1	full
GCF_036870975.1	Streptomyces virginiae (strain=THA-960)	1961	7320	Unknown	Unknown	GCF_036870975.1	full
GCF_041432505.1	Streptomyces virginiae (strain=NBC 00488)	1961	8385	Unknown	Unknown	GCF_041432505.1	full
GCF_041435175.1	Streptomyces virginiae (strain=NBC 00226)	1961	7980	Unknown	Unknown	GCF_041435175.1	full
GCF_045160905.1	Streptomyces virginiae (strain=NBC_00168)	1961	8000	Unknown	Unknown	GCF_045160905.1	full
GCF_045160935.1	Streptomyces virginiae (strain=NBC_00179)	1961	8119	Unknown	Unknown	GCF_045160935.1	full
GCF_045161095.1	Streptomyces virginiae (strain=NBC_00220)	1961	7924	Unknown	Unknown	GCF_045161095.1	full
GCF_045161805.1	Streptomyces virginiae (strain=NBC_00831)	1961	8149	Unknown	Unknown	GCF_045161805.1	full
GCF_045206225.1	Streptomyces virginiae (strain=NBC_00125)	1961	7932	Unknown	Unknown	GCF_045206225.1	full
GCF_008704495.1	Streptomyces kanamyceticus (strain=ATCC 12853)	1967	8552	Unknown	Unknown	GCF_008704495.1	full
GCF_044590815.1	Streptomyces kanamyceticus (strain=5812)	1967	7496	Unknown	Unknown	GCF_044590815.1	full
GCF_008704715.1	Streptomyces chartreusis (strain=ATCC 14922)	1969	8512	Unknown	Unknown	GCF_008704715.1	full
GCF_013375055.1	Streptomyces chartreusis (strain=NA02069)	1969	9406	Unknown	Unknown	GCF_013375055.1	full
GCF_036010565.1	Streptomyces chartreusis (strain=NBC_00215)	1969	9109	Unknown	Unknown	GCF_036010565.1	full
GCF_036345055.1	Streptomyces chartreusis (strain=NBC_00590)	1969	8753	Unknown	Unknown	GCF_036345055.1	full
GCF_045207345.1	Streptomyces chartreusis (strain=NBC_00851)	1969	9461	Unknown	Unknown	GCF_045207345.1	full
GCF_045207395.1	Streptomyces chartreusis (strain=NBC_00865)	1969	9318	Unknown	Unknown	GCF_045207395.1	full
GCF_000695235.1	Streptomyces noursei (strain=NK660)	1971	7845	Unknown	Unknown	GCF_000695235.1	full
GCF_000935185.3	Streptomyces noursei (strain=CK-15)	1971	7866	Unknown	Unknown	GCF_000935185.3	full
GCF_016917755.1	Streptomyces noursei (strain=A-2-1)	1971	8229	Unknown	Unknown	GCF_016917755.1	full
GCF_025163575.1	Streptomyces noursei (strain=IFO14147)	1971	7804	Unknown	Unknown	GCF_025163575.1	full
GCF_029167025.1	Streptomyces noursei (strain=C27)	1971	8211	Unknown	Unknown	GCF_029167025.1	full
GCF_042465085.1	Streptomyces noursei (strain=Ah11601)	1971	7973	Unknown	Unknown	GCF_042465085.1	full
GCF_043950195.1	Streptomyces noursei (strain=S83)	1971	8026	Unknown	Unknown	GCF_043950195.1	full
GCF_008704555.1	Streptomyces nitrosporeus (strain=ATCC 12769)	28894	6456	Unknown	Unknown	GCF_008704555.1	full
GCF_016467295.1	Streptomyces murinus (strain=Am1)	33900	7355	Unknown	Unknown	GCF_016467295.1	full
GCF_025231465.1	Streptomyces murinus (strain=CR-43)	33900	7120	Unknown	Unknown	GCF_025231465.1	full
GCF_034424055.1	Streptomyces murinus (strain=STR-1)	33900	7174	Unknown	Unknown	GCF_034424055.1	full
GCF_035954955.1	Streptomyces murinus (strain=NBC_01332)	33900	7313	Unknown	Unknown	GCF_035954955.1	full
GCF_036346815.1	Streptomyces murinus (strain=NBC_00520)	33900	7199	Unknown	Unknown	GCF_036346815.1	full
GCF_035918035.1	Streptomyces hirsutus (strain=NBC 01753)	35620	7412	Unknown	Unknown	GCF_035918035.1	full
GCF_045209795.1	Streptomyces hirsutus (strain=NBC 01646)	35620	7585	Unknown	Unknown	GCF_045209795.1	full
GCF_020099395.1	Streptomyces mobaraensis (strain=DSM 40587)	35621	6510	Unknown	Unknown	GCF_020099395.1	full
GCF_022759525.1	Streptomyces mobaraensis (strain=DSM 40587)	35621	6480	Unknown	Unknown	GCF_022759525.1	full
GCF_008704535.1	Streptomyces subrutilus (strain=ATCC 27467)	36818	6542	Unknown	Unknown	GCF_008704535.1	full
GCF_035959875.1	Streptomyces subrutilus (strain=NBC_01325)	36818	6819	Unknown	Unknown	GCF_035959875.1	full
GCF_001278075.1	Streptomyces pristinaespiralis (strain=HCCB 10218)	38300	6905	Unknown	Unknown	GCF_001278075.1	full
GCF_014070435.1	Streptomyces pristinaespiralis (strain=PR11)	38300	6799	Unknown	Unknown	GCF_014070435.1	full
GCF_008704995.1	Streptomyces nodosus (strain=ATCC 14899)	40318	6603	Unknown	Unknown	GCF_008704995.1	full
GCF_017352335.1	Streptomyces nodosus (strain=ZJB2016050)	40318	6442	Unknown	Unknown	GCF_017352335.1	full
GCF_036873425.1	Streptomyces acidiscabies (strain=B21-098)	42234	8352	Unknown	Unknown	GCF_036873425.1	full
GCF_036873705.1	Streptomyces acidiscabies (strain=B21-078)	42234	9495	Unknown	Unknown	GCF_036873705.1	full
GCF_042466695.1	Streptomyces eurythermus (strain=GDS1)	42237	7863	Unknown	Unknown	GCF_042466695.1	full
GCF_001704195.1	Streptomyces sampsonii (strain=KJ40)	42239	5980	Unknown	Unknown	GCF_001704195.1	full
GCF_021496465.1	Streptomyces collinus (strain=SQ)	42684	5817	Unknown	Unknown	GCF_021496465.1	full
GCF_031348265.1	Streptomyces collinus (strain=CGMCC 4.1623)	42684	7736	Unknown	Unknown	GCF_031348265.1	full
GCF_032927875.1	Streptomyces collinus (strain=Inha504)	42684	7843	Unknown	Unknown	GCF_032927875.1	full
GCF_015160875.1	Streptomyces chromofuscus (strain=DSM 40273)	42881	6415	Unknown	Unknown	GCF_015160875.1	full
GCF_044987285.1	Streptomyces thermolineatus (strain=NAK03196)	44033	5079	Unknown	Unknown	GCF_044987285.1	full
GCF_003994395.1	Streptomyces griseoviridis (strain=F1-27)	45398	7518	Unknown	Unknown	GCF_003994395.1	full
GCF_005222485.1	Streptomyces griseoviridis (strain=K61)	45398	7552	Unknown	Unknown	GCF_005222485.1	full
GCF_015244315.1	Streptomyces olivaceus (strain=SCSIO T05)	47716	7072	Unknown	Unknown	GCF_015244315.1	full
GCF_027497495.1	Streptomyces tubercidicus (strain=DSM 40261)	47759	6909	Unknown	Unknown	GCF_027497495.1	full
GCF_035979555.1	Streptomyces tubercidicus (strain=NBC_01297)	47759	7108	Unknown	Unknown	GCF_035979555.1	full
GCF_036013785.1	Streptomyces tubercidicus (strain=NBC_00475)	47759	7189	Unknown	Unknown	GCF_036013785.1	full
GCF_041434035.1	Streptomyces tubercidicus (strain=NBC 00383)	47759	7124	Unknown	Unknown	GCF_041434035.1	full
GCF_014701115.1	Streptomyces aurantiacus (strain=JCM 4677)	47760	7926	Unknown	Unknown	GCF_014701115.1	full
GCF_027107535.1	Streptomyces aurantiacus (strain=Qhu-M197)	47760	8404	Unknown	Unknown	GCF_027107535.1	full
GCF_001729485.1	Streptomyces lydicus (strain=103)	47763	7034	Unknown	Unknown	GCF_001729485.1	full
GCF_001984445.1	Streptomyces lydicus (strain=GS93)	47763	7084	Unknown	Unknown	GCF_001984445.1	full
GCF_003994375.1	Streptomyces lydicus (strain=WYEC 108)	47763	7552	Unknown	Unknown	GCF_003994375.1	full
GCF_020790115.1	Streptomyces lydicus (strain=M01)	47763	6748	Unknown	Unknown	GCF_020790115.1	full
GCF_036207985.1	Streptomyces lydicus (strain=NBC_00722)	47763	7134	Unknown	Unknown	GCF_036207985.1	full
GCF_045039555.1	Streptomyces gougerotii (strain=NBC_01103)	53448	5402	Unknown	Unknown	GCF_045039555.1	full
GCF_014216335.1	Streptomyces rutgersensis (strain=NBH77)	53451	5620	Unknown	Unknown	GCF_014216335.1	full
GCF_001886595.1	Streptomyces venezuelae (strain=NRRL B-65442)	54571	7433	Unknown	Unknown	GCF_001886595.1	full
GCF_008639045.1	Streptomyces venezuelae (strain=ATCC 21113)	54571	6890	Unknown	Unknown	GCF_008639045.1	full
GCF_008642275.1	Streptomyces venezuelae (strain=ATCC 21018)	54571	6700	Unknown	Unknown	GCF_008642275.1	full
GCF_008642295.1	Streptomyces venezuelae (strain=ATCC 21782)	54571	6490	Unknown	Unknown	GCF_008642295.1	full
GCF_008642315.1	Streptomyces venezuelae (strain=ATCC 14584)	54571	7678	Unknown	Unknown	GCF_008642315.1	full
