gene	dominant_allele	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component
Strep_C10088	Strep_C10088A0	WP_004931372.1	OHU10_RS33000	OHU10_RS33000	rod shape-determining protein	GO:0000902;GO:0005524;GO:0005737;GO:0008360	cell morphogenesis|0000902||IEA|regulation of cell shape|0008360||IEA	ATP binding|0005524||IEA	cytoplasm|0005737||IEA
Strep_C1010	Strep_C1010A0	WP_328839124.1	OHU10_RS32260	OHU10_RS32260	alpha/beta fold hydrolase				
Strep_C10111	Strep_C10111A3	WP_003975452.1	SC_RS19030	SC_RS19030	carboxylating nicotinate-nucleotide diphosphorylase	GO:0004514;GO:0009435	NAD+ biosynthetic process|0009435||IEA	nicotinate-nucleotide diphosphorylase (carboxylating) activity|0004514||IEA	
Strep_C10116	Strep_C10116A3	WP_003974132.1	SC_RS26355	SC_RS26355	tryptophan--tRNA ligase	GO:0000166;GO:0004830;GO:0005524;GO:0006436	tryptophanyl-tRNA aminoacylation|0006436||IEA	nucleotide binding|0000166||IEA|tryptophan-tRNA ligase activity|0004830||IEA|ATP binding|0005524||IEA	
Strep_C10124	Strep_C10124A0	WP_328840304.1	OHU10_RS40985	OHU10_RS40985	EamA family transporter	GO:0005215;GO:0005886;GO:0016020;GO:0055085	transmembrane transport|0055085||IEA	transporter activity|0005215||IEA	plasma membrane|0005886||IEA|membrane|0016020||IEA
Strep_C10127	Strep_C10127A0	WP_328838978.1	OHU10_RS31335	OHU10_RS31335	SEC-C domain-containing protein				
Strep_C10143	Strep_C10143A3	WP_003977578.1	SC_RS08220	SC_RS08220	hemolysin family protein	GO:0005886;GO:0016020			plasma membrane|0005886||IEA|membrane|0016020||IEA
Strep_C10147	Strep_C10147A3	WP_003976249.1	SC_RS14825	SC_RS14825	heat-inducible transcriptional repressor HrcA	GO:0003677;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA	
Strep_C10149	Strep_C10149A0	WP_328836893.1	OHU10_RS16510	OHU10_RS16510	methionine synthase				
Strep_C10150	Strep_C10150A0	WP_328837165.1	OHU10_RS18605	OHU10_RS18605	ABC transporter permease	GO:0042626;GO:0140359		ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	
Strep_C10154	Strep_C10154A2	WP_003974078.1	SC_RS26635	SC_RS26635	sigma-70 family RNA polymerase sigma factor				
Strep_C10164	Strep_C10164A3	WP_003973761.1	SC_RS28235	SC_RS28235	ribosome small subunit-dependent GTPase A	GO:0003924;GO:0005525;GO:0006412;GO:0043022	translation|0006412||IEA	GTPase activity|0003924||IEA|GTP binding|0005525||IEA|ribosome binding|0043022||IEA	
Strep_C10168	Strep_C10168A4	WP_045556275.1	CVT30_RS26040	CVT30_RS26040	SMI1/KNR4 family protein	GO:0042546	cell wall biogenesis|0042546||IEA		
Strep_C10200	Strep_C10200A2	WP_003973334.1	SC_RS30675	SC_RS30675	LacI family DNA-binding transcriptional regulator	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C10242	Strep_C10242A0	WP_328838809.1	OHU10_RS30210	OHU10_RS30210	DNA-3-methyladenine glycosylase family protein	GO:0006281;GO:0019104;GO:0032993	DNA repair|0006281||IEA	DNA N-glycosylase activity|0019104||IEA	protein-DNA complex|0032993||IEA
Strep_C10244	Strep_C10244A3	WP_003976871.1	SC_RS11770	SC_RS11770	type I glyceraldehyde-3-phosphate dehydrogenase	GO:0006006;GO:0016620;GO:0050661;GO:0051287	glucose metabolic process|0006006||IEA	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor|0016620||IEA|NADP binding|0050661||IEA|NAD binding|0051287||IEA	
Strep_C10245	Strep_C10245A3	WP_003974364.1	SC_RS25070	SC_RS25070	polyprenyl synthetase family protein	GO:0004659;GO:0008299;GO:0046872	isoprenoid biosynthetic process|0008299||IEA	prenyltransferase activity|0004659||IEA|metal ion binding|0046872||IEA	
Strep_C10250	Strep_C10250A4	WP_045561485.1	CVT30_RS11300	CVT30_RS11300	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	GO:0006072;GO:0009331;GO:0046167;GO:0047952;GO:0051287	glycerol-3-phosphate metabolic process|0006072||IEA|glycerol-3-phosphate biosynthetic process|0046167||IEA	glycerol-3-phosphate dehydrogenase [NAD(P)+] activity|0047952||IEA|NAD binding|0051287||IEA	glycerol-3-phosphate dehydrogenase (FAD) complex|0009331||IEA
Strep_C10256	Strep_C10256A0	WP_328834877.1	OHU10_RS02405	OHU10_RS02405	ATP-binding cassette domain-containing protein	GO:0005524		ATP binding|0005524||IEA	
Strep_C10276	Strep_C10276A2	WP_003973395.1	SC_RS30210	SC_RS30210	signal peptidase I	GO:0004252;GO:0006465;GO:0009306;GO:0016020	signal peptide processing|0006465||IEA|protein secretion|0009306||IEA	serine-type endopeptidase activity|0004252||IEA	membrane|0016020||IEA
Strep_C10285	Strep_C10285A3	WP_011027997.1	SC_RS11165	SC_RS11165	DEDDh family exonuclease	GO:0003677;GO:0006260	DNA replication|0006260||IEA	DNA binding|0003677||IEA	
Strep_C10292	Strep_C10292A0	WP_328840205.1	OHU10_RS40165	OHU10_RS40165	phosphatidylinositol mannoside acyltransferase	GO:0016740		transferase activity|0016740||IEA	
Strep_C10301	Strep_C10301A3	WP_003975791.1	SC_RS17215	SC_RS17215	stage II sporulation protein M	GO:0030435;GO:0042173;GO:1901893	sporulation resulting in formation of a cellular spore|0030435||IEA|regulation of sporulation resulting in formation of a cellular spore|0042173||IEA|positive regulation of cell septum assembly|1901893||IEA		
Strep_C10302	Strep_C10302A3	WP_003973752.1	SC_RS28280	SC_RS28280	tetratricopeptide repeat protein	GO:0005515		protein binding|0005515||IEA	
Strep_C10306	Strep_C10306A3	WP_063646593.1	SC_RS26760	SC_RS26760	DeoR/GlpR family DNA-binding transcription regulator	GO:0003677;GO:0003700		DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C10315	Strep_C10315A2	WP_003977187.1	SC_RS10205	SC_RS10205	FKBP-type peptidyl-prolyl cis-trans isomerase	GO:0003755		peptidyl-prolyl cis-trans isomerase activity|0003755||IEA	
Strep_C10325	Strep_C10325A3	WP_030870088.1	SC_RS29730	SC_RS29730	aldo/keto reductase				
Strep_C10342	Strep_C10342A3	WP_003975775.1	SC_RS17295	SC_RS17295	2-phospho-L-lactate transferase	GO:0000287;GO:0043743		magnesium ion binding|0000287||IEA|LPPG:FO 2-phospho-L-lactate transferase activity|0043743||IEA	
Strep_C10358	Strep_C10358A3	WP_003974609.1	SC_RS24040	SC_RS24040	EamA family transporter	GO:0005215;GO:0005886;GO:0016020;GO:0055085	transmembrane transport|0055085||IEA	transporter activity|0005215||IEA	plasma membrane|0005886||IEA|membrane|0016020||IEA
Strep_C10362	Strep_C10362A3	WP_003972408.1	SC_RS35050	SC_RS35050	sugar phosphate isomerase/epimerase family protein	GO:0003824;GO:0016853		catalytic activity|0003824||IEA|isomerase activity|0016853||IEA	
Strep_C10369	Strep_C10369A0	WP_328838196.1	OHU10_RS25980	OHU10_RS25980	cytochrome d ubiquinol oxidase subunit II	GO:0016682		oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor|0016682||IEA	
Strep_C10379	Strep_C10379A2	WP_003976865.1	SC_RS11800	SC_RS11800	hypothetical protein				
Strep_C10382	Strep_C10382A3	WP_003975676.1	SC_RS17810	SC_RS17810	UDP-glucose 4-epimerase GalE	GO:0003978;GO:0006012	galactose metabolic process|0006012||IEA	UDP-glucose 4-epimerase activity|0003978||IEA	
Strep_C10389	Strep_C10389A0	WP_328840307.1	OHU10_RS41000	OHU10_RS41000	DMT family transporter	GO:0016020;GO:0022857;GO:0055085	transmembrane transport|0055085||IEA	transmembrane transporter activity|0022857||IEA	membrane|0016020||IEA
Strep_C10401	Strep_C10401A0	WP_328840192.1	OHU10_RS40085	OHU10_RS40085	carbohydrate ABC transporter permease	GO:0008643;GO:0042626;GO:0055085;GO:0140359	carbohydrate transport|0008643||IEA|transmembrane transport|0055085||IEA	ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	
Strep_C10414	Strep_C10414A3	WP_003973482.1	SC_RS29755	SC_RS29755	ketol-acid reductoisomerase				
Strep_C10418	Strep_C10418A0	WP_328836053.1	OHU10_RS10445	OHU10_RS10445	proline racemase family protein	GO:0016855		racemase and epimerase activity, acting on amino acids and derivatives|0016855||IEA	
Strep_C10419	Strep_C10419A0	WP_328836884.1	OHU10_RS16435	OHU10_RS16435	2-hydroxyacid dehydrogenase				
Strep_C10466	Strep_C10466A0	WP_319694376.1	OHU10_RS21835	OHU10_RS21835	porphobilinogen synthase	GO:0003824;GO:0004655;GO:0033014;GO:0046872	tetrapyrrole biosynthetic process|0033014||IEA	catalytic activity|0003824||IEA|porphobilinogen synthase activity|0004655||IEA|metal ion binding|0046872||IEA	
Strep_C10470	Strep_C10470A0	WP_319766698.1	OHU10_RS27070	OHU10_RS27070	inorganic phosphate transporter	GO:0005315;GO:0005886;GO:0035435	phosphate ion transmembrane transport|0035435||IEA	phosphate transmembrane transporter activity|0005315||IEA	plasma membrane|0005886||IEA
Strep_C10478	Strep_C10478A4	WP_003975041.1	SC_RS21595	SC_RS21595	thioredoxin-disulfide reductase	GO:0004791;GO:0005737;GO:0019430;GO:0071949	removal of superoxide radicals|0019430||IEA	thioredoxin-disulfide reductase (NADPH) activity|0004791||IEA|FAD binding|0071949||IEA	cytoplasm|0005737||IEA
Strep_C10490	Strep_C10490A4	WP_045557249.1	CVT30_RS37795	CVT30_RS37795	aspartate carbamoyltransferase catalytic subunit	GO:0004070;GO:0006207;GO:0006520;GO:0016597	'de novo' pyrimidine nucleobase biosynthetic process|0006207||IEA|amino acid metabolic process|0006520||IEA	aspartate carbamoyltransferase activity|0004070||IEA|amino acid binding|0016597||IEA	
Strep_C10491	Strep_C10491A0	WP_327346811.1	OHU10_RS39305	OHU10_RS39305	magnesium/cobalt transporter CorA	GO:0006824;GO:0015087;GO:0015095;GO:0015693;GO:0016020	cobalt ion transport|0006824||IEA|magnesium ion transport|0015693||IEA	cobalt ion transmembrane transporter activity|0015087||IEA|magnesium ion transmembrane transporter activity|0015095||IEA	membrane|0016020||IEA
Strep_C10494	Strep_C10494A3	WP_003975615.1	SC_RS18125	SC_RS18125	sigma-70 family RNA polymerase sigma factor	GO:0003677;GO:0003700;GO:0006352;GO:0006355;GO:0016987	DNA-templated transcription initiation|0006352||IEA|regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA|sigma factor activity|0016987||IEA	
Strep_C10500	Strep_C10500A0	WP_328839283.1	OHU10_RS33310	OHU10_RS33310	adenosine deaminase	GO:0000034;GO:0006146	adenine catabolic process|0006146||IEA	adenine deaminase activity|0000034||IEA	
Strep_C10508	Strep_C10508A0	WP_328840063.1	OHU10_RS39000	OHU10_RS39000	ATP-binding cassette domain-containing protein	GO:0005524		ATP binding|0005524||IEA	
Strep_C10511	Strep_C10511A0	WP_319067827.1	OHU10_RS27825	OHU10_RS27825	N-acetylmuramic acid 6-phosphate etherase	GO:0009254;GO:0016835;GO:0046348	peptidoglycan turnover|0009254||IEA|amino sugar catabolic process|0046348||IEA	carbon-oxygen lyase activity|0016835||IEA	
Strep_C10537	Strep_C10537A2	WP_011027812.1	SC_RS09440	SC_RS09440	Pro-rich N-terminal domain-containing protein				
Strep_C1054	Strep_C1054A0	WP_328839237.1	OHU10_RS32980	OHU10_RS32980	valine--tRNA ligase	GO:0000166;GO:0004812;GO:0004832;GO:0005524;GO:0006438	valyl-tRNA aminoacylation|0006438||IEA	nucleotide binding|0000166||IEA|aminoacyl-tRNA ligase activity|0004812||IEA|valine-tRNA ligase activity|0004832||IEA|ATP binding|0005524||IEA	
Strep_C10549	Strep_C10549A3	WP_003974629.1	SC_RS23930	SC_RS23930	aldo/keto reductase				
Strep_C10555	Strep_C10555A0	WP_328842153.1	OHU10_RS19540	OHU10_RS19540	deoxyribose-phosphate aldolase	GO:0004139;GO:0005737;GO:0009264	deoxyribonucleotide catabolic process|0009264||IEA	deoxyribose-phosphate aldolase activity|0004139||IEA	cytoplasm|0005737||IEA
Strep_C10580	Strep_C10580A2	WP_003972071.1	SC_RS37595	SC_RS37595	dihydroxyacetone kinase subunit DhaK	GO:0004371;GO:0006071	glycerol metabolic process|0006071||IEA	glycerone kinase activity|0004371||IEA	
Strep_C10597	Strep_C10597A3	WP_003977155.1	SC_RS10360	SC_RS10360	aldo/keto reductase	GO:0016491;GO:0016616		oxidoreductase activity|0016491||IEA|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|0016616||IEA	
Strep_C1060	Strep_C1060A3	WP_016326690.1	SC_RS21510	SC_RS21510	DNA gyrase subunit A	GO:0003677;GO:0003916;GO:0003918;GO:0005524;GO:0006259;GO:0006265	DNA metabolic process|0006259||IEA|DNA topological change|0006265||IEA	DNA binding|0003677||IEA|DNA topoisomerase activity|0003916||IEA|DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity|0003918||IEA|ATP binding|0005524||IEA	
Strep_C10612	Strep_C10612A3	WP_003976869.1	SC_RS11780	SC_RS11780	DNA-binding protein WhiA	GO:0003677;GO:0043937	regulation of sporulation|0043937||IEA	DNA binding|0003677||IEA	
Strep_C10614	Strep_C10614A3	WP_016326385.1	SC_RS17190	SC_RS17190	AAA family ATPase	GO:0005524;GO:0016887		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA	
Strep_C10631	Strep_C10631A0	WP_328839682.1	OHU10_RS36075	OHU10_RS36075	aa3-type cytochrome oxidase subunit II				
Strep_C10654	Strep_C10654A3	WP_003974235.1	SC_RS25850	SC_RS25850	type I pantothenate kinase	GO:0004594;GO:0015937	coenzyme A biosynthetic process|0015937||IEA	pantothenate kinase activity|0004594||IEA	
Strep_C10655	Strep_C10655A3	WP_003974145.1	SC_RS26295	SC_RS26295	malate dehydrogenase	GO:0006108;GO:0016615	malate metabolic process|0006108||IEA	malate dehydrogenase activity|0016615||IEA	
Strep_C10659	Strep_C10659A3	WP_003974969.1	SC_RS22010	SC_RS22010	DUF5926 family protein				
Strep_C1066	Strep_C1066A0	WP_328842381.1	OHU10_RS38425	OHU10_RS38425	ABC transporter ATP-binding protein/permease	GO:0005524;GO:0016887;GO:0042626;GO:0051219;GO:0140359		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA|ATPase-coupled transmembrane transporter activity|0042626||IEA|phosphoprotein binding|0051219||IEA|ABC-type transporter activity|0140359||IEA	
Strep_C10662	Strep_C10662A3	WP_003976903.1	SC_RS11615	SC_RS11615	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	GO:0008666		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity|0008666||IEA	
Strep_C10663	Strep_C10663A3	WP_016325915.1	SC_RS11135	SC_RS11135	GTP 3',8-cyclase MoaA	GO:0006777;GO:0046872;GO:0051539	Mo-molybdopterin cofactor biosynthetic process|0006777||IEA	metal ion binding|0046872||IEA|4 iron, 4 sulfur cluster binding|0051539||IEA	
Strep_C10668	Strep_C10668A3	WP_181924133.1	SC_RS14870	SC_RS14870	DNA polymerase III subunit delta	GO:0003677;GO:0003887;GO:0006260	DNA replication|0006260||IEA	DNA binding|0003677||IEA|DNA-directed DNA polymerase activity|0003887||IEA	
Strep_C10675	Strep_C10675A0	WP_037702584.1	OHU10_RS22865	OHU10_RS22865	ArsA family ATPase	GO:0005524;GO:0016887		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA	
Strep_C10677	Strep_C10677A3	WP_011030222.1	SC_RS29180	SC_RS29180	methylmalonyl Co-A mutase-associated GTPase MeaB	GO:0003924;GO:0005525;GO:0015819;GO:0015822;GO:0016772;GO:1903826	lysine transport|0015819||IEA|ornithine transport|0015822||IEA|L-arginine transmembrane transport|1903826||IEA	GTPase activity|0003924||IEA|GTP binding|0005525||IEA|transferase activity, transferring phosphorus-containing groups|0016772||IEA	
Strep_C1069	Strep_C1069A0	WP_328839332.1	OHU10_RS33655	OHU10_RS33655	nitrite reductase large subunit NirB	GO:0008942;GO:0042128;GO:0050660;GO:0050661	nitrate assimilation|0042128||IEA	nitrite reductase [NAD(P)H] activity|0008942||IEA|flavin adenine dinucleotide binding|0050660||IEA|NADP binding|0050661||IEA	
Strep_C10716	Strep_C10716A0	WP_328840835.1	OHU10_RS44370	OHU10_RS44370	ATP-grasp ribosomal peptide maturase	GO:0005524;GO:0046872		ATP binding|0005524||IEA|metal ion binding|0046872||IEA	
Strep_C10726	Strep_C10726A3	WP_016326561.1	SC_RS19935	SC_RS19935	ATP-binding protein	GO:0005524;GO:0016887		ATP binding|0005524||IEA|ATP hydrolysis activity|0016887||IEA	
Strep_C10727	Strep_C10727A0	WP_328839955.1	OHU10_RS38135	OHU10_RS38135	cobalamin biosynthesis protein	GO:0009236;GO:0048472	cobalamin biosynthetic process|0009236||IEA	threonine-phosphate decarboxylase activity|0048472||IEA	
Strep_C10729	Strep_C10729A3	WP_003975743.1	SC_RS17455	SC_RS17455	RNA polymerase sigma factor SigF				
Strep_C1073	Strep_C1073A0	WP_328838608.1	OHU10_RS28765	OHU10_RS28765	bifunctional FO biosynthesis protein CofGH	GO:0016765;GO:0051539		transferase activity, transferring alkyl or aryl (other than methyl) groups|0016765||IEA|4 iron, 4 sulfur cluster binding|0051539||IEA	
Strep_C1076	Strep_C1076A0	WP_328836630.1	OHU10_RS14375	OHU10_RS14375	polynucleotide kinase-phosphatase	GO:0004113;GO:0042245;GO:0051731	RNA repair|0042245||IEA	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity|0004113||IEA|polynucleotide 5'-hydroxyl-kinase activity|0051731||IEA	
Strep_C10766	Strep_C10766A0	WP_328835712.1	OHU10_RS07830	OHU10_RS07830	aldo/keto reductase	GO:0016491;GO:0016616		oxidoreductase activity|0016491||IEA|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|0016616||IEA	
Strep_C10780	Strep_C10780A3	WP_003975111.1	SC_RS21245	SC_RS21245	NAD(P)H-quinone oxidoreductase	GO:0003960;GO:0048038;GO:0070402		quinone reductase (NADPH) activity|0003960||IEA|quinone binding|0048038||IEA|NADPH binding|0070402||IEA	
Strep_C10820	Strep_C10820A3	WP_016327843.1	SC_RS35775	SC_RS35775	acyl-ACP desaturase				
Strep_C10832	Strep_C10832A0	WP_328838816.1	OHU10_RS30280	OHU10_RS30280	cation diffusion facilitator family transporter	GO:0006812;GO:0008324;GO:0016020;GO:0055085	monoatomic cation transport|0006812||IEA|transmembrane transport|0055085||IEA	monoatomic cation transmembrane transporter activity|0008324||IEA	membrane|0016020||IEA
Strep_C10837	Strep_C10837A3	WP_003973580.1	SC_RS29275	SC_RS29275	tetratricopeptide repeat protein				
Strep_C10840	Strep_C10840A3	WP_003976621.1	SC_RS13005	SC_RS13005	lipoyl synthase	GO:0009107;GO:0016992;GO:0051539;GO:1904047	lipoate biosynthetic process|0009107||IEA	lipoate synthase activity|0016992||IEA|4 iron, 4 sulfur cluster binding|0051539||IEA|S-adenosyl-L-methionine binding|1904047||IEA	
Strep_C10845	Strep_C10845A3	WP_003973432.1	SC_RS30025	SC_RS30025	thiamine-phosphate kinase	GO:0009030;GO:0009228	thiamine biosynthetic process|0009228||IEA	thiamine-phosphate kinase activity|0009030||IEA	
Strep_C10853	Strep_C10853A3	WP_003975823.1	SC_RS17045	SC_RS17045	UDP-glucose 4-epimerase GalE	GO:0003978;GO:0006012	galactose metabolic process|0006012||IEA	UDP-glucose 4-epimerase activity|0003978||IEA	
Strep_C10874	Strep_C10874A3	WP_003975691.1	SC_RS17740	SC_RS17740	ribose-phosphate diphosphokinase	GO:0000287;GO:0004749;GO:0009058	biosynthetic process|0009058||IEA	magnesium ion binding|0000287||IEA|ribose phosphate diphosphokinase activity|0004749||IEA	
Strep_C10892	Strep_C10892A0	WP_328839040.1	OHU10_RS31755	OHU10_RS31755	hydroxymethylglutaryl-CoA lyase				
Strep_C10901	Strep_C10901A3	WP_011027895.1	SC_RS10195	SC_RS10195	helix-turn-helix transcriptional regulator	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C10919	Strep_C10919A3	WP_003977210.1	SC_RS10090	SC_RS10090	LysR family transcriptional regulator	GO:0001216;GO:0003677;GO:0003700		DNA-binding transcription activator activity|0001216||IEA|DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C10922	Strep_C10922A2	WP_016326033.1	SC_RS12835	SC_RS12835	carbohydrate kinase family protein	GO:0005975;GO:0016301	carbohydrate metabolic process|0005975||IEA	kinase activity|0016301||IEA	
Strep_C10923	Strep_C10923A3	WP_045559394.1	CVT30_RS16790	CVT30_RS16790	M28 family metallopeptidase	GO:0006508;GO:0008237;GO:0008270	proteolysis|0006508||IEA	metallopeptidase activity|0008237||IEA|zinc ion binding|0008270||IEA	
Strep_C1095	Strep_C1095A0	WP_328840620.1	OHU10_RS43045	OHU10_RS43045	sensor histidine kinase	GO:0000155;GO:0000160;GO:0004673;GO:0005524;GO:0007165	phosphorelay signal transduction system|0000160||IEA|signal transduction|0007165||IEA	phosphorelay sensor kinase activity|0000155||IEA|protein histidine kinase activity|0004673||IEA|ATP binding|0005524||IEA	
Strep_C10958	Strep_C10958A0	WP_328838681.1	OHU10_RS29260	OHU10_RS29260	helix-turn-helix transcriptional regulator	GO:0003677;GO:0003700;GO:0006355	regulation of DNA-templated transcription|0006355||IEA	DNA binding|0003677||IEA|DNA-binding transcription factor activity|0003700||IEA	
Strep_C10983	Strep_C10983A0	WP_328836579.1	OHU10_RS14050	OHU10_RS14050	carbohydrate ABC transporter permease	GO:0008643;GO:0042626;GO:0055085;GO:0140359	carbohydrate transport|0008643||IEA|transmembrane transport|0055085||IEA	ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	
Strep_C10984	Strep_C10984A0	WP_328837729.1	OHU10_RS22810	OHU10_RS22810	alpha/beta fold hydrolase				
Strep_C1099	Strep_C1099A3	WP_003977314.1	SC_RS09535	SC_RS09535	GTP pyrophosphokinase				
Strep_C10998	Strep_C10998A3	WP_003973315.1	SC_RS30770	SC_RS30770	bifunctional riboflavin kinase/FAD synthetase	GO:0003919		FMN adenylyltransferase activity|0003919||IEA	
Strep_C11000	Strep_C11000A2	WP_003972087.1	SC_RS37515	SC_RS37515	acetylxylan esterase	GO:0045493;GO:0052689	xylan catabolic process|0045493||IEA	carboxylic ester hydrolase activity|0052689||IEA	
Strep_C1102	Strep_C1102A0	WP_328838759.1	OHU10_RS29825	OHU10_RS29825	ABC transporter permease	GO:0016020;GO:0042626;GO:0055085;GO:0140359	transmembrane transport|0055085||IEA	ATPase-coupled transmembrane transporter activity|0042626||IEA|ABC-type transporter activity|0140359||IEA	membrane|0016020||IEA
Strep_C11021	Strep_C11021A2	WP_016325827.1	SC_RS09860	SC_RS09860	aldo/keto reductase				
Strep_C11024	Strep_C11024A0	WP_328842129.1	OHU10_RS17970	OHU10_RS17970	diacylglycerol/lipid kinase family protein	GO:0001727;GO:0005524;GO:0008654;GO:0016310	phospholipid biosynthetic process|0008654||IEA|phosphorylation|0016310||IEA	lipid kinase activity|0001727||IEA|ATP binding|0005524||IEA	
Strep_C11026	Strep_C11026A0	WP_319694435.1	OHU10_RS34380	OHU10_RS34380	hypothetical protein				
Strep_C11036	Strep_C11036A3	WP_003974789.1	SC_RS23090	SC_RS23090	CAF17-like 4Fe-4S cluster assembly/insertion protein YgfZ	GO:0005542;GO:0006400	tRNA modification|0006400||IEA	folic acid binding|0005542||IEA	
Strep_C11038	Strep_C11038A3	WP_003972716.1	SC_RS33305	SC_RS33305	factor-independent urate hydroxylase	GO:0004846;GO:0019628	urate catabolic process|0019628||IEA	urate oxidase activity|0004846||IEA	
Strep_C11049	Strep_C11049A0	WP_328835960.1	OHU10_RS09820	OHU10_RS09820	L-histidine N(alpha)-methyltransferase	GO:0052699;GO:0052706	ergothioneine biosynthetic process|0052699||IEA	L-histidine N(alpha)-methyltransferase activity|0052706||IEA	
Strep_C1105	Strep_C1105A0	WP_328839205.1	OHU10_RS32755	OHU10_RS32755	aminopeptidase N	GO:0004177;GO:0006508;GO:0008237;GO:0008270	proteolysis|0006508||IEA	aminopeptidase activity|0004177||IEA|metallopeptidase activity|0008237||IEA|zinc ion binding|0008270||IEA	
Strep_C11075	Strep_C11075A0	WP_046707459.1	OHU10_RS21045	OHU10_RS21045	complex I subunit 1/NuoH family protein	GO:0016020;GO:0016655;GO:0048038		oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor|0016655||IEA|quinone binding|0048038||IEA	membrane|0016020||IEA
Strep_C11087	Strep_C11087A2	WP_003973710.1	SC_RS28480	SC_RS28480	ABC transporter substrate-binding protein				
Strep_C11101	Strep_C11101A0	WP_328836735.1	OHU10_RS15165	OHU10_RS15165	hypothetical protein				
