gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component	annotation_source
Strep_C101317	Strep_C101317A25	2	0.0142857142857142	A0A1W5XU11	A0A3Q8V9J2	A0A7H8ZM14,A0A1V0UH05,A0A2S1SXN2	149	140	A0A1V0UH05			Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94) (NAD(P)(+)-dependent glycerol-3-phosphate dehydrogenase) (NAD(P)H-dependent dihydroxyacetone-phosphate reductase)	GO:0005975;GO:0046167;GO:0046168;GO:0006650;GO:0008654;GO:0141152;GO:0141153;GO:0051287;GO:0005829	carbohydrate metabolic process [GO:0005975]; glycerol-3-phosphate biosynthetic process [GO:0046167]; glycerol-3-phosphate catabolic process [GO:0046168]; glycerophospholipid metabolic process [GO:0006650]; phospholipid biosynthetic process [GO:0008654]	glycerol-3-phosphate dehydrogenase (NAD+) activity [GO:0141152]; glycerol-3-phosphate dehydrogenase (NADP+) activity [GO:0141153]; NAD binding [GO:0051287]	cytosol [GO:0005829]	alternative_protein_2
Strep_C101439	Strep_C101439A0	1	0.0071428571428571	A0A3S8XK78	A0A3S8XK78	A0A0F7N5N5,A0A0K2ASZ0,Q82DD1	163	140	A0A0K2ASZ0			mannose-6-phosphate isomerase (EC 5.3.1.8)	GO:0005975;GO:0009298;GO:0004476;GO:0008270;GO:0005829	carbohydrate metabolic process [GO:0005975]; GDP-mannose biosynthetic process [GO:0009298]	mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]	cytosol [GO:0005829]	alternative_protein_2
Strep_C10147	Strep_C10147A125	3	0.0214285714285714	A0A1L6PU83	A0A2N9B795	A0A3G4W3Z3,B4V949,A0A6N9V9Y3	135	140	A0A1L6PU83			deleted					dominant_protein
Strep_C101699	Strep_C101699A1613	2	0.0142857142857142	N0D1I6	A0A5P2BSF2	A0A5P9WF18,A0A0N6ZFJ4,A0A5P9WF92	4817	140	N0D1I6			Major facilitator superfamily MFS_1	GO:0022857;GO:0005886		transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]	dominant_protein
Strep_C1018	Strep_C1018A776	2	0.0142857142857142	A0A0F7N1M3	A0A494V6S0	A0A0U3G2G9,A0A2U9PAG2,A0A0K2B2T3	877	140	A0A494V6S0			Glyoxalase/bleomycin resistance/extradiol dioxygenase family protein	GO:0051213		dioxygenase activity [GO:0051213]		cluster_representative
Strep_C101845	Strep_C101845A175	2	0.0142857142857142	A0A3G4VPZ6	A0A5P9WE78	A0A0C5FZ36,A0A2U9PDA3,A0A344U499	399	140	A0A0C5FZ36			Glycerol-3-phosphate dehydrogenase	GO:0006071;GO:0046168;GO:0004368	glycerol metabolic process [GO:0006071]; glycerol-3-phosphate catabolic process [GO:0046168]	glycerol-3-phosphate dehydrogenase (quinone) activity [GO:0004368]		alternative_protein_1
Strep_C101955	Strep_C101955A134	2	0.0142857142857142	A0A1V0UKG3	A0A6G9FKQ6	B4VCS8,A0A3G4W1I6,A0A0C5G977	251	140	A0A1V0UKG3			Teichoic acid ABC transporter ATP-binding protein	GO:0140359;GO:0005524;GO:0016887;GO:0016020		ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	membrane [GO:0016020]	dominant_protein
Strep_C102318	Strep_C102318A13	2	0.0142857142857142	A0A1L6PFW1	A0A7G7BH23	A0A0F7N9D5,A0A2K9EZ47,A0A0U3F3B5	198	139	A0A7G7BH23			GNAT family N-acetyltransferase	GO:0016747		acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]		cluster_representative
Strep_C102576	Strep_C102576A128	2	0.0142857142857142	B4V4W2	A0A7H0NM69	A0A6N9VCT8,N0CUS1,A0A0M4DIR6	173	139	A0A6N9VCT8			Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	GO:0006633;GO:0008897;GO:0000287;GO:0005737	fatty acid biosynthetic process [GO:0006633]	holo-[acyl-carrier-protein] synthase activity [GO:0008897]; magnesium ion binding [GO:0000287]	cytoplasm [GO:0005737]	alternative_protein_1
Strep_C102810	Strep_C102810A54	2	0.0142857142857142	A0A0M4DM21	A0A7H1QB78	A0A0U3GHY2,A0A387HRP6,A0A5P2D8A3	165	140	A0A7H1QB78			Cytochrome c oxidase assembly protein	GO:0005886			plasma membrane [GO:0005886]	cluster_representative
Strep_C102904	Strep_C102904A0	1	0.0071428571428571	A0A7H8INC5	A0A7H8INC5	A0A1H4Q0H8,A0A2S1STQ3,A0A7D5VD87	139	139	A0A1H4Q0H8			2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	GO:0019288;GO:0016114;GO:0008685;GO:0046872	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway [GO:0019288]; terpenoid biosynthetic process [GO:0016114]	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]; metal ion binding [GO:0046872]		alternative_protein_1
Strep_C103003	Strep_C103003A191	32	0.228571428571429	A0A0K2AT25	A0A7H8JTA3	A0A3G4VWM6,A0A1L7GEU2,A0A6I6RY21	219	140	A0A0K2AT25			Transcriptional regulator WhiB	GO:0045454;GO:0045892;GO:0051539;GO:0035731;GO:0003677;GO:0046872;GO:0047134;GO:0005737	cell redox homeostasis [GO:0045454]; negative regulation of DNA-templated transcription [GO:0045892]	4 iron, 4 sulfur cluster binding [GO:0051539]; dinitrosyl-iron complex binding [GO:0035731]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; protein-disulfide reductase [NAD(P)H] activity [GO:0047134]	cytoplasm [GO:0005737]	dominant_protein
Strep_C103210	Strep_C103210A0	1	0.0071428571428571	A0A7H8T0W2	A0A7H8T0W2	A0A1W7CU92,A0A0F7VVP1,A0A7H0HY56	150	140	A0A7H8T0W2			proline dehydrogenase (EC 1.5.5.2)	GO:0010133;GO:0000166;GO:0004657	proline catabolic process to glutamate [GO:0010133]	nucleotide binding [GO:0000166]; proline dehydrogenase activity [GO:0004657]		dominant_protein
Strep_C1034	Strep_C1034A0	131	0.935714285714286	A0A2S1SVW1	A0A4P6TWU9	A0A1I6NUM1,A0A1W7CW59,A0A0F7FX98	5	139	A0A2S1SVW1			DNA-binding response regulator	GO:0000160;GO:0006355;GO:0003677	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]		dominant_protein
Strep_C103411	Strep_C103411A15	2	0.0142857142857142	A0A1H4QIV8	A0A2Z5JRI7	A0A1L6PJY8,A0A0U3K821,A0A1B1MES3	222	139	A0A1H4QIV8			tRNA-specific adenosine deaminase (EC 3.5.4.33)	GO:0002100;GO:0052717;GO:0008270	tRNA wobble adenosine to inosine editing [GO:0002100]	tRNA-specific adenosine-34 deaminase activity [GO:0052717]; zinc ion binding [GO:0008270]		dominant_protein
Strep_C103660	Strep_C103660A20	2	0.0142857142857142	A0A1U9P166	A0A346C4T0	A0A7H8ZQB2,A0A1V0UEY4,A0A1W5YZI6	133	138	A0A1V0UEY4			Inner membrane component domain-containing protein	GO:0005886			plasma membrane [GO:0005886]	alternative_protein_2
Strep_C10379	Strep_C10379A158	2	0.0142857142857142	A0A7H8ZYQ2	A0A2S1SQT4	A0A0U3FDA8,A0A0G3UGU2,A0A6M4WL84	170	138	A0A2S1SQT4			Phosphate transporter	GO:0035435;GO:0005315;GO:0016020	phosphate ion transmembrane transport [GO:0035435]	phosphate transmembrane transporter activity [GO:0005315]	membrane [GO:0016020]	cluster_representative
Strep_C10409	Strep_C10409A138	2	0.0142857142857142	A0A516RB87	A0A2S1SXR5	A0A1V0UDX9,A0A7H8ZSF5,A0A3G4W1L2	203	138	A0A516RB87			ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	GO:0030163;GO:0006508;GO:0005524;GO:0016887;GO:0004176;GO:0004222;GO:0008270;GO:0005886	protein catabolic process [GO:0030163]; proteolysis [GO:0006508]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]	dominant_protein
Strep_C104289	Strep_C104289A400	2	0.0142857142857142	N0CIV7	A0A7H0HRM6	A0A5J6HZM9,A0A7T1WST5,A0A0U3F2E2	418	140	A0A7H0HRM6			Sirohydrochlorin chelatase	GO:0016829;GO:0046872		lyase activity [GO:0016829]; metal ion binding [GO:0046872]		cluster_representative
Strep_C104381	Strep_C104381A0	1	0.0071428571428571	A0A7H1PVA5	A0A7H1PVA5	A0A387HB71,A0A7H8MYF1,A0A6I6MYM1	166	139	A0A7H1PVA5			DUF2993 domain-containing protein					dominant_protein
Strep_C104952	Strep_C104952A1499	3	0.0214285714285714	A0A0F7N2R7	G2NT91	A0A2K9F1N4,A0A3Q8UUH0,A0A0F7N9B5	1891	140	G2NT91			ABC-type transporter, integral membrane subunit	GO:0055085;GO:0005886	transmembrane transport [GO:0055085]		plasma membrane [GO:0005886]	cluster_representative
Strep_C105074	Strep_C105074A101	2	0.0142857142857142	A0A7H8ZPI7	A0A0U3NPX5	A0A5P2BW92,A0A0U3LU07,B1W4U9	228	140	A0A5P2BW92			Protease HtpX homolog (EC 3.4.24.-)	GO:0006508;GO:0004222;GO:0008270;GO:0005886	proteolysis [GO:0006508]	metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]	plasma membrane [GO:0005886]	alternative_protein_1
Strep_C105148	Strep_C105148A67	4	0.0285714285714285	A0A0U3BVA5	A0A1H4L5D5	A0A5P2CG54,A0A291Q7C5,A0A1U9QNW0	438	140	A0A0U3BVA5			Organic hydroperoxide resistance protein	GO:0006979	response to oxidative stress [GO:0006979]			dominant_protein
Strep_C105192	Strep_C105192A33	2	0.0142857142857142	A0A7H9A1N7	A0A1H4UNS7	A0A0M4DQQ5,A0A0G3UR51,A0A6I6NG39	139	140	A0A1H4UNS7			Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8) (Polynucleotide phosphorylase) (PNPase)	GO:0006402;GO:0006396;GO:0000175;GO:0000287;GO:0004654;GO:0003723;GO:0005829	mRNA catabolic process [GO:0006402]; RNA processing [GO:0006396]	3'-5'-RNA exonuclease activity [GO:0000175]; magnesium ion binding [GO:0000287]; polyribonucleotide nucleotidyltransferase activity [GO:0004654]; RNA binding [GO:0003723]	cytosol [GO:0005829]	cluster_representative
Strep_C105360	Strep_C105360A0	1	0.0071428571428571	A0A2K9F3H3	A0A2K9F3H3	A0A0F7FNS2,A0A0F7G0G9,A0A6I6S5K5	433	140	A0A0F7FNS2			Dihydroorotase, multifunctional complex type	GO:0000256;GO:0006145;GO:0004038;GO:0050897;GO:0008270;GO:0005737	allantoin catabolic process [GO:0000256]; purine nucleobase catabolic process [GO:0006145]	allantoinase activity [GO:0004038]; cobalt ion binding [GO:0050897]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]	alternative_protein_1
Strep_C105403	Strep_C105403A0	1	0.0071428571428571	A0A2R4JVP7	A0A2R4JVP7	A0A2R4JWQ4,A0A0F7FY10,A0A6I6WEM6	264	140	A0A0F7FY10			methylmalonyl-CoA mutase (EC 5.4.99.2)	GO:0031419;GO:0004494		cobalamin binding [GO:0031419]; methylmalonyl-CoA mutase activity [GO:0004494]		alternative_protein_2
Strep_C105466	Strep_C105466A870	3	0.0214285714285714	A0A143C6C9	A0A2S2G1Z6	A0A1V0UK33,A0A7H8ZJ37,B4V3S1	4105	140	A0A1V0UK33			UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	GO:0033499;GO:0003978	galactose catabolic process via UDP-galactose, Leloir pathway [GO:0033499]	UDP-glucose 4-epimerase activity [GO:0003978]		alternative_protein_1
Strep_C105545	Strep_C105545A31	2	0.0142857142857142	A0A7H9A1B1	A0A2Z5JNB5	A0A0C5FZN8,A0A0F7W4P1,A0A222SP28	175	140	A0A2Z5JNB5			NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	GO:0019674;GO:0006741;GO:0005524;GO:0046872;GO:0051287;GO:0003951;GO:0005737	NAD+ metabolic process [GO:0019674]; NADP+ biosynthetic process [GO:0006741]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; NAD binding [GO:0051287]; NAD+ kinase activity [GO:0003951]	cytoplasm [GO:0005737]	cluster_representative
Strep_C105876	Strep_C105876A134	2	0.0142857142857142	A0A3G4VZY1	A0A3S8X2S1	A0A7H8ZSF9,A0A1V0UE62,A0A7G1NTZ7	255	139	A0A1V0UE62			Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	GO:0009097;GO:0009099;GO:0051537;GO:0004160;GO:0000287;GO:0005829	isoleucine biosynthetic process [GO:0009097]; L-valine biosynthetic process [GO:0009099]	2 iron, 2 sulfur cluster binding [GO:0051537]; dihydroxy-acid dehydratase activity [GO:0004160]; magnesium ion binding [GO:0000287]	cytosol [GO:0005829]	alternative_protein_2
Strep_C105903	Strep_C105903A0	1	0.0071428571428571	A0A3S9M7E9	A0A3S9M7E9	G2N9M9,A0A1V0U6S9,A0A1L6PFG2	498	138	A0A3S9M7E9			ADP-ribosylglycohydrolase family protein	GO:0016787;GO:0046872		hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]		dominant_protein
Strep_C105955	Strep_C105955A40	2	0.0142857142857142	A0A1V0UCB3	A0A426SAV0	A0A3Q8UR25,A0A0F7N5F6,A0A1H4QFI4	138	140	A0A1V0UCB3			DUF5063 domain-containing protein					dominant_protein
Strep_C106352	Strep_C106352A41	2	0.0142857142857142	A0A1V0U6U2	A0A5P2D609	A0A5J6G4I1,A0A0U3PII2,A0A5J6JLC5	222	140	A0A1V0U6U2			Vitamin K epoxide reductase domain-containing protein	GO:0016491;GO:0048038;GO:0016020		oxidoreductase activity [GO:0016491]; quinone binding [GO:0048038]	membrane [GO:0016020]	dominant_protein
Strep_C10637	Strep_C10637A0	1	0.0071428571428571	A0A2Z4JA65	A0A2Z4JA65	A0A387H9M0,A0A3S8XM67,A0A3Q9FWG4	958	140	A0A2Z4JA65			MMPL family transporter	GO:0005886			plasma membrane [GO:0005886]	dominant_protein
Strep_C106486	Strep_C106486A126	2	0.0142857142857142	A0A3G4VUK5	A0A5P2UQX9	A0A6N9V9Y1,N0D0R2,A0A0M3QMH3	145	140	A0A5P2UQX9			Anion permease (Inorganic phosphate transporter)	GO:0035435;GO:0005315;GO:0016020	phosphate ion transmembrane transport [GO:0035435]	phosphate transmembrane transporter activity [GO:0005315]	membrane [GO:0016020]	cluster_representative
Strep_C106693	Strep_C106693A725	2	0.0142857142857142	A0A7H8ZK01	A0A5P8KEY1	A0A2R4JWN9,C9Z6F6,A0A494UXW6	896	140	A0A5P8KEY1			Amidohydrolase family protein	GO:0016810		hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]		cluster_representative
Strep_C10687	Strep_C10687A0	1	0.0071428571428571	A0A2Z5JD40	A0A2Z5JD40	A0A0U3NRL0,A0A0K2AT27,A0A7L7M675	258	140	A0A2Z5JD40			Transport permease protein	GO:0015920;GO:0140359;GO:0005886	lipopolysaccharide transport [GO:0015920]	ABC-type transporter activity [GO:0140359]	plasma membrane [GO:0005886]	dominant_protein
Strep_C107048	Strep_C107048A395	2	0.0142857142857142	A0A7H8ZQ11	A0A6C0QDN8	A0A6N9VHM7,N0CS94,A0A0U3NYH0	713	140	A0A7H8ZQ11			deleted					dominant_protein
Strep_C107243	Strep_C107243A0	1	0.0071428571428571	A0A6G9HAY3	A0A6G9HAY3	A0A0U3QAX6,A0A1V0U6K2,A0A7L5T366	248	140	A0A6G9HAY3			Class I SAM-dependent methyltransferase	GO:0032259;GO:0008168	methylation [GO:0032259]	methyltransferase activity [GO:0008168]		dominant_protein
Strep_C107252	Strep_C107252A1753	2	0.0142857142857142	A0A3S8VYJ1	A0A6C0Q1D3	A0A0F7MZK0,A0A3S8VJ89,A0A1V0UGT7	1818	140	A0A1V0UGT7			Sugar ABC transporter permease	GO:0055085;GO:0005886	transmembrane transport [GO:0055085]		plasma membrane [GO:0005886]	alternative_protein_3
Strep_C107461	Strep_C107461A0	1	0.0071428571428571	A0A6I6WPE1	A0A6I6WPE1	A0A0U3NIK1,A0A5P9WWL3,A0A1D7Y751	248	140	A0A1D7Y751			AraC family transcriptional regulator	GO:0006307;GO:0032259;GO:0003700;GO:0008168;GO:0043565;GO:0008270	DNA alkylation repair [GO:0006307]; methylation [GO:0032259]	DNA-binding transcription factor activity [GO:0003700]; methyltransferase activity [GO:0008168]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]		alternative_protein_3
Strep_C107467	Strep_C107467A216	2	0.0142857142857142	A0A7H8ZY33	A0A6I6WPH9	A0A1H4V6Z3,A0A385D7J0,A0A1S6J5E3	296	140	A0A1H4V6Z3			UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	GO:0051301;GO:0071555;GO:0009252;GO:0008360;GO:0005524;GO:0008763;GO:0005737	cell division [GO:0051301]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]	ATP binding [GO:0005524]; UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763]	cytoplasm [GO:0005737]	alternative_protein_1
Strep_C107477	Strep_C107477A13	2	0.0142857142857142	A0A0C5G0A9	A0A6M4PID8	A0A1D7VGP7,A0A1W5XMT6,A0A2S1SSG1	307	140	A0A0C5G0A9			Zn-dependent hydrolase	GO:0016787		hydrolase activity [GO:0016787]		dominant_protein
Strep_C107855	Strep_C107855A0	1	0.0071428571428571	A0A7H8N5A1	A0A7H8N5A1	A0A2S1SP86,A0A3S8Y7Q6,A0A6I6N7E5	145	140	A0A7H8N5A1			Prenyltransferase	GO:0005975;GO:0016740	carbohydrate metabolic process [GO:0005975]	transferase activity [GO:0016740]		dominant_protein
Strep_C107869	Strep_C107869A0	1	0.0071428571428571	A0A7H8NHI8	A0A7H8NHI8	A0A6H0D1D2,A0A0B5IGW3,A0A6G9FDU4	147	140	A0A7H8NHI8			4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)	GO:0019877;GO:0009089;GO:0008839;GO:0005829	diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	4-hydroxy-tetrahydrodipicolinate reductase [GO:0008839]	cytosol [GO:0005829]	dominant_protein
Strep_C108132	Strep_C108132A198	2	0.0142857142857142	A0A0F7VZB9	A0A7T7I1I8	A0A6N9VEI3,N0D247,A0A0C5GJB0	1106	140	A0A0F7VZB9			Xylose isomerase	GO:0016853		isomerase activity [GO:0016853]		dominant_protein
Strep_C108180	Strep_C108180A23	4	0.0285714285714285	A0A7H0NJ50	A0A7T7RI77	A0A6N9VDY4,N0D1X7,A0A1W5YZQ8	146	140	A0A7T7RI77			TetR/AcrR family transcriptional regulator	GO:0003700;GO:0000976		DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]		cluster_representative
Strep_C108371	Strep_C108371A50	2	0.0142857142857142	A0A1W5YY19	A0A0U3NZ55	A0A0F7ND78,A0A3Q8UT13,A0A7H8GU24	153	140	A0A1W5YY19			deleted					dominant_protein
Strep_C108413	Strep_C108413A80	3	0.0214285714285714	A0A5P2CEA1	A0A0U3QA63	A0A0C5G0I5,A0A0F7W3M0,A0A1W5XLR3	132	140	A0A5P2CEA1			DNA-binding protein	GO:0003677		DNA binding [GO:0003677]		dominant_protein
Strep_C108415	Strep_C108415A127	2	0.0142857142857142	A0A3G4VT25	A0A0U3QA90	A0A7H8ZWZ6,A0A1V0U7N7,A0A1H4LT87	138	140	A0A1V0U7N7			Pseudouridine synthase (EC 5.4.99.-)	GO:0000455;GO:0003723;GO:0120159	enzyme-directed rRNA pseudouridine synthesis [GO:0000455]	RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]		alternative_protein_2
Strep_C108434	Strep_C108434A131	2	0.0142857142857142	A0A5P2B8U4	A0A0U3QXL8	A0A3G4WB92,B4V6E8,A0A6N9VDF7	206	140	A0A5P2B8U4			Methylenetetrahydrofolate reductase (EC 1.5.1.54)	GO:0009086;GO:0035999;GO:0071949;GO:0004489;GO:0005829	methionine biosynthetic process [GO:0009086]; tetrahydrofolate interconversion [GO:0035999]	FAD binding [GO:0071949]; methylenetetrahydrofolate reductase [NAD(P)H] activity [GO:0004489]	cytosol [GO:0005829]	dominant_protein
Strep_C108564	Strep_C108564A55	3	0.0214285714285714	A0A7G6XN80	A0A089XA32	A0A1V0U848,A0A7H8ZWS9,A0A516R613	133	138	A0A089XA32			Cytochrome bc1 complex cytochrome c subunit (EC 7.1.1.8)	GO:0020037;GO:0005506;GO:0008121;GO:0005886		heme binding [GO:0020037]; iron ion binding [GO:0005506]; ubiquinol-cytochrome-c reductase activity [GO:0008121]	plasma membrane [GO:0005886]	cluster_representative
Strep_C108687	Strep_C108687A128	2	0.0142857142857142	A0A3S8VUW3	A0A0A8EKM1	A0A7L4ZA26,A0A426S1Y5,A0A7H9A142	138	140	A0A426S1Y5			Deoxyribose-phosphate aldolase (EC 4.1.2.4)	GO:0016052;GO:0009264;GO:0004139;GO:0005737	carbohydrate catabolic process [GO:0016052]; deoxyribonucleotide catabolic process [GO:0009264]	deoxyribose-phosphate aldolase activity [GO:0004139]	cytoplasm [GO:0005737]	alternative_protein_2
Strep_C108719	Strep_C108719A122	2	0.0142857142857142	G2P8P6	A0A0A8ERQ8	N0CP41,A0A6N9V0V1,A0A0F7FR83	139	139	G2P8P6			PspA-associated domain-containing protein					dominant_protein
Strep_C108762	Strep_C108762A124	2	0.0142857142857142	B4V4Y0	A0A0A8EWC3	A0A1L7GIC0,A0A1U9P1G5,A0A6C0Q7K0	143	140	B4V4Y0			deleted					dominant_protein
Strep_C108813	Strep_C108813A34	2	0.0142857142857142	A0A7H8ZWW3	A0A0A8F325	A0A6I6SDY1,A0A0F7FTB0,A0A6M4PQN9	141	140	A0A0F7FTB0			Dihydrofolate synthase/folylpolyglutamate synthase (EC 6.3.2.12) (EC 6.3.2.17) (Tetrahydrofolylpolyglutamate synthase)	GO:0046656;GO:0005524;GO:0008841;GO:0046872;GO:0004326;GO:0005737	folic acid biosynthetic process [GO:0046656]	ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]	cytoplasm [GO:0005737]	alternative_protein_2
Strep_C108843	Strep_C108843A23	3	0.0214285714285714	A0A7H9A1X3	A0A0B5DFP8	A0A5P2CWT7,A0A0M5ISX2,A0A0K2AYV7	140	140	A0A0B5DFP8			Homoserine dehydrogenase (EC 1.1.1.3)	GO:0009086;GO:0009088;GO:0004412;GO:0046872;GO:0050661	methionine biosynthetic process [GO:0009086]; threonine biosynthetic process [GO:0009088]	homoserine dehydrogenase activity [GO:0004412]; metal ion binding [GO:0046872]; NADP binding [GO:0050661]		cluster_representative
