strain_id	organism	unique_genes	total_genes	unique_gene_percent
UP000516230	Streptomyces genisteinicus	1091	6478	16.84161778326644
UP000326179	Streptomyces fagopyri	1088	7201	15.10901263713373
UP000061018	Streptomyces ambofaciens (strain ATCC 23877 / 3486 / DSM 40053 / JCM 4204 / NBRC 12836 / NRRL B-2516)	1082	7462	14.500134012329136
UP000094960	Streptomyces fodineus	1076	7776	13.837448559670781
UP000325211	Streptomyces venezuelae	1074	6269	17.13191896634232
UP000031774	Streptomyces vietnamensis	1064	7206	14.765473216763809
UP000271291	Streptomyces griseoviridis	1041	7329	14.203847728203028
UP000429360	Streptomyces sp. QHH-9511	1027	6310	16.275752773375594
UP000198609	Streptomyces melanosporofaciens	1026	8532	12.025316455696203
UP000325763	Streptomyces nodosus	1017	6399	15.89310829817159
UP000252004	Streptomyces globosus	994	6256	15.888746803069054
UP000594205	Streptomyces ferrugineus	994	8339	11.919894471759203
UP000092598	Streptomyces lincolnensis	980	8447	11.601752101337754
UP000515307	Streptomyces finlayi	974	6291	15.482435224924496
UP000502665	Streptomyces asoensis	968	8240	11.747572815533982
UP000275579	Streptomyces lydicus	954	7232	13.191371681415928
UP000280298	Streptomyces cyaneochromogenes	944	8662	10.898175940891248
UP000035016	Streptomyces leeuwenhoekii	931	6893	13.506455824749747
UP000422572	Streptomyces ficellus	918	6082	15.093719171325223
UP000326178	Streptomyces nitrosporeus	905	6302	14.360520469692162
UP000031501	Streptomyces pluripotens	905	6085	14.872637633525063
UP000472328	Streptomyces sp. S4.7	905	6698	13.511495968945955
UP000596130	Streptomyces alfalfae	880	7087	12.417101735572174
UP000273501	Streptomyces sp. W1SF4	867	6949	12.476615340336739
UP000247634	Streptomyces actuosus	864	7011	12.323491655969192
UP000265453	Streptomyces sp. 11-1-2	830	8818	9.412565207530053
UP000271045	Streptomyces sp. WAC 01438	824	6780	12.15339233038348
UP000326831	Streptomyces subrutilus	823	6363	12.934150557912934
UP000515677	Streptomyces sp. NEAU-sy36	812	7139	11.374142036699817
UP000325529	Streptomyces kanamyceticus	804	8292	9.696092619392186
UP000029482	Streptomyces glaucescens	793	6492	12.215033887861985
UP000078022	Streptomyces sp. SAT1	775	6052	12.805684071381362
UP000292547	Streptomyces seoulensis	760	5598	13.576277241872099
UP000005940	Streptomyces tsukubensis (strain DSM 42081 / NBRC 108919 / NRRL 18488 / 9993)	750	6235	12.028869286287089
UP000509706	Streptomyces harbinensis	736	5028	14.638027048528244
UP000268329	Streptomyces dangxiongensis	723	6321	11.438063597532036
UP000269043	Streptomyces sp. WAC 01529	722	6915	10.441070137382502
UP000235464	Streptomyces chartreusis NRRL 3882	702	7810	8.988476312419975
UP000189677	Streptomyces niveus (Streptomyces spheroides)	698	6479	10.773267479549313
UP000594008	Streptomyces chromofuscus	697	6254	11.14486728493764
UP000320580	Streptomyces qinzhouensis	696	6175	11.271255060728745
UP000015423	Streptomyces collinus (strain DSM 40733 / Tue 365)	692	6598	10.488026674749925
UP000060513	Streptomyces pristinaespiralis	692	6962	9.939672507900028
UP000278047	Streptomyces sp. WAC 06738	679	6684	10.158587672052663
UP000325563	Streptomyces vinaceus	674	6527	10.32633675501762
UP000516373	Streptomyces tuirus	661	6892	9.590829947765526
UP000221011	Streptomyces formicae	655	8058	8.128567882849342
UP000009036	Streptomyces auratus AGR0001	647	6432	10.05907960199005
UP000076096	Streptomyces qaidamensis	615	7536	8.160828025477706
UP000245775	Streptomyces sp. SM18	597	6378	9.36030103480715
UP000326553	Streptomyces alboniger	591	6562	9.006400487656203
UP000326598	Streptomyces coeruleorubidus	582	7947	7.323518308795772
UP000253251	Streptomyces sp. Go-475	577	7437	7.758504773430147
UP000516207	Streptomyces sp. CB00271	568	6761	8.401124094068924
UP000192553	Streptomyces sp. Sge12	557	6905	8.066618392469225
UP000189443	Streptomyces pactum	551	6656	8.278245192307693
UP000463934	Streptomyces sp. HF10	550	6404	8.58838226108682
UP000001685	Streptomyces griseus subsp. griseus (strain JCM 4626 / CBS 651.72 / NBRC 13350 / KCC S-0626 / ISP 5235)	549	6946	7.903829542182551
UP000324101	Streptomyces venezuelae	544	6435	8.453768453768454
UP000034283	Streptomyces sp. CNQ-509	536	6309	8.495799651291804
UP000001397	Streptomyces sp. (strain SirexAA-E / ActE)	525	6297	8.337303477846593
UP000502641	Streptomyces argyrophyllae	521	6574	7.925159720109522
UP000326505	Streptomyces spectabilis	520	7843	6.630116027030473
UP000322927	Streptomyces venezuelae	502	7481	6.710332843202781
UP000233829	Streptomyces sp. CMB-StM0423	501	6383	7.848973836753878
UP000495940	Streptomyces hawaiiensis	489	7399	6.609001216380592
UP000189680	Streptomyces sp. fd1-xmd	483	6628	7.2872661436330715
UP000326613	Streptomyces sp. SYP-A7193	478	7423	6.4394449683416415
UP000255843	Streptomyces sp. CB09001	476	6704	7.100238663484487
UP000078468	Streptomyces parvulus	467	6619	7.055446442060734
UP000282170	Streptomyces fungicidicus	465	6502	7.15164564749308
UP000316215	Streptomyces calvus	463	6302	7.346874008251349
UP000316806	Streptomyces spectabilis	454	7590	5.981554677206851
UP000500986	Streptomyces sp. Tu 2975	453	6141	7.376648754274548
UP000035653	Streptomyces sp. Mg1	418	6913	6.046578909301316
UP000509345	Streptomyces microflavus (Streptomyces lipmanii)	416	6981	5.95903165735568
UP000061366	Streptomyces sp. CFMR 7	400	6657	6.008712633318312
UP000515572	Streptomyces sp. INR7	397	7040	5.639204545454545
UP000013304	Streptomyces microflavus DSM 40593	394	6839	5.7610761807281765
UP000185520	Streptomyces sp. TN58	374	6272	5.963010204081633
UP000192651	Streptomyces sp. MOE7	366	6688	5.472488038277512
UP000323046	Streptomyces venezuelae	355	6881	5.15913384682459
UP000032234	Streptomyces cyaneogriseus subsp. noncyanogenus	349	5772	6.046431046431047
UP000069932	Streptomyces sp. CCM_MD2014	349	6847	5.0971228275157
UP000185483	Streptomyces sp. Tue 6075	346	6472	5.34610630407911
UP000094094	Streptomyces lydicus	334	6776	4.929161747343565
UP000192445	Streptomyces violaceoruber	327	6519	5.016106764841234
UP000324015	Streptomyces venezuelae	324	6845	4.733382030679327
UP000064183	Streptomyces globisporus C-1027	310	6553	4.730657714024112
UP000271539	Streptomyces sp. KPB2	296	6860	4.314868804664723
UP000509566	Streptomyces sp. CB04723	290	6418	4.518541601745092
UP000192387	Streptomyces sp. S8	266	6142	4.330836860957342
