gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene	protein_id	locus_tag	gene_id	product	go_ids	go_process	go_function	go_component	annotation_source
Strep_C106598	Strep_C106598A15	2	0.0142857142857142	A0A0C5FNX7	A0A7T1WU81	B4V384,A0A3G4VR27,A0A0U3KK94	136	140	A0A0C5FNX7			Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF)	GO:0000105;GO:0000107;GO:0016829;GO:0005737	L-histidine biosynthetic process [GO:0000105]	imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	cytoplasm [GO:0005737]	dominant_protein
Strep_C106692	Strep_C106692A0	1	0.0071428571428571	D7CEY1	A0A0F7N3G1	Q82AD3,S5V1D3,A0A5J6I069	140	140	D7CEY1			Alanine racemase N-terminal domain-containing protein	GO:0030170		pyridoxal phosphate binding [GO:0030170]		dominant_protein
Strep_C107183	Strep_C107183A0	1	0.0071428571428571	D7CHY3	A0A0M4DBV0	Q82E20,S5UV56,A0A5J6I3L2	140	140	D7CHY3			Phosphoglycerate mutase	GO:0016791;GO:0005737		phosphatase activity [GO:0016791]	cytoplasm [GO:0005737]	dominant_protein
Strep_C107591	Strep_C107591A16	2	0.0142857142857142	A0A3Q8UY20	G2P4E1	A0A1W5YUU0,A0A0M4DE64,A0A1V0UMZ3	133	138	G2P4E1			CDP-alcohol phosphatidyltransferase	GO:0008654;GO:0016780;GO:0016020	phospholipid biosynthetic process [GO:0008654]	phosphotransferase activity, for other substituted phosphate groups [GO:0016780]	membrane [GO:0016020]	cluster_representative
Strep_C107608	Strep_C107608A24	3	0.0214285714285714	A0A5P9WMW0	L8F1N0	A0A1V0UCM4,A0A7H8ZRH2,D7C728	137	140	L8F1N0			ABC transporter permease	GO:0140359;GO:0005886		ABC-type transporter activity [GO:0140359]	plasma membrane [GO:0005886]	cluster_representative
Strep_C107718	Strep_C107718A36	2	0.0142857142857142	A0A1U9P2C9	A0A1H4PKM5	A0A1V0UFE0,A0A7H8ZQC6,A0A5P9WKL7	137	140	A0A1H4PKM5			Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	GO:0022904;GO:0006099;GO:0051537;GO:0051538;GO:0051539;GO:0009055;GO:0046872;GO:0008177	respiratory electron transport chain [GO:0022904]; tricarboxylic acid cycle [GO:0006099]	2 iron, 2 sulfur cluster binding [GO:0051537]; 3 iron, 4 sulfur cluster binding [GO:0051538]; 4 iron, 4 sulfur cluster binding [GO:0051539]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase (quinone) activity [GO:0008177]		cluster_representative
Strep_C107785	Strep_C107785A18	3	0.0214285714285714	A0A2K9F3X1	A0A1D8FYI8	A0A7H0NRS0,B1W1W4,A0A1V0U7C9	147	140	A0A1D8FYI8			Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)	GO:0006633;GO:0004318	fatty acid biosynthetic process [GO:0006633]	enoyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0004318]		cluster_representative
Strep_C107881	Strep_C107881A106	3	0.0214285714285714	A0A5B7V1Z4	A0A5P2D0Z8	A0A5P2BHC6,N0D3Z2,A0A6N9UYQ9	228	140	A0A5P2D0Z8			ABC-type polar-amino-acid transporter (EC 7.4.2.1)	GO:0015424;GO:0005524;GO:0016887;GO:0005886		ABC-type amino acid transporter activity [GO:0015424]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	plasma membrane [GO:0005886]	cluster_representative
Strep_C108084	Strep_C108084A6	3	0.0214285714285714	G2P0N4	N0CN02	A0A3S8VL20,A0A0F7N493,B4VFV8	131	136	G2P0N4			SpoOM family protein					dominant_protein
Strep_C108309	Strep_C108309A37	2	0.0142857142857142	A0A1V0U7Y4	A0A387HHY7	D7CF03,Q82AA9,A0A089X7S2	133	134	A0A1V0U7Y4			ATP-dependent protease	GO:0006508;GO:0008233	proteolysis [GO:0006508]	peptidase activity [GO:0008233]		dominant_protein
Strep_C10831	Strep_C10831A9	2	0.0142857142857142	A0A6N9VI97	A0A2S1SS76	D7BWE1,Q827E7,S5UZ59	136	137	A0A6N9VI97			Mannose-1-phosphate guanyltransferase (NTP transferase domain-containing protein)	GO:0005975;GO:0016868;GO:0016740	carbohydrate metabolic process [GO:0005975]	intramolecular phosphotransferase activity [GO:0016868]; transferase activity [GO:0016740]		dominant_protein
Strep_C108570	Strep_C108570A25	2	0.0142857142857142	A0A3Q8VX91	C9ZFJ8	A0A1D7VUI3,A0A1W5XRR7,A0A1U9QW59	139	140	C9ZFJ8			Phosphate ABC transport system ATP-binding subunit	GO:0035435;GO:0005524;GO:0016887;GO:0015415;GO:0016020	phosphate ion transmembrane transport [GO:0035435]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled phosphate ion transmembrane transporter activity [GO:0015415]	membrane [GO:0016020]	cluster_representative
Strep_C108692	Strep_C108692A0	1	0.0071428571428571	D7BWE6	A0A1Z2LAD9	Q827E2,S5UZ52,A0A7L4XVT8	131	131	D7BWE6			HTH merR-type domain-containing protein	GO:0003677;GO:0003700		DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]		dominant_protein
Strep_C109077	Strep_C109077A22	2	0.0142857142857142	A0A1L6PQ84	A0A0F7W5T4	A0A0N6ZPR5,A0A5P9WS63,N0CSL5	135	138	A0A0F7W5T4			Integral Membrane Protein	GO:0030026;GO:0005384;GO:0012505;GO:0016020	intracellular manganese ion homeostasis [GO:0030026]	manganese ion transmembrane transporter activity [GO:0005384]	endomembrane system [GO:0012505]; membrane [GO:0016020]	cluster_representative
Strep_C10922	Strep_C10922A0	1	0.0071428571428571	D7BQ93	A0A1Z1WJ22	Q82IV7,S5VMH0,A0A5J6I5P9	137	136	D7BQ93			Ribonucleoside-diphosphate reductase (EC 1.17.4.1)	GO:0009263;GO:0005524;GO:0004748;GO:0005971	deoxyribonucleotide biosynthetic process [GO:0009263]	ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]	ribonucleoside-diphosphate reductase complex [GO:0005971]	dominant_protein
Strep_C109270	Strep_C109270A4	4	0.0285714285714285	A0A0U2SST2	A0A3S8Y6Q4	A0A6N9VJ12,A0A7R8NIN2,A0A0F7N382	131	139	A0A0U2SST2			Transcriptional regulatory protein PdtaR	GO:0000160;GO:0031564;GO:0003723;GO:0005737	phosphorelay signal transduction system [GO:0000160]; transcription antitermination [GO:0031564]	RNA binding [GO:0003723]	cytoplasm [GO:0005737]	dominant_protein
Strep_C109302	Strep_C109302A18	2	0.0142857142857142	A0A0G3UQT5	A0A516RE58	D7CC94,Q82JT7,S5UXQ1	136	137	A0A0G3UQT5			deleted					dominant_protein
Strep_C109917	Strep_C109917A101	2	0.0142857142857142	A0A5P2CDL4	A0A7H1Q7C8	A0A0G3UH42,A0A3G4VTV5,A0A291Q5D0	154	140	A0A5P2CDL4			3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	GO:0006633;GO:0004316;GO:0051287	fatty acid biosynthetic process [GO:0006633]	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; NAD binding [GO:0051287]		dominant_protein
Strep_C110113	Strep_C110113A23	6	0.0428571428571428	A0A7G1NCG0	A0A1H4P217	A0A1L6PMM9,A0A0U3BWV5,A0A7H0NNG8	106	140	A0A7G1NCG0			Cell division ATP-binding protein FtsE	GO:0051301;GO:0005524;GO:0016887;GO:0022857;GO:0005886	cell division [GO:0051301]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]	dominant_protein
Strep_C111094	Strep_C111094A16	2	0.0142857142857142	A0A3S8VLR7	A0A291Q5W1	A0A1V0U833,A0A7H8ZY06,G2P6Q0	136	139	A0A291Q5W1			Putative two-component system response regulator	GO:0000160;GO:0006355;GO:0003677	phosphorelay signal transduction system [GO:0000160]; regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]		cluster_representative
Strep_C11146	Strep_C11146A38	2	0.0142857142857142	A0A1V0UHY9	A0A0F7G046	D7C8L8,Q82KI0,S5VWK3	139	140	A0A1V0UHY9			DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2)	GO:0006265;GO:0005524;GO:0003677;GO:0034335;GO:0005737;GO:0009330	DNA topological change [GO:0006265]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]	cytoplasm [GO:0005737]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex [GO:0009330]	dominant_protein
Strep_C111553	Strep_C111553A65	3	0.0214285714285714	A0A5B7UV13	A0A1Z2L2I9	A0A6G9FIQ4,A0A0M4DD88,A0A7H8ZU40	136	140	A0A1Z2L2I9			2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	GO:0006094;GO:0006096;GO:0004619	gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	phosphoglycerate mutase activity [GO:0004619]		cluster_representative
Strep_C111866	Strep_C111866A22	2	0.0142857142857142	A0A1L6PQS4	A0A7T1TAU1	D7BR14,Q828Y9,S5V0A8	139	140	A0A7T1TAU1			Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase)	GO:0015949;GO:0006220;GO:0005524;GO:0036431;GO:0005829	nucleobase-containing small molecule interconversion [GO:0015949]; pyrimidine nucleotide metabolic process [GO:0006220]	ATP binding [GO:0005524]; dCMP kinase activity [GO:0036431]	cytosol [GO:0005829]	cluster_representative
Strep_C112012	Strep_C112012A0	1	0.0071428571428571	D7C594	A0A1B1M968	Q82BY2,S5UUH0,A0A5J6I3V3	140	140	D7C594			Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	GO:0070475;GO:0070042;GO:0005737	rRNA base methylation [GO:0070475]	rRNA (uridine-N3-)-methyltransferase activity [GO:0070042]	cytoplasm [GO:0005737]	dominant_protein
Strep_C112047	Strep_C112047A17	2	0.0142857142857142	A0A0F7NCA5	A0A1W7CSM6	A0A0M4DSM9,A0A1W5YUV7,A0A1H4W2R7	146	140	A0A1W7CSM6			Nucleotide sugar-1-phosphate transferase	GO:0016779		nucleotidyltransferase activity [GO:0016779]		cluster_representative
Strep_C112392	Strep_C112392A14	2	0.0142857142857142	A0A0C5FTM9	D7BY04	A0A3G4W1L8,B4VCP9,A0A0M3QNX8	130	136	A0A0C5FTM9			3-oxoacyl-ACP reductase	GO:0006629;GO:0032787;GO:0016491	lipid metabolic process [GO:0006629]; monocarboxylic acid metabolic process [GO:0032787]	oxidoreductase activity [GO:0016491]		dominant_protein
Strep_C112608	Strep_C112608A0	1	0.0071428571428571	D7BQL1	A0A3Q8V2Q0	Q82DX3,A0A089X7N3,A0A7L4Y331	135	135	D7BQL1			NADH-quinone oxidoreductase subunit I (EC 7.1.1.-) (NADH dehydrogenase I subunit I) (NDH-1 subunit I)	GO:0009060;GO:0051539;GO:0005506;GO:0050136;GO:0048038;GO:0005886	aerobic respiration [GO:0009060]	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; NADH:ubiquinone reductase (non-electrogenic) activity [GO:0050136]; quinone binding [GO:0048038]	plasma membrane [GO:0005886]	dominant_protein
Strep_C112721	Strep_C112721A6	3	0.0214285714285714	A0A1H4NVS0	A0A6I6W6T3	D7BXQ7,Q82D21,S5UVM8	137	139	A0A1H4NVS0			Ribonuclease BN, tRNA processing enzyme	GO:0042781		3'-tRNA processing endoribonuclease activity [GO:0042781]		dominant_protein
Strep_C112870	Strep_C112870A38	2	0.0142857142857142	A0A7H8ZSD3	A0A8B1NFL8	D7CGE0,Q82EE6,S5V6Y3	139	140	A0A8B1NFL8			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase (EC 2.7.6.3)	GO:0046656;GO:0046654;GO:0003848;GO:0005524;GO:0016301	folic acid biosynthetic process [GO:0046656]; tetrahydrofolate biosynthetic process [GO:0046654]	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]; ATP binding [GO:0005524]; kinase activity [GO:0016301]		cluster_representative
Strep_C113294	Strep_C113294A18	2	0.0142857142857142	A0A3G4VPQ3	A0A7T1WT39	A0A6G9FQE0,A0A0M5IZG0,A0A1D7VJD0	131	139	A0A7T1WT39			Probable transcriptional regulatory protein G4Z16_29315	GO:0006355;GO:0003677;GO:0005829	regulation of DNA-templated transcription [GO:0006355]	DNA binding [GO:0003677]	cytosol [GO:0005829]	cluster_representative
Strep_C113384	Strep_C113384A0	1	0.0071428571428571	Q82DS0	A0A0K2AXE1	G2ND30,A0A0A8EN23,A0A6I6FDM8	132	131	Q82DS0			NAD(P)-binding domain-containing protein					dominant_protein
Strep_C113570	Strep_C113570A16	3	0.0214285714285714	A0A0F7N8Q9	A0A3Q8W8E5	A0A3G4W106,A0A0G3UPX3,A0A0K2AYH4	129	139	A0A0K2AYH4			Endonuclease NucS (EC 3.1.-.-)	GO:0003677;GO:0000014;GO:0005737		DNA binding [GO:0003677]; single-stranded DNA endodeoxyribonuclease activity [GO:0000014]	cytoplasm [GO:0005737]	alternative_protein_3
Strep_C113817	Strep_C113817A64	3	0.0214285714285714	A0A5B7V1V4	A0A8B1NJA1	A0A0C5G7Q6,A0A0F7VVT1,A0A0G3URC7	134	139	A0A8B1NJA1			Coproheme decarboxylase (EC 1.3.98.5) (Coproheme III oxidative decarboxylase) (Hydrogen peroxide-dependent heme synthase)	GO:0006785;GO:0020037;GO:0046872;GO:0016634	heme B biosynthetic process [GO:0006785]	heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor [GO:0016634]		cluster_representative
Strep_C114127	Strep_C114127A0	1	0.0071428571428571	Q82KY3	A0A5P9WHD9	G2NMJ3,A0A0A8EMW1,A0A6N9VDU9	118	118	Q82KY3			DUF3000 domain-containing protein					dominant_protein
Strep_C114330	Strep_C114330A38	2	0.0142857142857142	A0A1V0UCK2	A0A0F7N4C6	A0A222SY84,A0A1H4QZS6,N0CY11	137	140	A0A1V0UCK2			Aminodeoxychorismate synthase (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase)	GO:0000162;GO:0004049;GO:0016740;GO:0005829	L-tryptophan biosynthetic process [GO:0000162]	anthranilate synthase activity [GO:0004049]; transferase activity [GO:0016740]	cytosol [GO:0005829]	dominant_protein
Strep_C11456	Strep_C11456A9	2	0.0142857142857142	N0CV82	A0A5P2W1Y8	D7C375,Q82G29,S5VQ22	138	139	N0CV82			Polyphosphate kinase (EC 2.7.4.1) (ATP-polyphosphate phosphotransferase) (Polyphosphoric acid kinase)	GO:0006799;GO:0005524;GO:0046872;GO:0008976;GO:0009358	polyphosphate biosynthetic process [GO:0006799]	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polyphosphate kinase activity [GO:0008976]	polyphosphate kinase complex [GO:0009358]	dominant_protein
Strep_C115101	Strep_C115101A24	2	0.0142857142857142	A0A0N6ZHH6	A0A6I6WY01	D7CFW0,Q82JB5,S5V9V2	134	135	A0A0N6ZHH6			deleted					dominant_protein
Strep_C115299	Strep_C115299A38	2	0.0142857142857142	A0A222SUL4	A0A143BZ55	D7C3N2,Q82C76,A0A089X5E2	124	125	A0A143BZ55			Probable nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	GO:0009435;GO:0005524;GO:0004515	NAD+ biosynthetic process [GO:0009435]	ATP binding [GO:0005524]; nicotinate-nucleotide adenylyltransferase activity [GO:0004515]		cluster_representative
Strep_C115421	Strep_C115421A0	12	0.0857142857142857	L8EX44	A0A2Z5K756	N0CR26,A0A7H0NJY8,A0A7R8NQ69	62	139	L8EX44			CRP-like cAMP-activated global transcriptional regulator (cAMP receptor protein) (cAMP regulatory protein)	GO:0045892;GO:0045893;GO:0030552;GO:0003677;GO:0003700;GO:0005829	negative regulation of DNA-templated transcription [GO:0045892]; positive regulation of DNA-templated transcription [GO:0045893]	cAMP binding [GO:0030552]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	cytosol [GO:0005829]	dominant_protein
Strep_C115442	Strep_C115442A22	2	0.0142857142857142	A0A0U3LMB0	A0A2K9EYV2	D7CF09,Q82AA2,S5UPK0	139	140	A0A0U3LMB0			Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH)	GO:0000105;GO:0004359;GO:0000107;GO:0016829;GO:0005737	L-histidine biosynthetic process [GO:0000105]	glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; lyase activity [GO:0016829]	cytoplasm [GO:0005737]	dominant_protein
