gene	dominant_allele	dominant_count	dominant_frequency	dominant_proteins	cluster_representative	alternative_proteins	total_alleles	total_strains_with_gene
Strep_C10012	Strep_C10012A1	2	0.2222222222222222	WP_003976189.1	WP_003976189.1	WP_003948039.1,WP_045557535.1,WP_013003586.1	6	7
Strep_C10013	Strep_C10013A0	1	0.1111111111111111	WP_003977602.1	WP_003977602.1	WP_045562359.1,WP_202492413.1,WP_192362944.1	4	4
Strep_C10014	Strep_C10014A0	1	0.1111111111111111	WP_046703385.1	WP_003977645.1	WP_190046872.1,WP_011027638.1,WP_037729070.1	5	5
Strep_C10015	Strep_C10015A0	1	0.1111111111111111	WP_003978429.1	WP_003978429.1	WP_011027115.1	2	2
Strep_C10016	Strep_C10016A0	2	0.2222222222222222	WP_003978606.1	WP_003978606.1		1	2
Strep_C10017	Strep_C10017A0	1	0.1111111111111111	WP_045561571.1	WP_045561571.1	WP_192359590.1	2	2
Strep_C10018	Strep_C10018A0	1	0.1111111111111111	WP_328840447.1	WP_045562250.1	WP_192362856.1	3	3
Strep_C10019	Strep_C10019A0	1	0.1111111111111111	WP_060883971.1	WP_060883971.1	WP_093792478.1,WP_086800548.1,WP_192361437.1	4	2
Strep_C1002	Strep_C1002A0	1	0.1111111111111111	WP_015507989.1	WP_015507989.1		1	1
Strep_C10020	Strep_C10020A0	1	0.1111111111111111	WP_328836275.1	WP_093792470.1		2	2
Strep_C10021	Strep_C10021A0	1	0.1111111111111111	WP_237310919.1	WP_237310919.1	WP_192364720.1,WP_010350354.1	3	3
Strep_C10022	Strep_C10022A0	1	0.1111111111111111	WP_237311377.1	WP_237311377.1		1	1
Strep_C10023	Strep_C10023A0	1	0.1111111111111111	WP_011029688.1	WP_011029688.1		1	1
Strep_C10024	Strep_C10024A0	1	0.1111111111111111	WP_413254451.1	WP_013001128.1	WP_003973967.1,WP_045559177.1,WP_192359907.1	5	5
Strep_C10025	Strep_C10025A0	1	0.1111111111111111	WP_013001790.1	WP_013001790.1		1	1
Strep_C10026	Strep_C10026A0	1	0.1111111111111111	WP_013003878.1	WP_013003878.1		1	1
Strep_C10027	Strep_C10027A0	1	0.1111111111111111	WP_369277090.1	WP_192360958.1	WP_003978715.1,WP_237312564.1,WP_011026893.1	6	6
Strep_C10028	Strep_C10028A0	1	0.1111111111111111	WP_192363050.1	WP_192363050.1	WP_010352816.1	2	2
Strep_C10029	Strep_C10029A0	1	0.1111111111111111	WP_225617392.1	WP_225617392.1	WP_223786441.1	2	2
Strep_C1003	Strep_C1003A0	1	0.1111111111111111	WP_369278523.1	WP_016326428.1	WP_011028778.1	3	3
Strep_C10030	Strep_C10030A0	1	0.1111111111111111	WP_003950610.1	WP_010350620.1	WP_003975132.1,WP_011029241.1	4	4
Strep_C10031	Strep_C10031A0	1	0.1111111111111111	WP_010354997.1	WP_010354997.1		1	1
Strep_C10032	Strep_C10032A0	1	0.1111111111111111	WP_150470506.1	WP_010356531.1		2	2
Strep_C10033	Strep_C10033A0	1	0.1111111111111111	WP_010357002.1	WP_010357002.1		1	1
Strep_C10034	Strep_C10034A0	1	0.1111111111111111	WP_040835347.1	WP_040835347.1		1	1
Strep_C10035	Strep_C10035A0	7	0.7777777777777778	WP_003966937.1	WP_003966937.1	WP_328834925.1,WP_086767151.1,WP_150472368.1	5	9
Strep_C10036	Strep_C10036A3	2	0.2222222222222222	WP_003974813.1	WP_037688324.1	WP_086770089.1,WP_003949050.1,WP_045555933.1	8	9
Strep_C10037	Strep_C10037A0	1	0.1111111111111111	WP_037698525.1	WP_037698525.1	WP_365266300.1,WP_003978104.1,WP_045560080.1	7	7
Strep_C10038	Strep_C10038A3	2	0.2222222222222222	WP_003976409.1	WP_060903017.1	WP_150470795.1,WP_003947876.1,WP_237310371.1	8	9
Strep_C10039	Strep_C10039A0	1	0.1111111111111111	WP_328834803.1	WP_328834803.1	WP_012998463.1	2	2
Strep_C1004	Strep_C1004A0	1	0.1111111111111111	WP_328835590.1	WP_225617673.1	WP_237312425.1	3	3
Strep_C10040	Strep_C10040A0	1	0.1111111111111111	WP_328835048.1	WP_328835048.1	WP_093789198.1,WP_086799742.1,WP_010355820.1	4	4
Strep_C10041	Strep_C10041A2	2	0.2222222222222222	WP_003978667.1	WP_328835280.1	WP_369277128.1,WP_237312575.1,WP_012998969.1	7	8
Strep_C10042	Strep_C10042A0	1	0.1111111111111111	WP_328835602.1	WP_328835602.1	WP_237312439.1,WP_192361105.1	3	3
Strep_C10043	Strep_C10043A0	1	0.1111111111111111	WP_328836230.1	WP_328836230.1	WP_369279822.1,WP_045556626.1,WP_086799690.1	4	4
Strep_C10044	Strep_C10044A0	1	0.1111111111111111	WP_328838114.1	WP_328838114.1	WP_003975122.1,WP_193379372.1,WP_011029245.1	5	5
Strep_C10045	Strep_C10045A3	2	0.2222222222222222	WP_003976030.1	WP_328839042.1	WP_150471151.1,WP_003948152.1,WP_237310210.1	8	9
Strep_C10046	Strep_C10046A2	2	0.2222222222222222	WP_003977058.1	WP_328840012.1	WP_003947328.1,WP_045556955.1,WP_041669977.1	7	8
Strep_C10047	Strep_C10047A0	1	0.1111111111111111	WP_328840541.1	WP_328840541.1		1	1
Strep_C10048	Strep_C10048A0	1	0.1111111111111111	WP_328840701.1	WP_328840701.1	WP_037726866.1	2	2
Strep_C10049	Strep_C10049A0	1	0.1111111111111111	WP_328840892.1	WP_328840892.1	WP_003949805.1,WP_003978621.1,WP_045561801.1	7	7
Strep_C1005	Strep_C1005A0	1	0.1111111111111111	WP_328836123.1	WP_328836123.1	WP_045556763.1,WP_192371761.1	3	3
Strep_C10050	Strep_C10050A1	3	0.3333333333333333	WP_006378583.1	WP_006378583.1	WP_328839018.1,WP_010354058.1,WP_060884577.1	11	6
Strep_C10051	Strep_C10051A0	4	0.4444444444444444	WP_013001009.1	WP_013001009.1	WP_060878349.1	2	5
Strep_C10052	Strep_C10052A2	2	0.2222222222222222	WP_003978051.1	WP_150473904.1	WP_045560024.1,WP_328835828.1,WP_012998853.1	6	8
Strep_C10053	Strep_C10053A0	1	0.1111111111111111	WP_210540110.1	WP_210540110.1	WP_012999981.1	2	2
Strep_C10054	Strep_C10054A1	2	0.2222222222222222	WP_011029901.1	WP_328735281.1		2	3
Strep_C10055	Strep_C10055A0	1	0.1111111111111111	WP_369277014.1	WP_369277014.1		1	1
Strep_C10056	Strep_C10056A0	1	0.1111111111111111	WP_003949234.1	WP_003949234.1		1	1
Strep_C10057	Strep_C10057A1	2	0.2222222222222222	WP_003974928.1	WP_003949494.1		2	3
Strep_C10058	Strep_C10058A0	1	0.1111111111111111	WP_003950398.1	WP_003950398.1	WP_037667556.1,WP_161269939.1	3	3
Strep_C10059	Strep_C10059A0	1	0.1111111111111111	WP_003952268.1	WP_003952268.1		1	1
Strep_C1006	Strep_C1006A3	2	0.2222222222222222	WP_003977325.1	WP_328840216.1	WP_369277784.1,WP_003947043.1,WP_237311015.1	7	8
Strep_C10060	Strep_C10060A0	1	0.1111111111111111	WP_008414667.1	WP_008414667.1	WP_003973699.1,WP_011030141.1,WP_010353578.1	4	4
Strep_C10061	Strep_C10061A0	1	0.1111111111111111	WP_015507949.1	WP_015507949.1		1	1
Strep_C10062	Strep_C10062A5	2	0.2222222222222222	WP_045559691.1	WP_003972166.1	WP_328835053.1,WP_328835073.1,WP_328836424.1	10	8
Strep_C10063	Strep_C10063A0	1	0.1111111111111111	WP_328836315.1	WP_003972563.1	WP_328734700.1,WP_010640940.1,WP_045556523.1	9	9
Strep_C10064	Strep_C10064A0	2	0.2222222222222222	WP_003974080.1	WP_003974080.1		1	2
Strep_C10065	Strep_C10065A0	2	0.2222222222222222	WP_003977764.1	WP_003977764.1		1	2
Strep_C10066	Strep_C10066A0	1	0.1111111111111111	WP_003978527.1	WP_003978527.1		1	1
Strep_C10067	Strep_C10067A0	1	0.1111111111111111	WP_016325717.1	WP_016325717.1	WP_011027717.1	2	2
Strep_C10068	Strep_C10068A3	2	0.2222222222222222	WP_177261865.1	WP_016326784.1	WP_328838339.1,WP_280118643.1,WP_011029455.1	6	7
Strep_C10069	Strep_C10069A3	2	0.2222222222222222	WP_016325854.1	WP_093789398.1	WP_328840119.1,WP_150470164.1,WP_003947201.1	8	9
Strep_C1007	Strep_C1007A0	1	0.1111111111111111	WP_369280634.1	WP_369280634.1		1	1
Strep_C10070	Strep_C10070A0	1	0.1111111111111111	WP_328836177.1	WP_237312963.1	WP_012999458.1,WP_086800125.1	4	4
Strep_C10071	Strep_C10071A0	1	0.1111111111111111	WP_237313656.1	WP_237313656.1	WP_010355197.1	2	2
Strep_C10072	Strep_C10072A0	1	0.1111111111111111	WP_328737949.1	WP_371271410.1	WP_010354952.1	3	3
Strep_C10073	Strep_C10073A0	1	0.1111111111111111	WP_011027203.1	WP_011027203.1		1	1
Strep_C10074	Strep_C10074A0	1	0.1111111111111111	WP_011027501.1	WP_011027501.1		1	1
Strep_C10075	Strep_C10075A0	1	0.1111111111111111	WP_161270097.1	WP_161270097.1		1	1
Strep_C10076	Strep_C10076A0	1	0.1111111111111111	WP_328836380.1	WP_041668791.1	WP_369276798.1,WP_369280410.1,WP_003951435.1	7	6
Strep_C10077	Strep_C10077A0	1	0.1111111111111111	WP_328839371.1	WP_086799776.1		2	2
Strep_C10078	Strep_C10078A0	1	0.1111111111111111	WP_086802836.1	WP_086802836.1	WP_059047617.1	2	2
Strep_C10079	Strep_C10079A0	1	0.1111111111111111	WP_078853822.1	WP_192365269.1		2	2
Strep_C1008	Strep_C1008A0	1	0.1111111111111111	WP_328841241.1	WP_093789065.1	WP_013006035.1,WP_192362997.1	4	4
Strep_C10080	Strep_C10080A0	1	0.1111111111111111	WP_225617644.1	WP_225617644.1		1	1
Strep_C10081	Strep_C10081A0	1	0.1111111111111111	WP_328836181.1	WP_010351540.1		2	2
Strep_C10082	Strep_C10082A0	1	0.1111111111111111	WP_010351677.1	WP_010351677.1		1	1
Strep_C10083	Strep_C10083A0	1	0.1111111111111111	WP_010352422.1	WP_010352422.1		1	1
Strep_C10084	Strep_C10084A2	2	0.2222222222222222	WP_003974362.1	WP_010354344.1	WP_328837505.1,WP_365278329.1	4	5
Strep_C10085	Strep_C10085A0	1	0.1111111111111111	WP_010357427.1	WP_010357427.1		1	1
Strep_C10086	Strep_C10086A0	1	0.1111111111111111	WP_010357444.1	WP_010357444.1		1	1
Strep_C10087	Strep_C10087A0	1	0.1111111111111111	WP_010359915.1	WP_010359915.1		1	1
Strep_C10088	Strep_C10088A0	2	0.2222222222222222	WP_004931372.1	WP_004931372.1	WP_007449816.1,WP_005479350.1,WP_073496790.1	6	9
Strep_C10089	Strep_C10089A0	1	0.1111111111111111	WP_328835071.1	WP_328835071.1	WP_010358516.1	2	2
Strep_C1009	Strep_C1009A0	1	0.1111111111111111	WP_328836970.1	WP_328836970.1	WP_150472826.1,WP_015507080.1,WP_037666286.1	8	8
Strep_C10090	Strep_C10090A0	1	0.1111111111111111	WP_328835332.1	WP_328835332.1		1	1
Strep_C10091	Strep_C10091A0	1	0.1111111111111111	WP_328837152.1	WP_328837152.1	WP_013000894.1	2	2
Strep_C10092	Strep_C10092A0	1	0.1111111111111111	WP_328838261.1	WP_328838261.1	WP_015507247.1,WP_013002397.1	3	3
Strep_C10093	Strep_C10093A0	1	0.1111111111111111	WP_328839417.1	WP_328839417.1		1	1
Strep_C10094	Strep_C10094A0	1	0.1111111111111111	WP_328839910.1	WP_328839910.1	WP_369280825.1,WP_003947981.1,WP_045560899.1	7	7
Strep_C10095	Strep_C10095A0	1	0.1111111111111111	WP_328840476.1	WP_328840476.1		1	1
Strep_C10096	Strep_C10096A0	1	0.1111111111111111	WP_328840543.1	WP_328840543.1		1	1
Strep_C10097	Strep_C10097A0	1	0.1111111111111111	WP_328840772.1	WP_328840772.1	WP_045560490.1,WP_192365846.1	3	3
Strep_C10098	Strep_C10098A0	1	0.1111111111111111	WP_413254403.1	WP_413254403.1	WP_413254572.1,WP_192361083.1	3	2
Strep_C10099	Strep_C10099A0	1	0.1111111111111111	WP_413254463.1	WP_413254463.1	WP_237313542.1,WP_318036828.1	3	3
Strep_C101	Strep_C101A0	1	0.1111111111111111	WP_237311149.1	WP_237311149.1	WP_192362762.1	2	2
Strep_C1010	Strep_C1010A0	1	0.1111111111111111	WP_328839124.1	WP_003948134.1	WP_328736240.1,WP_016326272.1,WP_045557625.1	9	9
Strep_C10100	Strep_C10100A2	2	0.2222222222222222	WP_003974703.1	WP_413254608.1	WP_369278659.1,WP_041670896.1	4	5
Strep_C10101	Strep_C10101A0	1	0.1111111111111111	WP_006379212.1	WP_006379212.1		1	1
Strep_C10102	Strep_C10102A2	2	0.2222222222222222	WP_003976379.1	WP_328736449.1	WP_328841655.1,WP_010354737.1	4	5
Strep_C10103	Strep_C10103A0	1	0.1111111111111111	WP_328737665.1	WP_328737665.1		1	1
Strep_C10104	Strep_C10104A0	1	0.1111111111111111	WP_369276589.1	WP_369276589.1		1	1
Strep_C10105	Strep_C10105A0	1	0.1111111111111111	WP_369277023.1	WP_369277023.1		1	1
Strep_C10106	Strep_C10106A0	1	0.1111111111111111	WP_369278251.1	WP_369278251.1		1	1
Strep_C10107	Strep_C10107A0	1	0.1111111111111111	WP_369278692.1	WP_369278692.1		1	1
Strep_C10108	Strep_C10108A0	1	0.1111111111111111	WP_369278458.1	WP_369279634.1		2	1
Strep_C10109	Strep_C10109A0	1	0.1111111111111111	WP_328836428.1	WP_369279939.1	WP_237313058.1,WP_012999756.1,WP_192363452.1	6	6
Strep_C1011	Strep_C1011A0	1	0.1111111111111111	WP_015507604.1	WP_015507604.1		1	1
Strep_C10110	Strep_C10110A3	2	0.2222222222222222	WP_003974094.1	WP_003948413.1	WP_328837308.1,WP_150472458.1,WP_237313330.1	7	8
Strep_C10111	Strep_C10111A3	2	0.2222222222222222	WP_003975452.1	WP_003948896.1	WP_086801634.1,WP_328837628.1,WP_369278954.1	7	9
Strep_C10112	Strep_C10112A0	1	0.1111111111111111	WP_003949953.1	WP_003949953.1		1	1
Strep_C10113	Strep_C10113A3	2	0.2222222222222222	WP_003973601.1	WP_003950903.1	WP_328837005.1,WP_150472790.1,WP_045558909.1	7	8
Strep_C10114	Strep_C10114A0	1	0.1111111111111111	WP_003951449.1	WP_003951449.1		1	1
Strep_C10115	Strep_C10115A0	1	0.1111111111111111	WP_003972990.1	WP_003972990.1	WP_099964094.1	2	2
Strep_C10116	Strep_C10116A3	2	0.2222222222222222	WP_003974132.1	WP_003974132.1	WP_328837349.1,WP_086772016.1,WP_003948461.1	8	9
Strep_C10117	Strep_C10117A0	2	0.2222222222222222	WP_003977963.1	WP_003977963.1		1	2
Strep_C10118	Strep_C10118A3	2	0.2222222222222222	WP_011030946.1	WP_011030946.1	WP_060882785.1,WP_328836290.1,WP_150473477.1	6	8
Strep_C10119	Strep_C10119A0	1	0.1111111111111111	WP_016325076.1	WP_016325076.1	WP_011027040.1	2	2
Strep_C1012	Strep_C1012A0	1	0.1111111111111111	WP_419153358.1	WP_419153358.1	WP_011030093.1	2	2
Strep_C10120	Strep_C10120A0	1	0.1111111111111111	WP_016325570.1	WP_016325570.1		1	1
Strep_C10121	Strep_C10121A0	1	0.1111111111111111	WP_369280006.1	WP_045561537.1	WP_012999013.1,WP_086802628.1	4	4
Strep_C10122	Strep_C10122A0	1	0.1111111111111111	WP_045563348.1	WP_045563348.1		1	1
Strep_C10123	Strep_C10123A0	1	0.1111111111111111	WP_064744341.1	WP_064744341.1	WP_275874844.1	2	2
Strep_C10124	Strep_C10124A0	1	0.1111111111111111	WP_328840304.1	WP_078853996.1	WP_150469954.1,WP_003946909.1,WP_003977463.1	9	9
Strep_C10125	Strep_C10125A0	1	0.1111111111111111	WP_328840469.1	WP_093789750.1	WP_192362888.1,WP_010360190.1	4	4
Strep_C10126	Strep_C10126A0	1	0.1111111111111111	WP_328836184.1	WP_193379900.1	WP_173402846.1,WP_192359346.1,WP_010359474.1	5	5
Strep_C10127	Strep_C10127A0	1	0.1111111111111111	WP_328838978.1	WP_237310188.1	WP_369278372.1,WP_003950593.1,WP_016326323.1	9	9
Strep_C10128	Strep_C10128A0	1	0.1111111111111111	WP_237310571.1	WP_237310571.1		1	1
Strep_C10129	Strep_C10129A0	1	0.1111111111111111	WP_409106500.1	WP_409106500.1	WP_192363525.1,WP_010351008.1	3	3
Strep_C1013	Strep_C1013A2	2	0.2222222222222222	WP_003975278.1	WP_234442555.1	WP_369278879.1,WP_003949193.1,WP_013001916.1	7	8
Strep_C10130	Strep_C10130A0	1	0.1111111111111111	WP_011039533.1	WP_011039533.1		1	1
Strep_C10131	Strep_C10131A0	1	0.1111111111111111	WP_328838436.1	WP_262377414.1	WP_079021169.1,WP_045555999.1,WP_013002662.1	5	5
Strep_C10132	Strep_C10132A0	1	0.1111111111111111	WP_037728861.1	WP_037728861.1		1	1
Strep_C10133	Strep_C10133A0	1	0.1111111111111111	WP_041669818.1	WP_041669818.1		1	1
Strep_C10134	Strep_C10134A0	1	0.1111111111111111	WP_086796674.1	WP_086796674.1		1	1
Strep_C10135	Strep_C10135A0	1	0.1111111111111111	WP_328838352.1	WP_107468855.1	WP_093789882.1,WP_013002582.1	4	4
Strep_C10136	Strep_C10136A0	1	0.1111111111111111	WP_328835995.1	WP_192359583.1	WP_045561577.1,WP_012999050.1	4	4
Strep_C10137	Strep_C10137A0	1	0.1111111111111111	WP_328836576.1	WP_192364431.1	WP_093789598.1,WP_012999919.1	4	4
Strep_C10138	Strep_C10138A0	1	0.1111111111111111	WP_192366090.1	WP_192366090.1		1	1
Strep_C10139	Strep_C10139A0	1	0.1111111111111111	WP_225618093.1	WP_225618093.1		1	1
Strep_C1014	Strep_C1014A0	1	0.1111111111111111	WP_173943998.1	WP_173943998.1	WP_012997997.1	2	2
Strep_C10140	Strep_C10140A0	1	0.1111111111111111	WP_010351322.1	WP_010351322.1		1	1
Strep_C10141	Strep_C10141A0	1	0.1111111111111111	WP_010353349.1	WP_010353349.1		1	1
Strep_C10142	Strep_C10142A0	1	0.1111111111111111	WP_010358284.1	WP_010358284.1		1	1
Strep_C10143	Strep_C10143A3	2	0.2222222222222222	WP_003977578.1	WP_010360407.1	WP_319690290.1,WP_150469887.1,WP_003946835.1	8	9
Strep_C10144	Strep_C10144A0	1	0.1111111111111111	WP_010360445.1	WP_010360445.1		1	1
Strep_C10145	Strep_C10145A0	1	0.1111111111111111	WP_003974030.1	WP_029183559.1	WP_093792879.1,WP_011029966.1,WP_192364007.1	5	5
Strep_C10146	Strep_C10146A0	1	0.1111111111111111	WP_029184343.1	WP_029184343.1		1	1
Strep_C10147	Strep_C10147A3	2	0.2222222222222222	WP_003976249.1	WP_028796968.1	WP_045557495.1,WP_086773121.1,WP_003947991.1	7	9
Strep_C10148	Strep_C10148A0	1	0.1111111111111111	WP_328835236.1	WP_328835236.1	WP_012998414.1	2	2
Strep_C10149	Strep_C10149A0	1	0.1111111111111111	WP_328836893.1	WP_328836893.1	WP_369280692.1,WP_008410671.1,WP_003973505.1	9	9
Strep_C1015	Strep_C1015A0	1	0.1111111111111111	WP_075823818.1	WP_075823818.1		1	1
Strep_C10150	Strep_C10150A0	1	0.1111111111111111	WP_328837165.1	WP_328837165.1	WP_086767852.1,WP_003950651.1,WP_003973858.1	9	9
Strep_C10151	Strep_C10151A0	1	0.1111111111111111	WP_328838233.1	WP_328838233.1	WP_045558417.1,WP_086804956.1	3	3
Strep_C10152	Strep_C10152A0	1	0.1111111111111111	WP_328839058.1	WP_328839058.1	WP_045557683.1,WP_192360124.1	3	3
Strep_C10153	Strep_C10153A0	1	0.1111111111111111	WP_328839067.1	WP_328839067.1	WP_196789929.1,WP_086804650.1,WP_010350170.1	4	4
Strep_C10154	Strep_C10154A2	2	0.2222222222222222	WP_003974078.1	WP_150472474.1	WP_328837299.1,WP_045562888.1,WP_013001233.1	7	8
Strep_C10155	Strep_C10155A0	1	0.1111111111111111	WP_190047351.1	WP_190047351.1		1	1
Strep_C10156	Strep_C10156A0	1	0.1111111111111111	WP_369276907.1	WP_369276907.1		1	1
Strep_C10157	Strep_C10157A0	1	0.1111111111111111	WP_369278623.1	WP_369278623.1		1	1
Strep_C10158	Strep_C10158A0	1	0.1111111111111111	WP_369278664.1	WP_369278664.1		1	1
Strep_C10159	Strep_C10159A0	1	0.1111111111111111	WP_369278820.1	WP_369278820.1	WP_003975152.1,WP_011029236.1,WP_078480511.1	4	4
Strep_C1016	Strep_C1016A0	2	0.2222222222222222	WP_003977982.1	WP_003977982.1		1	2
Strep_C10160	Strep_C10160A0	1	0.1111111111111111	WP_369280800.1	WP_369280800.1	WP_037666879.1,WP_134111839.1	3	3
Strep_C10161	Strep_C10161A0	1	0.1111111111111111	WP_369280815.1	WP_369280815.1		1	1
Strep_C10162	Strep_C10162A0	1	0.1111111111111111	WP_003949210.1	WP_003949210.1		1	1
Strep_C10163	Strep_C10163A2	2	0.2222222222222222	WP_003971590.1	WP_003950376.1	WP_369276970.1,WP_012998196.1	4	5
Strep_C10164	Strep_C10164A3	2	0.2222222222222222	WP_003973761.1	WP_003950753.1	WP_328837110.1,WP_086766047.1,WP_045559047.1	8	9
Strep_C10165	Strep_C10165A0	1	0.1111111111111111	WP_003952111.1	WP_003952111.1		1	1
Strep_C10166	Strep_C10166A0	1	0.1111111111111111	WP_003974100.1	WP_003974100.1	WP_011029918.1	2	2
Strep_C10167	Strep_C10167A0	2	0.2222222222222222	WP_003974176.1	WP_003974176.1		1	2
Strep_C10168	Strep_C10168A4	2	0.2222222222222222	WP_045556275.1	WP_003975697.1	WP_037705620.1,WP_086773284.1,WP_010643041.1	8	9
Strep_C10169	Strep_C10169A0	1	0.1111111111111111	WP_045557126.1	WP_045557126.1	WP_013004899.1,WP_086800285.1	3	3
Strep_C1017	Strep_C1017A0	1	0.1111111111111111	WP_369279199.1	WP_010350499.1		2	2
Strep_C10170	Strep_C10170A0	1	0.1111111111111111	WP_052682968.1	WP_052682968.1	WP_086801004.1	2	2
Strep_C10171	Strep_C10171A0	1	0.1111111111111111	WP_193380907.1	WP_193380907.1	WP_086801188.1	2	2
Strep_C10172	Strep_C10172A0	1	0.1111111111111111	WP_234442826.1	WP_234442826.1		1	1
Strep_C10173	Strep_C10173A0	1	0.1111111111111111	WP_237310531.1	WP_237310531.1		1	1
Strep_C10174	Strep_C10174A0	1	0.1111111111111111	WP_328835597.1	WP_237312429.1	WP_225617672.1	3	3
Strep_C10175	Strep_C10175A0	1	0.1111111111111111	WP_011039354.1	WP_011039354.1		1	1
Strep_C10176	Strep_C10176A0	1	0.1111111111111111	WP_012999384.1	WP_012999384.1		1	1
Strep_C10177	Strep_C10177A0	1	0.1111111111111111	WP_045556648.1	WP_012999540.1	WP_192359277.1	3	3
Strep_C10178	Strep_C10178A0	1	0.1111111111111111	WP_045559128.1	WP_013000912.1	WP_192359871.1	3	3
Strep_C10179	Strep_C10179A0	1	0.1111111111111111	WP_328837585.1	WP_013001595.1		2	2
Strep_C1018	Strep_C1018A0	1	0.1111111111111111	WP_328835151.1	WP_328835151.1	WP_369280547.1	2	2
Strep_C10180	Strep_C10180A0	1	0.1111111111111111	WP_319179150.1	WP_086803479.1	WP_016325862.1,WP_003977163.1	4	4
Strep_C10181	Strep_C10181A0	1	0.1111111111111111	WP_192360407.1	WP_192360407.1		1	1
Strep_C10182	Strep_C10182A0	1	0.1111111111111111	WP_237310329.1	WP_192360456.1		2	2
Strep_C10183	Strep_C10183A0	1	0.1111111111111111	WP_192365648.1	WP_192365648.1		1	1
Strep_C10184	Strep_C10184A0	1	0.1111111111111111	WP_010350486.1	WP_010350486.1		1	1
Strep_C10185	Strep_C10185A0	1	0.1111111111111111	WP_010354633.1	WP_010354633.1		1	1
Strep_C10186	Strep_C10186A0	1	0.1111111111111111	WP_328838730.1	WP_010354924.1	WP_013003001.1	3	3
Strep_C10187	Strep_C10187A0	1	0.1111111111111111	WP_010356400.1	WP_010356400.1		1	1
Strep_C10188	Strep_C10188A0	1	0.1111111111111111	WP_010357089.1	WP_010357089.1		1	1
Strep_C10189	Strep_C10189A0	1	0.1111111111111111	WP_010359296.1	WP_010359296.1		1	1
Strep_C1019	Strep_C1019A0	1	0.1111111111111111	WP_328838272.1	WP_328838272.1	WP_041669492.1	2	2
Strep_C10190	Strep_C10190A0	1	0.1111111111111111	WP_192365091.1	WP_010360374.1		2	2
Strep_C10191	Strep_C10191A0	1	0.1111111111111111	WP_029183692.1	WP_029183692.1		1	1
Strep_C10192	Strep_C10192A0	1	0.1111111111111111	WP_029184042.1	WP_029184042.1		1	1
Strep_C10193	Strep_C10193A0	1	0.1111111111111111	WP_158002790.1	WP_158002790.1		1	1
Strep_C10194	Strep_C10194A0	1	0.1111111111111111	WP_223786158.1	WP_223786158.1		1	1
Strep_C10195	Strep_C10195A0	1	0.1111111111111111	WP_319167537.1	WP_319167537.1		1	1
Strep_C10196	Strep_C10196A0	1	0.1111111111111111	WP_338715985.1	WP_338715985.1		1	1
Strep_C10197	Strep_C10197A2	2	0.2222222222222222	WP_045561196.1	WP_046704033.1	WP_086772559.1,WP_012998469.1	4	5
Strep_C10198	Strep_C10198A0	2	0.2222222222222222	WP_231884873.1	WP_231884873.1		1	2
Strep_C10199	Strep_C10199A0	1	0.1111111111111111	WP_328835059.1	WP_328835059.1		1	1
Strep_C102	Strep_C102A0	1	0.1111111111111111	WP_237313359.1	WP_237313359.1		1	1
Strep_C1020	Strep_C1020A0	1	0.1111111111111111	WP_369277584.1	WP_369277584.1		1	1
