genome	organism	origin_contig	origin_confidence	warnings	origin_position	chromosome_length	origin_relative_pos	origin_type	left_all_genes	left_all_leading	left_all_lagging	left_all_leading_prop	left_core_genes	left_core_leading	left_core_lagging	left_core_leading_prop	left_enrichment	left_pvalue_dir	left_pvalue_two	right_all_genes	right_all_leading	right_all_lagging	right_all_leading_prop	right_core_genes	right_core_leading	right_core_lagging	right_core_leading_prop	right_enrichment	right_pvalue_dir	right_pvalue_two	genome_M	genome_n_leading	genome_K_core	genome_x_core_leading	genome_pvalue	combined_enrichment	gtf_path	genome_q	sig_genome	combined_pvalue	combined_q	sig_combined	mean_enrichment
GCF_000297155.3	Streptomyces tsukubensis NRRL18488 (strain=NRRL18488)	NZ_CP029159.1	real_real		3737374	7949158	0.47015973264086586	central	3001	1608	1393	0.5358213928690436	308	219	89	0.711038961038961	0.1752175681699174	2.699730342461625e-11	5.39946068492325e-11	3383	1916	1467	0.5663612178539758	315	215	100	0.6825396825396826	0.1161784646857068	6.318820090418291e-06	1.2637640180836583e-05	6384	3524	623	434	5.8205127984548825e-15	0.14462420095181783	gtf_oriented/GCF_000297155.3_oriented.gtf	7.343999641320731e-15	True	5.8205127984548825e-15	7.343999641320731e-15	True	0.1456980164278121
GCF_000331185.2	Streptomyces rimosus subsp. rimosus ATCC 10970 (strain=ATCC 10970)	NZ_CP048261.1	real_real		4622476	9350183	0.4943727839337476	central	3823	2053	1770	0.5370128171592989	275	176	99	0.64	0.10298718284070107	0.0002171128443020976	0.0004342256886041952	4135	2336	1799	0.5649334945586457	335	262	73	0.7820895522388059	0.21715605768016022	3.949142721310891e-18	7.898285442621782e-18	7958	4389	610	438	1.2037558753714322e-18	0.16651230435194608	gtf_oriented/GCF_000331185.2_oriented.gtf	9.464530570107886e-18	True	1.2037558753714322e-18	9.464530570107886e-18	True	0.16007162026043065
GCF_000359525.1	Streptomyces albidoflavus (strain=J1074)	NC_020990.1	real_real		3419436	6841114	0.49983613779860997	central	2912	1663	1249	0.5710851648351648	270	186	84	0.6888888888888889	0.11780372405372408	2.080569011920194e-05	4.161138023840388e-05	2882	1712	1170	0.594031922276197	347	262	85	0.7550432276657061	0.16101130538950903	1.6537768622235894e-11	3.307553724447179e-11	5794	3375	617	448	3.819262495017406e-15	0.14359486620317563	gtf_oriented/GCF_000359525.1_oriented.gtf	5.0100440237037506e-15	True	3.819262495017406e-15	5.0100440237037506e-15	True	0.13940751472161655
GCF_000385945.1	Streptomyces microflavus DSM 40593 (strain=DSM 40593)	NC_021177.1	real_real		3875912	7905083	0.4903063003892559	central	3377	1933	1444	0.5724015398282499	332	228	104	0.6867469879518072	0.11434544812355729	4.565527664852023e-06	9.131055329704046e-06	3470	1974	1496	0.5688760806916426	305	226	79	0.740983606557377	0.1721075258657344	5.5387612915706115e-11	1.1077522583141223e-10	6847	3907	637	454	6.2024125037868874e-15	0.14210098774767344	gtf_oriented/GCF_000385945.1_oriented.gtf	7.763815850511347e-15	True	6.2024125037868874e-15	7.763815850511347e-15	True	0.14322648699464585
GCF_000412265.2	Streptomyces sp. Mg1 (strain=Mg1)	NZ_CP011664.1	real_real		4152150	7868178	0.5277142942114426	central	3428	1917	1511	0.559218203033839	298	221	77	0.7416107382550335	0.18239253522119458	7.997672349762643e-12	1.5995344699525286e-11	3263	1849	1414	0.5666564511186025	330	234	96	0.7090909090909091	0.14243445797230658	1.4579189180306228e-08	2.9158378360612455e-08	6691	3766	628	455	1.3657054510775693e-18	0.16167667948294462	gtf_oriented/GCF_000412265.2_oriented.gtf	1.0349743719611942e-17	True	1.3657054510775693e-18	1.0349743719611942e-17	True	0.16241349659675058
GCF_000444875.1	Streptomyces collinus Tu 365 (strain=Tu 365)	NC_021985.1	real_real		4409426	8272501	0.5330221174950598	central	3323	1831	1492	0.5510081251880831	311	224	87	0.7202572347266881	0.16924910953860506	9.642169637573123e-11	1.9284339275146246e-10	3194	1873	1321	0.5864120225422668	328	230	98	0.7012195121951219	0.11480748965285514	3.949080202924721e-06	7.898160405849442e-06	6517	3704	639	454	5.0661775680756175e-15	0.14212545832339785	gtf_oriented/GCF_000444875.1_oriented.gtf	6.483470377048959e-15	True	5.0661775680756175e-15	6.483470377048959e-15	True	0.1420282995957301
GCF_000495635.2	Streptomyces sp. GBA 94-10 4N24 (strain=GBA 94-10)	NZ_CP106650.1	real_real		3542852	7024292	0.5043714014166837	central	2844	1623	1221	0.570675105485232	268	185	83	0.6902985074626866	0.11962340197745458	1.6576956319556332e-05	3.3153912639112665e-05	2863	1682	1181	0.5874956339504017	349	263	86	0.7535816618911175	0.1660860279407158	3.7026212713110735e-12	7.405242542622147e-12	5707	3305	617	448	8.893542379669634e-16	0.14698063369531977	gtf_oriented/GCF_000495635.2_oriented.gtf	1.3495870100873824e-15	True	8.893542379669634e-16	1.3495870100873824e-15	True	0.1428547149590852
GCF_000612545.2	Streptomyces sp. PCS3-D2 (strain=PCS3-D2)	NZ_CP097800.1	real_real		3657399	7512055	0.48687063659677676	central	3224	1752	1472	0.543424317617866	305	222	83	0.7278688524590164	0.18444453484115042	3.067308915535383e-12	6.134617831070766e-12	3248	1876	1372	0.5775862068965517	318	226	92	0.710691823899371	0.1331056170028193	1.78456361068407e-07	3.56912722136814e-07	6472	3628	623	448	8.444338652039809e-18	0.15853252038166132	gtf_oriented/GCF_000612545.2_oriented.gtf	3.3196806325831496e-17	True	8.444338652039809e-18	3.3196806325831496e-17	True	0.15877507592198487
GCF_000695235.1	Streptomyces noursei (strain=NK660)	NZ_CP007574.1	real_real		4569207	9359481	0.48819021054693096	central	3812	2034	1778	0.5335781741867786	277	173	104	0.6245487364620939	0.0909705622753153	0.0009465326897557711	0.0018930653795115422	4016	2282	1734	0.5682270916334662	328	257	71	0.7835365853658537	0.2153094937323875	1.4324686893432587e-17	2.8649373786865174e-17	7828	4316	605	430	4.506058725882648e-17	0.15938968821395538	gtf_oriented/GCF_000695235.1_oriented.gtf	1.2010350948194186e-16	True	4.506058725882648e-17	1.2010350948194186e-16	True	0.1531400280038514
GCF_000739105.1	Streptomyces lividans TK24 (strain=TK24)	NZ_CP009124.1	real_real		4190005	8344891	0.5021042216129605	central	3660	2084	1576	0.5693989071038251	338	233	105	0.6893491124260355	0.11995020532221035	1.4094067654474078e-06	2.8188135308948155e-06	3643	1991	1652	0.546527587153445	303	220	83	0.7260726072607261	0.17954502010728113	1.650532612995931e-11	3.301065225991862e-11	7303	4075	641	453	4.528774076957896e-16	0.14871840115286106	gtf_oriented/GCF_000739105.1_oriented.gtf	7.53597591112835e-16	True	4.528774076957896e-16	7.53597591112835e-16	True	0.14974761271474574
GCF_000761215.1	Streptomyces glaucescens (strain=GLA.O)	NZ_CP009438.1	real_real		3882741	7452564	0.5209939827420469	central	3289	1851	1438	0.5627850410459107	309	223	86	0.7216828478964401	0.15889780685052945	1.148837922483181e-09	2.297675844966362e-09	3022	1803	1219	0.5966247518199868	323	225	98	0.6965944272445821	0.09996967542459534	5.443932735171405e-05	0.0001088786547034281	6311	3654	632	448	8.61670629206899e-13	0.12987169278474997	gtf_oriented/GCF_000761215.1_oriented.gtf	9.233233829150587e-13	True	8.61670629206899e-13	9.233233829150587e-13	True	0.1294337411375624
GCF_000772045.1	Streptomyces sp. CCM_MD2014 (strain=CCM_MD2014)	NZ_CP009754.1	real_real		3890088	8273921	0.4701625746728788	central	3484	1910	1574	0.5482204362801377	310	224	86	0.7225806451612903	0.17436020888115256	3.2277083779243674e-11	6.455416755848735e-11	3798	2155	1643	0.567403896787783	325	227	98	0.6984615384615385	0.13105764167375544	2.745862658591733e-07	5.491725317183466e-07	7282	4065	635	451	1.392664676453026e-16	0.15201045831918636	gtf_oriented/GCF_000772045.1_oriented.gtf	2.944491030214969e-16	True	1.392664676453026e-16	2.944491030214969e-16	True	0.152708925277454
GCF_000800535.1	Streptomyces sp. M10 (high G+C Gram-positive bacteria)	NZ_KN549147.1	real_real		225356	661552	0.34064744721503376	central	173	90	83	0.5202312138728323	29	21	8	0.7241379310344828	0.20390671716165043	0.01284072880026789	0.02568145760053578	391	222	169	0.5677749360613811	40	31	9	0.775	0.20722506393861895	0.0035444949367437507	0.0070889898734875015	564	312	69	52	0.00021148851599506478	0.20043169904409497	gtf_oriented/GCF_000800535.1_oriented.gtf	0.00021771894690817637	True	0.00021148851599506478	0.00021771894690817637	True	0.2055658905501347
GCF_000802245.2	Streptomyces pluripotens (strain=MUSC 135)	NZ_CP021080.1	real_real		3814629	7345509	0.5193144545871498	central	3131	1762	1369	0.5627595017566273	280	174	106	0.6214285714285714	0.058669069671944185	0.021736151215768548	0.043472302431537095	2995	1701	1294	0.5679465776293823	346	269	77	0.7774566473988439	0.20951006976946163	4.634973869314159e-18	9.269947738628319e-18	6126	3463	626	443	8.132098324709063e-15	0.14237226966399963	gtf_oriented/GCF_000802245.2_oriented.gtf	9.961226574960078e-15	True	8.132098324709063e-15	9.961226574960078e-15	True	0.1340895697207029
GCF_000816025.1	Streptomyces sp. 769 (strain=769)	NZ_CP003987.1	real_real		5039549	10100402	0.4989453885102791	central	4095	2208	1887	0.5391941391941392	275	178	97	0.6472727272727272	0.10807858807858806	0.00011184924654685973	0.00022369849309371946	4231	2353	1878	0.5561333018199007	332	263	69	0.7921686746987951	0.23603537287889442	7.109944984913017e-21	1.4219889969826035e-20	8326	4561	607	441	4.579053412289555e-21	0.17872182215572108	gtf_oriented/GCF_000816025.1_oriented.gtf	7.35114290863429e-19	True	4.579053412289555e-21	7.35114290863429e-19	True	0.17205698047874124
GCF_000816465.3	Streptomyces pluripotens (strain=MUSC 137)	NZ_CP022433.1	real_real		3792361	7585885	0.49992334447463943	central	3124	1761	1363	0.5637003841229193	280	174	106	0.6214285714285714	0.0577281873056521	0.023500228733872478	0.047000457467744956	3190	1804	1386	0.5655172413793104	346	269	77	0.7774566473988439	0.21193940601953354	2.7160648951676136e-18	5.432129790335227e-18	6314	3565	626	443	6.806617510440419e-15	0.14304942310864543	gtf_oriented/GCF_000816465.3_oriented.gtf	8.452837934979317e-15	True	6.806617510440419e-15	8.452837934979317e-15	True	0.13483379666259282
GCF_000931445.1	Streptomyces cyaneogriseus subsp. noncyanogenus (strain=NMWT 1)	NZ_CP010849.1	pseudo_dnaA_real_dnaN	dnaA pseudogene/partial used in pairing	3779123	7761790	0.4868880760752352	central	3139	1864	1275	0.593819687798662	333	232	101	0.6966966966966966	0.10287700889803464	2.649494883417838e-05	5.298989766835676e-05	3208	1821	1387	0.567643391521197	298	217	81	0.7281879194630873	0.16054452794189022	1.4280163293839781e-09	2.8560326587679562e-09	6347	3685	631	449	5.607236523280961e-13	0.1309796834273127	gtf_oriented/GCF_000931445.1_oriented.gtf	6.070484979593331e-13	True	5.607236523280961e-13	6.070484979593331e-13	True	0.13171076841996243
GCF_000935185.3	Streptomyces noursei (strain=CK-15)	NZ_CP026094.1	real_real		4620687	9335653	0.4949505942433807	central	3870	2073	1797	0.5356589147286822	280	175	105	0.625	0.08934108527131779	0.0010795704480314635	0.002159140896062927	3996	2246	1750	0.5620620620620621	328	260	68	0.7926829268292683	0.23062086476720622	6.31360329357699e-20	1.262720658715398e-19	7866	4319	608	435	1.536193305445004e-18	0.16638857106534455	gtf_oriented/GCF_000935185.3_oriented.gtf	1.1235646385173342e-17	True	1.536193305445004e-18	1.1235646385173342e-17	True	0.159980975019262
GCF_000993785.3	Streptomyces xiamenensis (strain=MCCC 1A01550)	NZ_CP009922.3	real_real		2911346	5961115	0.48838950431253214	central	2567	1468	1099	0.571873782625633	271	209	62	0.7712177121771218	0.19934392955148872	3.78673597554733e-13	7.57347195109466e-13	2672	1544	1128	0.5778443113772455	238	161	77	0.6764705882352942	0.0986262768580487	0.00069906443132783	0.00139812886265566	5239	3012	509	370	6.176219435732106e-14	0.15199664298027749	gtf_oriented/GCF_000993785.3_oriented.gtf	6.869747170778948e-14	True	6.176219435732106e-14	6.869747170778948e-14	True	0.1489851032047687
GCF_001011035.1	Streptomyces sp. CNQ-509 (strain=CNQ-509)	NZ_CP011492.1	real_real		3829448	8038814	0.47636977295407007	central	3155	1756	1399	0.5565768621236133	266	182	84	0.6842105263157895	0.12763366419217614	6.134792934952923e-06	1.2269585869905846e-05	3540	1992	1548	0.5627118644067797	311	220	91	0.707395498392283	0.14468363398550332	2.970404621165231e-08	5.940809242330462e-08	6695	3748	577	402	1.3060155737123328e-12	0.13688634395672805	gtf_oriented/GCF_001011035.1_oriented.gtf	1.3947093308405048e-12	True	1.3060155737123328e-12	1.3947093308405048e-12	True	0.13615864908883973
GCF_001013905.1	Streptomyces leeuwenhoekii (strain=type strain (C34 = DSM 42122 = NRRL B-24963))	NZ_LN831790.1	real_real		3645520	7902730	0.46129881699109043	central	3046	1702	1344	0.5587655942219304	311	224	87	0.7202572347266881	0.16149164050475773	4.922330006055637e-10	9.844660012111274e-10	3495	2028	1467	0.5802575107296137	318	223	95	0.7012578616352201	0.12100035090560635	2.110285769488912e-06	4.220571538977824e-06	6541	3730	629	447	1.737986793180961e-14	0.1404026309284544	gtf_oriented/GCF_001013905.1_oriented.gtf	2.0225600238868167e-14	True	1.737986793180961e-14	2.0225600238868167e-14	True	0.14124599570518204
GCF_001267885.1	Streptomyces ambofaciens ATCC 23877 (strain=ATCC 23877)	NZ_CP012382.1	real_real		4023655	8303075	0.4845981759769724	central	3337	1797	1540	0.5385076415942464	309	222	87	0.7184466019417476	0.17993896034750123	8.756129692098978e-12	1.7512259384197957e-11	3609	2140	1469	0.5929620393460793	328	228	100	0.6951219512195121	0.10215991187343287	3.948935497457771e-05	7.897870994915541e-05	6946	3937	637	450	2.1008026983117268e-14	0.1396353841543262	gtf_oriented/GCF_001267885.1_oriented.gtf	2.4290531199229342e-14	True	2.1008026983117268e-14	2.4290531199229342e-14	True	0.14104943611046705
GCF_001278075.1	Streptomyces pristinaespiralis (strain=HCCB 10218)	NZ_CP011340.1	real_real		4125401	8530346	0.4836147326263202	central	3513	1924	1589	0.5476800455451182	314	229	85	0.7292993630573248	0.1816193175122066	3.409935575202554e-12	6.819871150405108e-12	3392	2065	1327	0.6087853773584906	324	231	93	0.7129629629629629	0.10417758560447232	2.573085720165635e-05	5.14617144033127e-05	6905	3989	638	460	2.8367998005748748e-15	0.1433058140141963	gtf_oriented/GCF_001278075.1_oriented.gtf	3.796483137365098e-15	True	2.8367998005748748e-15	3.796483137365098e-15	True	0.14289845155833947
GCF_001278095.1	Streptomyces sp. CFMR 7 (strain=CFMR-7)	NZ_CP011522.1	real_real		4351813	8207742	0.5302083082046195	central	3614	1988	1626	0.5500830105146652	334	232	102	0.6946107784431138	0.14452776792844857	1.0741954638802406e-08	2.148390927760481e-08	3208	1826	1382	0.5692019950124688	304	226	78	0.743421052631579	0.17421905761911016	2.914221011388087e-11	5.828442022776174e-11	6822	3814	638	458	3.5676417461026714e-18	0.158794753099184	gtf_oriented/GCF_001278095.1_oriented.gtf	1.9281171059378206e-17	True	3.5676417461026714e-18	1.9281171059378206e-17	True	0.15937341277377937
GCF_001431765.1	Streptomyces sp. FR-008 (strain=FR-008)	NZ_CP009802.1	real_real		3650897	7090955	0.5148667563113855	central	3066	1715	1351	0.5593607305936074	269	185	84	0.6877323420074349	0.12837161141382758	4.551188834121667e-06	9.102377668243333e-06	2866	1660	1206	0.5792044661549197	345	262	83	0.7594202898550725	0.18021582370015277	8.102045179724388e-14	1.6204090359448775e-13	5932	3375	614	447	6.270228881147633e-18	0.15906495109613628	gtf_oriented/GCF_001431765.1_oriented.gtf	2.804494201763778e-17	True	6.270228881147633e-18	2.804494201763778e-17	True	0.15429371755699017
GCF_001484565.1	Streptomyces sp. CdTB01 (strain=CdTB01)	NZ_CP013743.1	real_real		4648974	9902089	0.46949426530098853	central	4103	2196	1907	0.535218133073361	314	226	88	0.7197452229299363	0.1845270898565753	2.724034029697302e-12	5.448068059394604e-12	4599	2525	2074	0.5490323983474669	329	230	99	0.6990881458966566	0.1500557475491897	5.608920729369256e-09	1.1217841458738511e-08	8702	4721	643	456	2.0683919800689137e-19	0.16665677756637343	gtf_oriented/GCF_001484565.1_oriented.gtf	3.3359450140085813e-18	True	2.0683919800689137e-19	3.3359450140085813e-18	True	0.1672914187028825
GCF_001542625.1	Streptomyces griseochromogenes (strain=ATCC 14511)	NZ_CP016279.1	pseudo_dnaA_real_dnaN	dnaA pseudogene/partial used in pairing	2279	10764300	0.00021171836533727227	start	0	0	0	0.0	0	0	0	0.0	0.0			9280	4795	4485	0.5167025862068966	637	317	320	0.4976452119309262	-0.019057374275970373	0.8504593432119273	0.3389233911602345	9280	4795	637	317	0.8504593432119273	-0.019057374275970373	gtf_oriented/GCF_001542625.1_oriented.gtf	0.8559022830084836	False	0.8504593432119273	0.8559022830084836	False	-0.009528687137985187
GCF_001577385.1	Streptomyces albidoflavus (strain=SM254)	NZ_CP014485.1	real_real		3641559	7170504	0.5078525860943666	central	3077	1768	1309	0.574585635359116	269	186	83	0.6914498141263941	0.11686417876727806	2.543355684545748e-05	5.086711369091496e-05	3027	1782	1245	0.5887016848364718	348	263	85	0.7557471264367817	0.16704544160030987	3.424515938170289e-12	6.849031876340578e-12	6104	3550	617	449	1.521786204661054e-15	0.1461289034371276	gtf_oriented/GCF_001577385.1_oriented.gtf	2.1729932411618683e-15	True	1.521786204661054e-15	2.1729932411618683e-15	True	0.14195481018379397
GCF_001598115.1	Streptomyces sp. AgN23 (strain=AgN23)	NZ_CP007153.1	real_real		5502375	10858739	0.5067232023902591	central	4441	2445	1996	0.5505516775501014	259	187	72	0.722007722007722	0.17145604445762064	3.9765726642114825e-09	7.953145328422965e-09	4349	2438	1911	0.560588641066912	351	249	102	0.7094017094017094	0.14881306833479746	1.7153588256654006e-09	3.4307176513308013e-09	8790	4883	610	436	4.226713645469276e-17	0.15923646468602548	gtf_oriented/GCF_001598115.1_oriented.gtf	1.143485110967817e-16	True	4.226713645469276e-17	1.143485110967817e-16	True	0.16013455639620905
GCF_001632865.1	Streptomyces ambofaciens (strain=DSM 40697)	NZ_CP012949.1	real_real		3929329	8137055	0.4828932580644963	central	3226	1718	1508	0.532548047117173	309	222	87	0.7184466019417476	0.18589855482457462	1.7852985081951475e-12	3.570597016390295e-12	3518	2055	1463	0.584138715179079	329	229	100	0.6960486322188449	0.11190991703976594	7.399647232686665e-06	1.479929446537333e-05	6744	3773	638	451	7.16803813896555e-16	0.1474362907514214	gtf_oriented/GCF_001632865.1_oriented.gtf	1.1173967755661291e-15	True	7.16803813896555e-16	1.1173967755661291e-15	True	0.14890423593217028
GCF_001636945.3	Streptomyces sp. FXJ1.172 (strain=FXJ1.172)	NZ_CP119133.2	real_real		4393743	9260576	0.47445677245130324	central	3836	2083	1753	0.5430135557872784	316	222	94	0.7025316455696202	0.15951808978234183	1.1112172680658832e-09	2.2224345361317665e-09	4075	2327	1748	0.5710429447852761	324	227	97	0.7006172839506173	0.12957433916534122	4.023204093726102e-07	8.046408187452204e-07	7911	4410	640	449	4.736710154137667e-15	0.14411085039817972	gtf_oriented/GCF_001636945.3_oriented.gtf	6.111570639902755e-15	True	4.736710154137667e-15	6.111570639902755e-15	True	0.14454621447384153
GCF_001650215.1	Streptomyces sp. RTd22 (strain=RTd22)	NZ_CP015726.1	real_real		5695420	11141822	0.5111749227370532	central	4605	2556	2049	0.5550488599348534	242	171	71	0.7066115702479339	0.15156271031308044	4.938288650374587e-07	9.876577300749174e-07	4468	2560	1908	0.5729632945389436	341	249	92	0.7302052785923754	0.15724198405343182	3.0093063881982344e-10	6.018612776396469e-10	9073	5116	583	420	6.034629253019256e-16	0.15654083828160348	gtf_oriented/GCF_001650215.1_oriented.gtf	9.609574177592688e-16	True	6.034629253019256e-16	9.609574177592688e-16	True	0.15440234718325613
GCF_001654495.1	Streptomyces sp. SAT1 (strain=SAT1)	NZ_CP015849.1	real_real		3633746	7472530	0.4862805502286374	central	3066	1684	1382	0.5492498369210698	308	223	85	0.724025974025974	0.17477613710490425	2.5134391332489357e-11	5.0268782664978714e-11	3153	1853	1300	0.5876942594354583	320	224	96	0.7	0.11230574056454168	8.091454282459355e-06	1.618290856491871e-05	6219	3537	628	447	5.1913054317185354e-15	0.14304248435296396	gtf_oriented/GCF_001654495.1_oriented.gtf	6.630113942235449e-15	True	5.1913054317185354e-15	6.630113942235449e-15	True	0.14354093883472296
GCF_001660045.1	Streptomyces parvulus (strain=2297)	NZ_CP015866.1	real_real		3649107	7148472	0.5104737068285362	central	3270	1812	1458	0.5541284403669725	309	222	87	0.7184466019417476	0.16431816157477508	3.5248634050335726e-10	7.049726810067145e-10	3119	1805	1314	0.5787111253606926	324	226	98	0.6975308641975309	0.11881973883683827	2.258825415166826e-06	4.517650830333652e-06	6389	3617	633	448	8.725647149578952e-15	0.14161163156363	gtf_oriented/GCF_001660045.1_oriented.gtf	1.0636496234661164e-14	True	8.725647149578952e-15	1.0636496234661164e-14	True	0.14156895020580668
